flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared
2026-09-20,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,4,47,0.0,2026-09-20T09:40:00+00:00,2026-09-20T09:40:00+00:00,,2026-09-20T09:40:00+00:00,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,26,,2026-09-20T10:35:00+00:00,,,,,,IndiGo,6E,IGO,4439,6E4439,IGO4439,jetstar,jq,jst,774,jq774,jst774,,,,,
2026-09-20,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,2,0.0,2026-09-20T09:10:00+00:00,2026-09-20T09:10:00+00:00,,2026-09-20T09:10:00+00:00,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,15,,2026-09-20T10:05:00+00:00,,,,,,United Airlines,UA,UAL,7450,UA7450,UAL7450,virgin australia,va,voz,217,va217,voz217,,,,7C2BC6,
2026-09-20,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,2,0.0,2026-09-20T09:10:00+00:00,2026-09-20T09:10:00+00:00,,2026-09-20T09:10:00+00:00,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,15,,2026-09-20T10:05:00+00:00,,,,,,Singapore Airlines,SQ,SIA,6950,SQ6950,SIA6950,virgin australia,va,voz,217,va217,voz217,,,,7C2BC6,
2026-09-20,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,2,0.0,2026-09-20T09:10:00+00:00,2026-09-20T09:10:00+00:00,,2026-09-20T09:10:00+00:00,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,15,,2026-09-20T10:05:00+00:00,,,,,,Qatar Airways,QR,QTR,6301,QR6301,QTR6301,virgin australia,va,voz,217,va217,voz217,,,,7C2BC6,
2026-09-20,scheduled,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,G2B,0.0,2026-09-20T02:00:00+00:00,2026-09-20T02:00:00+00:00,,2026-09-20T02:00:00+00:00,,Adnan Menderes Airport,Europe/Istanbul,ADB,LTBJ,D,,,2026-09-20T03:10:00+00:00,,,,,,flynas,XY,KNE,7099,XY7099,KNE7099,turkish airlines,tk,thy,2354,tk2354,thy2354,,,,,
2026-09-20,scheduled,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,G2B,0.0,2026-09-20T02:00:00+00:00,2026-09-20T02:00:00+00:00,,2026-09-20T02:00:00+00:00,,Adnan Menderes Airport,Europe/Istanbul,ADB,LTBJ,D,,,2026-09-20T03:10:00+00:00,,,,,,TAP Air Portugal,TP,TAP,8800,TP8800,TAP8800,turkish airlines,tk,thy,2354,tk2354,thy2354,,,,,
2026-09-20,scheduled,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,G2B,0.0,2026-09-20T02:00:00+00:00,2026-09-20T02:00:00+00:00,,2026-09-20T02:00:00+00:00,,Adnan Menderes Airport,Europe/Istanbul,ADB,LTBJ,D,,,2026-09-20T03:10:00+00:00,,,,,,Egyptair,MS,MSR,9701,MS9701,MSR9701,turkish airlines,tk,thy,2354,tk2354,thy2354,,,,,
2026-09-20,scheduled,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,G2B,0.0,2026-09-20T02:00:00+00:00,2026-09-20T02:00:00+00:00,,2026-09-20T02:00:00+00:00,,Adnan Menderes Airport,Europe/Istanbul,ADB,LTBJ,D,,,2026-09-20T03:10:00+00:00,,,,,,AirSERBIA,JU,ASL,8061,JU8061,ASL8061,turkish airlines,tk,thy,2354,tk2354,thy2354,,,,,
2026-09-20,scheduled,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,50,0.0,2026-09-20T10:35:00+00:00,2026-09-20T10:35:00+00:00,,2026-09-20T10:35:00+00:00,,Port Lincoln,Australia/Adelaide,PLO,YPLC,,,,2026-09-20T11:30:00+00:00,,,,,,QantasLink,,QLK,2583,,QLK2583,,,,,,,,,,7C52F9,
2026-09-20,scheduled,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,50,0.0,2026-09-20T10:35:00+00:00,2026-09-20T10:35:00+00:00,,2026-09-20T10:35:00+00:00,,Port Lincoln,Australia/Adelaide,PLO,YPLC,,,,2026-09-20T11:30:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7749,NZ7749,ANZ7749,qantaslink,,qlk,2583,,qlk2583,,,,7C52F9,
2026-09-20,scheduled,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,19,0.0,2026-09-20T10:25:00+00:00,2026-09-20T10:25:00+00:00,,2026-09-20T10:25:00+00:00,,Williamtown,Australia/Sydney,NTL,YWLM,,,,2026-09-20T13:00:00+00:00,,,,,,QantasLink,,QLK,1908,,QLK1908,,,,,,,,,,7C777B,
2026-09-20,scheduled,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,24,0.0,2026-09-20T10:10:00+00:00,2026-09-20T10:10:00+00:00,,2026-09-20T10:10:00+00:00,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,1,,,2026-09-20T12:00:00+00:00,,,,,,Qantas,QF,QFA,678,QF678,QFA678,,,,,,,,,,7C6D99,
2026-09-20,scheduled,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,24,0.0,2026-09-20T10:10:00+00:00,2026-09-20T10:10:00+00:00,,2026-09-20T10:10:00+00:00,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,1,,,2026-09-20T12:00:00+00:00,,,,,,China Southern Airlines,CZ,CSN,7593,CZ7593,CSN7593,qantas,qf,qfa,678,qf678,qfa678,,,,7C6D99,
2026-09-20,scheduled,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,24,0.0,2026-09-20T10:10:00+00:00,2026-09-20T10:10:00+00:00,,2026-09-20T10:10:00+00:00,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,1,,,2026-09-20T12:00:00+00:00,,,,,,China Eastern Airlines,MU,CES,4107,MU4107,CES4107,qantas,qf,qfa,678,qf678,qfa678,,,,7C6D99,
2026-09-20,scheduled,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,24,0.0,2026-09-20T10:10:00+00:00,2026-09-20T10:10:00+00:00,,2026-09-20T10:10:00+00:00,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,1,,,2026-09-20T12:00:00+00:00,,,,,,AlphaSky,AS,JAG,5002,AS5002,JAG5002,qantas,qf,qfa,678,qf678,qfa678,,,,7C6D99,
