flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-19,scheduled,,,"Ulan-ude, Baykal",Asia/Irkutsk,UUD,UIUU,,,,2026-08-19T06:15:00+00:00,2026-08-19T06:15:00+00:00,,,,Irkutsk,Asia/Irkutsk,IKT,UIII,,,,2026-08-19T07:05:00+00:00,,,,,,S7 Airlines,S7,SBI,6430,S76430,SBI6430,,,,,,,,,,,
2026-08-19,scheduled,,,Iloilo International,Asia/Manila,ILO,RPVI,,,,2026-08-19T06:20:00+00:00,2026-08-19T06:20:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-08-19T07:45:00+00:00,,,,,,Cebu Pacific,5J,CEB,464,5J464,CEB464,,,,,7583B7,,,,,,
2026-08-19,scheduled,,,Iloilo International,Asia/Manila,ILO,RPVI,,,,2026-08-19T06:20:00+00:00,2026-08-19T06:20:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-08-19T07:25:00+00:00,,,,,,Philippine Airlines,PR,PAL,2140,PR2140,PAL2140,,,,,,,,,,,
2026-08-19,scheduled,,,Iloilo International,Asia/Manila,ILO,RPVI,,,,2026-08-19T06:20:00+00:00,2026-08-19T06:20:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-08-19T07:25:00+00:00,,,,,,Malaysia Airlines,MH,MAS,5992,MH5992,MAS5992,,,,,,philippine airlines,pr,pal,2140,pr2140,pal2140
2026-08-19,scheduled,,,Iloilo International,Asia/Manila,ILO,RPVI,,,,2026-08-19T06:20:00+00:00,2026-08-19T06:20:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-08-19T07:25:00+00:00,,,,,,China Airlines,CI,CAL,8940,CI8940,CAL8940,,,,,,philippine airlines,pr,pal,2140,pr2140,pal2140
2026-08-19,scheduled,,,Irkutsk,Asia/Irkutsk,IKT,UIII,,,,2026-08-19T07:00:00+00:00,2026-08-19T07:00:00+00:00,,,,,,ODO,UIKB,,,,2026-08-19T09:30:00+00:00,,,,,,IrAero,IO,IAE,151,IO151,IAE151,,,,,,,,,,,
2026-08-19,scheduled,,,Irkutsk,Asia/Irkutsk,IKT,UIII,,,,2026-08-19T07:00:00+00:00,2026-08-19T07:00:00+00:00,,,,Ust-Ilimsk,Asia/Irkutsk,UIK,UIBS,,,,2026-08-19T08:45:00+00:00,,,,,,IrAero,IO,IAE,121,IO121,IAE121,,,,,,,,,,,
2026-08-19,scheduled,,,Irkutsk,Asia/Irkutsk,IKT,UIII,2,,,2026-08-19T06:40:00+00:00,2026-08-19T06:40:00+00:00,,,,Tolmachevo,Asia/Novosibirsk,OVB,UNNT,,,,2026-08-19T08:10:00+00:00,,,,,,S7 Airlines,S7,SBI,5228,S75228,SBI5228,,,,,,,,,,,
2026-08-19,scheduled,,,Irkutsk,Asia/Irkutsk,IKT,UIII,,,,2026-08-19T06:30:00+00:00,2026-08-19T06:30:00+00:00,,,,,,KCK,UIKK,,,,2026-08-19T08:30:00+00:00,,,,,,IrAero,IO,IAE,83,IO83,IAE83,,,,,,,,,,,
2026-08-19,scheduled,,,Irkutsk,Asia/Irkutsk,IKT,UIII,,,,2026-08-19T06:20:00+00:00,2026-08-19T06:20:00+00:00,,,,Talakan Airport,,TLK,UECT,,,,2026-08-19T09:05:00+00:00,,,,,,IrAero,IO,IAE,410,IO410,IAE410,,,,,,,,,,,
