flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft
2026-06-18,scheduled,,Goa International,Asia/Kolkata,GOI,VOGO,,,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,BOM,VABB,2,,,2026-06-18T01:25:00+00:00,10.0,,,,,IndiGo,6E,IGO,6156,6E6156,IGO6156,,,,,8013F6,,,,,,,
2026-06-18,scheduled,,Goa International,Asia/Kolkata,GOI,VOGO,,,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,BOM,VABB,2,,,2026-06-18T01:25:00+00:00,10.0,,,,,Virgin Atlantic,VS,VIR,9009,VS9009,VIR9009,,,,,8013F6,indigo,6e,igo,6156,6e6156,igo6156,
2026-06-18,scheduled,,Goa International,Asia/Kolkata,GOI,VOGO,,,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,BOM,VABB,2,,,2026-06-18T01:25:00+00:00,10.0,,,,,British Airways,BA,BAW,8770,BA8770,BAW8770,,,,,8013F6,indigo,6e,igo,6156,6e6156,igo6156,
2026-06-18,scheduled,,Gisborne,Pacific/Auckland,GIS,NZGS,,,,2026-06-18T06:30:00+00:00,2026-06-18T06:30:00+00:00,,,,Wellington International,Pacific/Auckland,WLG,NZWN,,10,,2026-06-18T07:50:00+00:00,,,,,,Air New Zealand,NZ,ANZ,5507,NZ5507,ANZ5507,,,,,C81C9E,,,,,,,
2026-06-18,scheduled,,Gisborne,Pacific/Auckland,GIS,NZGS,,,,2026-06-18T06:15:00+00:00,2026-06-18T06:15:00+00:00,,,,Auckland International,Pacific/Auckland,AKL,NZAA,D,46,3,2026-06-18T07:25:00+00:00,,,,,,Air New Zealand,NZ,ANZ,5160,NZ5160,ANZ5160,,,,,C818C9,,,,,,,
2026-06-18,scheduled,,Gisborne,Pacific/Auckland,GIS,NZGS,,,,2026-06-18T06:15:00+00:00,2026-06-18T06:15:00+00:00,,,,Auckland International,Pacific/Auckland,AKL,NZAA,D,46,3,2026-06-18T07:25:00+00:00,,,,,,Singapore Airlines,SQ,SIA,4386,SQ4386,SIA4386,,,,,C818C9,air new zealand,nz,anz,5160,nz5160,anz5160,
2026-06-18,scheduled,,Gisborne,Pacific/Auckland,GIS,NZGS,,,,2026-06-18T06:15:00+00:00,2026-06-18T06:15:00+00:00,,,,Auckland International,Pacific/Auckland,AKL,NZAA,D,46,3,2026-06-18T07:25:00+00:00,,,,,,Qantas,QF,QFA,8493,QF8493,QFA8493,,,,,C818C9,air new zealand,nz,anz,5160,nz5160,anz5160,
2026-06-18,scheduled,,Francisco Bangoy International,Asia/Manila,DVO,RPMD,,,,2026-06-18T02:50:00+00:00,2026-06-18T02:50:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-06-18T04:55:00+00:00,,,,,,Cebu Pacific,5J,CEB,952,5J952,CEB952,,,,,7583E8,,,,,,,
2026-06-18,scheduled,,Dunedin International,Pacific/Auckland,DUD,NZDN,,8,,2026-06-18T06:40:00+00:00,2026-06-18T06:40:00+00:00,,,,Wellington International,Pacific/Auckland,WLG,NZWN,,19,,2026-06-18T08:25:00+00:00,,,,,,Air New Zealand,NZ,ANZ,5680,NZ5680,ANZ5680,,,,,C82284,,,,,,,
2026-06-18,scheduled,,Dunedin International,Pacific/Auckland,DUD,NZDN,,8,,2026-06-18T06:40:00+00:00,2026-06-18T06:40:00+00:00,,,,Wellington International,Pacific/Auckland,WLG,NZWN,,19,,2026-06-18T08:25:00+00:00,,,,,,Qantas,QF,QFA,8571,QF8571,QFA8571,,,,,C82284,air new zealand,nz,anz,5680,nz5680,anz5680,
2026-06-18,scheduled,,Dunedin International,Pacific/Auckland,DUD,NZDN,,8,,2026-06-18T06:40:00+00:00,2026-06-18T06:40:00+00:00,,,,Wellington International,Pacific/Auckland,WLG,NZWN,,19,,2026-06-18T08:25:00+00:00,,,,,,Etihad Airways,EY,ETD,4620,EY4620,ETD4620,,,,,C82284,air new zealand,nz,anz,5680,nz5680,anz5680,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,,,2026-06-18T00:30:00+00:00,2026-06-18T00:30:00+00:00,,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2026-06-18T06:35:00+00:00,,,,,,IndiGo,6E,IGO,913,6E913,IGO913,,,,,47C968,,,,,,,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,14A,,2026-06-18T00:30:00+00:00,2026-06-18T00:30:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-06-18T06:30:00+00:00,,,,,,Air India,AI,AIC,2336,AI2336,AIC2336,,,,,800BFB,,,,,,,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,14A,,2026-06-18T00:30:00+00:00,2026-06-18T00:30:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-06-18T06:30:00+00:00,,,,,,EVA Air,BR,EVA,3706,BR3706,EVA3706,,,,,800BFB,air india,ai,aic,2336,ai2336,aic2336,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,18,,2026-06-18T00:25:00+00:00,2026-06-18T00:25:00+00:00,,,,Bandaranaike International,Asia/Colombo,CMB,VCBI,,,,2026-06-18T04:00:00+00:00,,,,,,Air India,AI,AIC,277,AI277,AIC277,,,,,8004A6,,,,,,,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,D38,,2026-06-18T00:15:00+00:00,2026-06-18T00:15:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-06-18T01:50:00+00:00,10.0,,,,,IndiGo,6E,IGO,6261,6E6261,IGO6261,,,,,8016DF,,,,,,,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,D38,,2026-06-18T00:15:00+00:00,2026-06-18T00:15:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-06-18T01:50:00+00:00,10.0,,,,,Air France,AF,AFR,3774,AF3774,AFR3774,,,,,8016DF,indigo,6e,igo,6261,6e6261,igo6261,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,D38,,2026-06-18T00:15:00+00:00,2026-06-18T00:15:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-06-18T01:50:00+00:00,10.0,,,,,Virgin Atlantic,VS,VIR,8683,VS8683,VIR8683,,,,,8016DF,indigo,6e,igo,6261,6e6261,igo6261,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,D38,,2026-06-18T00:15:00+00:00,2026-06-18T00:15:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-06-18T01:50:00+00:00,10.0,,,,,Qantas,QF,QFA,5343,QF5343,QFA5343,,,,,8016DF,indigo,6e,igo,6261,6e6261,igo6261,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,D38,,2026-06-18T00:15:00+00:00,2026-06-18T00:15:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-06-18T01:50:00+00:00,10.0,,,,,Japan Airlines,JL,JTL,9042,JL9042,JTL9042,,,,,8016DF,indigo,6e,igo,6261,6e6261,igo6261,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,D38,,2026-06-18T00:15:00+00:00,2026-06-18T00:15:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-06-18T01:50:00+00:00,10.0,,,,,American Airlines,AA,AAL,9174,AA9174,AAL9174,,,,,8016DF,indigo,6e,igo,6261,6e6261,igo6261,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,56,,2026-06-18T00:15:00+00:00,2026-06-18T00:15:00+00:00,,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,2,,8A,2026-06-18T03:10:00+00:00,,,,,,Air India,AI,AIC,2757,AI2757,AIC2757,,,,,8014ED,,,,,,,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,7,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-06-18T06:35:00+00:00,,,,,,VietJet Air,VJ,VJC,896,VJ896,VJC896,,,,,,,,,,,,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,7,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-06-18T06:35:00+00:00,,,,,,,H1,H1,4023,H14023,H14023,,,,,,vietjet air,vj,vjc,896,vj896,vjc896,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,7,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-06-18T06:35:00+00:00,,,,,,Flexflight,W2,FXT,4896,W24896,FXT4896,,,,,,vietjet air,vj,vjc,896,vj896,vjc896,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,7,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-06-18T06:35:00+00:00,,,,,,,A1,A1,2896,A12896,A12896,,,,,,vietjet air,vj,vjc,896,vj896,vjc896,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,13,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,39,,2026-06-18T10:40:00+00:00,,,,,,Air India,AI,AIC,312,AI312,AIC312,,,,,8005EF,,,,,,,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,13,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,39,,2026-06-18T10:40:00+00:00,,,,,,Asiana Airlines,OZ,AAR,6378,OZ6378,AAR6378,,,,,8005EF,air india,ai,aic,312,ai312,aic312,
2026-06-18,scheduled,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,26,,2026-06-18T00:05:00+00:00,2026-06-18T00:05:00+00:00,,,,Netaji Subhas Chandra,Asia/Kolkata,CCU,VECC,,,,2026-06-18T02:20:00+00:00,,,,,,Air India,AI,AIC,173,AI173,AIC173,,,,,8004E0,,,,,,,
2026-06-18,scheduled,,Diosdado Macapagal International (Clark International),Asia/Manila,CRK,RPLC,,,,2026-06-18T02:20:00+00:00,2026-06-18T02:20:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,,,,2026-06-18T05:40:00+00:00,,,,,,China Postal Airlines,CF,CYZ,224,CF224,CYZ224,,,,,,,,,,,,
2026-06-18,scheduled,,Diosdado Macapagal International (Clark International),Asia/Manila,CRK,RPLC,,,,2026-06-18T02:10:00+00:00,2026-06-18T02:10:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,,,,2026-06-18T05:20:00+00:00,,,,,,JDL Airlines,JG,JDL,2782,JG2782,JDL2782,,,,,,,,,,,,
