flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-07-07,scheduled,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-07T07:40:00+00:00,2026-07-07T07:40:00+00:00,,,,Shantou,Asia/Shanghai,SWA,ZGOW,,,,2026-07-07T10:20:00+00:00,,,,,,Loong Air,GJ,CDC,3335,GJ3335,CDC3335,sichuan airlines,3u,csc,6757,3u6757,csc6757,,,,781226,,
2026-07-07,scheduled,,Astana,Asia/Almaty,NQZ,UACC,,,,2026-07-07T03:00:00+00:00,2026-07-07T03:00:00+00:00,,,,Findel,Europe/Luxembourg,LUX,ELLX,,,,2026-07-07T05:52:00+00:00,,,,,,Cargolux,CV,CLX,7957,CV7957,CLX7957,,,,,,,,,,4D012B,,
2026-07-07,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-07-07T07:40:00+00:00,2026-07-07T07:40:00+00:00,,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,37,2026-07-07T11:10:00+00:00,,,,,,Juneyao Air,HO,DKH,7182,HO7182,DKH7182,xiamen air,mf,cxa,8395,mf8395,cxa8395,,,,781F36,,
2026-07-07,scheduled,,Copernicus Airport,Europe/Warsaw,WRO,EPWR,,,,2026-07-07T02:05:00+00:00,2026-07-07T02:05:00+00:00,,,,Adnan Menderes Airport,Europe/Istanbul,ADB,LTBJ,,,,2026-07-07T05:33:00+00:00,,,,,,Enter Air,E4,ENT,4337,E44337,ENT4337,,,,,,,,,,489226,,
2026-07-07,scheduled,,Copernicus Airport,Europe/Warsaw,WRO,EPWR,,,,2026-07-07T02:05:00+00:00,2026-07-07T02:05:00+00:00,,,,Bourgas,Europe/Sofia,BOJ,LBBG,,,,2026-07-07T05:19:00+00:00,,,,,,Ryanair,FR,RYR,,FR,RYR,,,,,,,,,,48C26C,,
2026-07-07,scheduled,,Matei,Pacific/Fiji,TVU,NFNM,,,,2026-07-07T11:55:00+00:00,2026-07-07T11:55:00+00:00,,,,Nadi International,Pacific/Fiji,NAN,NFFN,,,,2026-07-07T13:15:00+00:00,,,,,,Fiji Airways,FJ,FJI,154,FJ154,FJI154,,,,,,,,,,C8807F,,
2026-07-07,scheduled,,Jefman,Asia/Jayapura,SOQ,WASS,,,,2026-07-07T07:15:00+00:00,2026-07-07T07:15:00+00:00,,,,Timika,Asia/Jayapura,TIM,WAYY,,,,2026-07-07T08:40:00+00:00,,,,,,Lion Air,JT,LNI,934,JT934,LNI934,,,,,,,,,,,,
2026-07-07,scheduled,,Jefman,Asia/Jayapura,SOQ,WASS,,,,2026-07-07T07:15:00+00:00,2026-07-07T07:15:00+00:00,,,,Timika,Asia/Jayapura,TIM,WAYY,,,,2026-07-07T08:40:00+00:00,,,,,,Lion Air,JT,LNI,796,JT796,LNI796,,,,,,,,,,,,
2026-07-07,scheduled,,Nabire,Asia/Jayapura,NBX,WABI,,,,2026-07-07T07:00:00+00:00,2026-07-07T07:00:00+00:00,,,,Timika,Asia/Jayapura,TIM,WAYY,,,,2026-07-07T07:55:00+00:00,,,,,,Wings Air,IW,WON,1601,IW1601,WON1601,,,,,,,,,,,,
2026-07-07,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-07-07T03:15:00+00:00,2026-07-07T03:15:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-07T07:10:00+00:00,,,,,,Thai Airways,TG,THA,6456,TG6456,THA6456,shenzhen airlines,zh,csz,306,zh306,csz306,,,,,,
2026-07-07,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-07-07T03:15:00+00:00,2026-07-07T03:15:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-07T07:10:00+00:00,,,,,,Air China,CA,CCA,7980,CA7980,CCA7980,shenzhen airlines,zh,csz,306,zh306,csz306,,,,,,
2026-07-07,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,344,,2026-07-07T06:55:00+00:00,2026-07-07T06:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-07-07T10:10:00+00:00,,,,,,Etihad Airways,EY,ETD,5937,EY5937,ETD5937,china eastern airlines,mu,ces,6662,mu6662,ces6662,,,,7803ED,,
2026-07-07,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,344,,2026-07-07T06:55:00+00:00,2026-07-07T06:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-07-07T10:10:00+00:00,,,,,,Xiamen Air,MF,CXA,7729,MF7729,CXA7729,china eastern airlines,mu,ces,6662,mu6662,ces6662,,,,7803ED,,
2026-07-07,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,344,,2026-07-07T06:55:00+00:00,2026-07-07T06:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-07-07T10:10:00+00:00,,,,,,China United Airlines,KN,CUA,6310,KN6310,CUA6310,china eastern airlines,mu,ces,6662,mu6662,ces6662,,,,7803ED,,
