flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-09-14,scheduled,,,Rendani,Asia/Jayapura,MKW,WAUU,,,,2026-09-14T08:25:00+00:00,2026-09-14T08:25:00+00:00,,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-09-14T09:50:00+00:00,,,,,,Lion Air,JT,LNI,788,JT788,LNI788,,,,,,,,,,,
2026-09-14,scheduled,,,Oksibil,Asia/Jayapura,OKL,WAJO,,,,2026-09-14T08:35:00+00:00,2026-09-14T08:35:00+00:00,,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-09-14T09:25:00+00:00,,,,,,Trigana Air,IL,TGN,252,IL252,TGN252,,,,,,,,,,,
2026-09-14,scheduled,,,Wamena,Asia/Jayapura,WMX,WAVV,,,,2026-09-14T08:40:00+00:00,2026-09-14T08:40:00+00:00,,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-09-14T09:15:00+00:00,,,,,,Trigana Air,IL,TGN,7302,IL7302,TGN7302,,,,,,,,,,,
2026-09-14,scheduled,,,Wamena,Asia/Jayapura,WMX,WAVV,,,,2026-09-14T08:40:00+00:00,2026-09-14T08:40:00+00:00,,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-09-14T09:10:00+00:00,,,,,,Trigana Air,IL,TGN,7342,IL7342,TGN7342,,,,,,,,,,,
2026-09-14,scheduled,,,Dabo,Asia/Jakarta,SIQ,WIKS,,,,2026-09-14T07:00:00+00:00,2026-09-14T07:00:00+00:00,,,,Sultan Taha Syarifudn,Asia/Jakarta,DJB,WIJJ,,,,2026-09-14T07:45:00+00:00,,,,,,Susi Air,,SQS,186,,SQS186,,,,,,,,,,,
2026-09-14,scheduled,,,Dalian,Asia/Shanghai,DLC,ZYTL,,,,2026-09-14T09:05:00+00:00,2026-09-14T09:05:00+00:00,,2026-09-14T09:05:00+00:00,,Tianjin Binhai International,Asia/Shanghai,TSN,ZBTJ,2,,13,2026-09-14T10:00:00+00:00,,,,,,Air China,CA,CCA,2920,CA2920,CCA2920,,,,,,,,,,,
2026-09-14,scheduled,,,Dalian,Asia/Shanghai,DLC,ZYTL,,,,2026-09-14T09:05:00+00:00,2026-09-14T09:05:00+00:00,,2026-09-14T09:05:00+00:00,,Tianjin Binhai International,Asia/Shanghai,TSN,ZBTJ,2,,13,2026-09-14T10:00:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,4610,ZH4610,CSZ4610,,air china,ca,cca,2920,ca2920,cca2920,,,,
2026-09-14,scheduled,,,Dalian,Asia/Shanghai,DLC,ZYTL,,20,,2026-09-14T09:00:00+00:00,2026-09-14T09:00:00+00:00,,2026-09-14T09:00:00+00:00,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,6,2026-09-14T10:45:00+00:00,,,,,,China Eastern Airlines,MU,CES,5674,MU5674,CES5674,,,,,,,,,,,7821CD
2026-09-14,scheduled,,,Dalian,Asia/Shanghai,DLC,ZYTL,,20,,2026-09-14T09:00:00+00:00,2026-09-14T09:00:00+00:00,,2026-09-14T09:00:00+00:00,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,6,2026-09-14T10:45:00+00:00,,,,,,Qantas,QF,QFA,4030,QF4030,QFA4030,,china eastern airlines,mu,ces,5674,mu5674,ces5674,,,,7821CD
2026-09-14,scheduled,,,Dalian,Asia/Shanghai,DLC,ZYTL,,20,,2026-09-14T09:00:00+00:00,2026-09-14T09:00:00+00:00,,2026-09-14T09:00:00+00:00,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,6,2026-09-14T10:45:00+00:00,,,,,,Delta Air Lines,DL,DAL,6419,DL6419,DAL6419,,china eastern airlines,mu,ces,5674,mu5674,ces5674,,,,7821CD
