flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-24,scheduled,,,Myitkyina,Asia/Yangon,MYT,VYMK,,,,2026-08-24T13:35:00+00:00,2026-08-24T13:35:00+00:00,,,,Mingaladon,Asia/Yangon,RGN,VYYY,3,,,2026-08-24T15:55:00+00:00,,,,,,Mann Yadanarpon Airlines,7Y,MYP,953,7Y953,MYP953,,,,,,,,,,,
2026-08-24,scheduled,,,Myitkyina,Asia/Yangon,MYT,VYMK,,,,2026-08-24T12:20:00+00:00,2026-08-24T12:20:00+00:00,,,,Mandalay International,Asia/Yangon,MDL,VYMD,,,,2026-08-24T13:40:00+00:00,,,,,,Mann Yadanarpon Airlines,7Y,MYP,952,7Y952,MYP952,,,,,,,,,,,
2026-08-24,scheduled,,,Hokkaido,Asia/Tokyo,WKJ,RJCW,,2,,2026-08-24T15:50:00+00:00,2026-08-24T15:50:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,2,,,2026-08-24T17:50:00+00:00,,,,,,All Nippon Airways,NH,ANA,574,NH574,ANA574,,,,,,,,,,,
2026-08-24,scheduled,,,Wilson,Africa/Nairobi,WIL,HKNW,,,,2026-08-24T10:00:00+00:00,2026-08-24T10:00:00+00:00,,,,,,MRE,HKMS,,,,2026-08-24T11:00:00+00:00,,,,,,Mombasa Air Safari,,RRV,201,,RRV201,,,,,,,,,,,
2026-08-24,scheduled,,,Wilson,Africa/Nairobi,WIL,HKNW,,,,2026-08-24T10:00:00+00:00,2026-08-24T10:00:00+00:00,,,,,,KEU,HKKE,,,,2026-08-24T11:00:00+00:00,,,,,,Mombasa Air Safari,,RRV,3461,,RRV3461,,,,,,,,,,,
2026-08-24,scheduled,,,Wilson,Africa/Nairobi,WIL,HKNW,,,,2026-08-24T10:00:00+00:00,2026-08-24T10:00:00+00:00,,,,,,ANA,HKOM,,,,2026-08-24T11:00:00+00:00,,,,,,Mombasa Air Safari,,RRV,1455,,RRV1455,,,,,,,,,,,
2026-08-24,scheduled,,,Wilson,Africa/Nairobi,WIL,HKNW,,,,2026-08-24T10:00:00+00:00,2026-08-24T10:00:00+00:00,,,,,,MRE,HKMS,,,,2026-08-24T11:00:00+00:00,,,,,,Mombasa Air Safari,,RRV,6451,,RRV6451,,,,,,,,,,,
2026-08-24,scheduled,,,Wilson,Africa/Nairobi,WIL,HKNW,,,,2026-08-24T10:00:00+00:00,2026-08-24T10:00:00+00:00,,,,,,MDR,HKMZ,,,,2026-08-24T11:00:00+00:00,,,,,,Mombasa Air Safari,,RRV,5447,,RRV5447,,,,,,,,,,,
2026-08-24,scheduled,,,Wilson,Africa/Nairobi,WIL,HKNW,,,,2026-08-24T10:00:00+00:00,2026-08-24T10:00:00+00:00,,,,Nanyuki,Africa/Nairobi,NYK,HKNY,,,,2026-08-24T10:40:00+00:00,,,,,,Sky Shuttle Helicopters,A7,HHK,123,A7123,HHK123,,,,,,,,,,,
2026-08-24,scheduled,,,Wilson,Africa/Nairobi,WIL,HKNW,,,,2026-08-24T10:00:00+00:00,2026-08-24T10:00:00+00:00,,,,,,MRE,HKMS,,,,2026-08-24T10:50:00+00:00,,,,,,Airvan Kenya,,AKV,51,,AKV51,,,,,,,,,,,
