flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-29,scheduled,,Antalya,Europe/Istanbul,AYT,LTAI,,,,2026-08-29T10:35:00+00:00,2026-08-29T10:35:00+00:00,,,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T12:47:00+00:00,,,,,,Enter Air,E4,ENT,7342,E47342,ENT7342,,,,,4892C7,,,,,,,
2026-08-29,scheduled,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T13:05:00+00:00,2026-08-29T13:05:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,,,,2026-08-29T16:58:00+00:00,,,,,,SkyLine Express,4M,MGH,872,4M872,MGH872,,,,,5082EF,,,,,,,
2026-08-29,scheduled,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T12:40:00+00:00,2026-08-29T12:40:00+00:00,,,,Marsa Alam International,Africa/Cairo,RMF,HEMA,,,,2026-08-29T17:59:00+00:00,,,,,,Go2Sky,U5,SEU,7833,U57833,SEU7833,,,,,505CE6,,,,,,,
2026-08-29,scheduled,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T11:55:00+00:00,2026-08-29T11:55:00+00:00,,,,Vienna International,Europe/Vienna,VIE,LOWW,1,,,2026-08-29T13:15:00+00:00,,,,,,SAS,SK,SAS,8154,SK8154,SAS8154,,,,,,,lot,lo,lot,221,lo221,lot221
2026-08-29,scheduled,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T11:55:00+00:00,2026-08-29T11:55:00+00:00,,,,Vienna International,Europe/Vienna,VIE,LOWW,1,,,2026-08-29T13:15:00+00:00,,,,,,Austrian Airlines,OS,AUA,8504,OS8504,AUA8504,,,,,,,lot,lo,lot,221,lo221,lot221
2026-08-29,scheduled,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T11:55:00+00:00,2026-08-29T11:55:00+00:00,,,,Vienna International,Europe/Vienna,VIE,LOWW,1,,,2026-08-29T13:15:00+00:00,,,,,,Air India,AI,AIC,7959,AI7959,AIC7959,,,,,,,lot,lo,lot,221,lo221,lot221
2026-08-29,scheduled,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T11:40:00+00:00,2026-08-29T11:40:00+00:00,,2026-08-29T11:40:00+00:00,,Belgrade Nikola Tesla,Europe/Belgrade,BEG,LYBE,2,,,2026-08-29T13:20:00+00:00,,,,,,SAS,SK,SAS,8146,SK8146,SAS8146,,,,,,,lot,lo,lot,571,lo571,lot571
2026-08-29,scheduled,,Frederic Chopin,Europe/Warsaw,WAW,EPWA,,,,2026-08-29T11:25:00+00:00,2026-08-29T11:25:00+00:00,,,,Mersa Matruh,Africa/Cairo,MUH,HEMM,,,,2026-08-29T15:50:00+00:00,,,,,,Enter Air,E4,ENT,7305,E47305,ENT7305,,,,,48E87F,,,,,,,
2026-08-29,scheduled,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,"C,D",,2026-08-29T17:20:00+00:00,2026-08-29T17:20:00+00:00,,2026-08-29T17:20:00+00:00,,Wenzhou,Asia/Shanghai,WNZ,ZSWZ,2,,,2026-08-29T19:05:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1379,3U1379,CSC1379,,,,,78130E,,china southern airlines,cz,csn,3809,cz3809,csn3809
2026-08-29,scheduled,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-08-29T16:15:00+00:00,2026-08-29T16:15:00+00:00,,,,Wenzhou,Asia/Shanghai,WNZ,ZSWZ,2,,,2026-08-29T18:45:00+00:00,,,,,,China Eastern Airlines,MU,CES,3325,MU3325,CES3325,,,,,7807B0,,sichuan airlines,3u,csc,6903,3u6903,csc6903
2026-08-29,scheduled,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-08-29T16:15:00+00:00,2026-08-29T16:15:00+00:00,,,,Wenzhou,Asia/Shanghai,WNZ,ZSWZ,2,,,2026-08-29T18:45:00+00:00,,,,,,Xiamen Air,MF,CXA,4769,MF4769,CXA4769,,,,,7807B0,,sichuan airlines,3u,csc,6903,3u6903,csc6903
2026-08-29,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,4,L,,2026-08-29T13:30:00+00:00,2026-08-29T13:30:00+00:00,,2026-08-29T13:30:00+00:00,,Xianyang,Asia/Shanghai,XIY,ZLXY,5,,7,2026-08-29T16:25:00+00:00,,,,,,Xiamen Air,MF,CXA,3098,MF3098,CXA3098,,,,,781F2A,,china eastern airlines,mu,ces,2214,mu2214,ces2214
2026-08-29,active,,Xiamen,Asia/Shanghai,XMN,ZSAM,4,L02,,2026-08-29T13:05:00+00:00,2026-08-29T13:05:00+00:00,,2026-08-29T13:15:00+00:00,,Kunming,Asia/Shanghai,KMG,ZPPP,,,,2026-08-29T15:50:00+00:00,10.0,,,,,Shenzhen Airlines,ZH,CSZ,5512,ZH5512,CSZ5512,,,,,,,kunming airlines,ky,kna,8212,ky8212,kna8212
