flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared
2026-08-16,scheduled,,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,D,,2026-08-16T09:00:00+00:00,2026-08-16T09:00:00+00:00,,,,,,URC,ZWWW,3,,,2026-08-16T14:25:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1956,3U1956,CSC1956,china southern airlines,cz,csn,6998,cz6998,csn6998,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Thai Airways,TG,THA,5967,TG5967,THA5967,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Singapore Airlines,SQ,SIA,5402,SQ5402,SIA5402,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Qatar Airways,QR,QTR,4362,QR4362,QTR4362,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Philippine Airlines,PR,PAL,3739,PR3739,PAL3739,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Malaysia Airlines,MH,MAS,4920,MH4920,MAS4920,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Swiss,LX,SWR,4183,LX4183,SWR4183,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Hong Kong Airlines,HX,CRK,3880,HX3880,CRK3880,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9619,GA9619,GIA9619,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
2026-08-16,scheduled,,,Koh Samui,Asia/Bangkok,USM,VTSM,,,,2026-08-16T10:05:00+00:00,2026-08-16T10:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,A6,1,2026-08-16T11:20:00+00:00,,,,,,Etihad Airways,EY,ETD,7693,EY7693,ETD7693,bangkok airways,pg,bkp,124,pg124,bkp124,,,,,
