flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-06-25,scheduled,,,Perth International,Australia/Perth,PER,YPPH,,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,2,,,2026-06-25T04:00:00+00:00,,,,,,Batik Air Malaysia,OD,MXD,9119,OD9119,MXD9119,batik air,id,btk,6081,id6081,btk6081,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,3,2026-06-25T04:45:00+00:00,,,,,,British Airways,BA,BAW,6361,BA6361,BAW6361,qatar airways,qr,qtr,961,qr961,qtr961,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,3,2026-06-25T04:45:00+00:00,,,,,,JetBlue,B6,JBU,6539,B66539,JBU6539,qatar airways,qr,qtr,961,qr961,qtr961,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,3,2026-06-25T04:45:00+00:00,,,,,,Finnair,AY,FIN,6672,AY6672,FIN6672,qatar airways,qr,qtr,961,qr961,qtr961,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,3,2026-06-25T04:45:00+00:00,,,,,,AlphaSky,AS,JAG,5786,AS5786,JAG5786,qatar airways,qr,qtr,961,qr961,qtr961,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,3,2026-06-25T04:45:00+00:00,,,,,,American Airlines,AA,AAL,8306,AA8306,AAL8306,qatar airways,qr,qtr,961,qr961,qtr961,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,3,2026-06-25T04:45:00+00:00,,,,,,Virgin Australia,VA,VOZ,6397,VA6397,VOZ6397,qatar airways,qr,qtr,961,qr961,qtr961,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,7,2026-06-25T05:35:00+00:00,,,,,,Garuda Indonesia,GA,GIA,8855,GA8855,GIA8855,emirates,ek,uae,399,ek399,uae399,,,,,
2026-06-25,scheduled,,,Ngurah Rai International,Asia/Makassar,DPS,WADD,I,,,2026-06-25T00:35:00+00:00,2026-06-25T00:35:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,7,2026-06-25T05:35:00+00:00,,,,,,flydubai,FZ,FDB,6399,FZ6399,FDB6399,emirates,ek,uae,399,ek399,uae399,,,,,
2026-06-25,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-06-25T02:30:00+00:00,2026-06-25T02:30:00+00:00,,,,Charleville,Australia/Brisbane,CTL,YBCV,,,,2026-06-25T04:09:00+00:00,,,,,,empty,,,,,,,,,,,,,,,,7C19C2
