flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-07-07,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-07-07T09:40:00+00:00,2026-07-07T09:40:00+00:00,,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,1,,,2026-07-07T11:50:00+00:00,,,,,,,H1,H1,4420,H14420,H14420,vietjet air,vj,vjc,128,vj128,vjc128,,,,,
2026-07-07,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-07-07T09:40:00+00:00,2026-07-07T09:40:00+00:00,,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,1,,,2026-07-07T11:50:00+00:00,,,,,,Flexflight,W2,FXT,4128,W24128,FXT4128,vietjet air,vj,vjc,128,vj128,vjc128,,,,,
2026-07-07,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-07-07T09:40:00+00:00,2026-07-07T09:40:00+00:00,,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,1,,,2026-07-07T11:50:00+00:00,,,,,,,A1,A1,2128,A12128,A12128,vietjet air,vj,vjc,128,vj128,vjc128,,,,,
2026-07-07,active,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-07-07T09:30:00+00:00,2026-07-07T09:30:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,C6,,2026-07-07T12:35:00+00:00,,,,,,,H1,H1,4033,H14033,H14033,vietjet air,vj,vjc,825,vj825,vjc825,,,,,
2026-07-07,active,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,27,,2026-07-07T08:00:00+00:00,2026-07-07T08:00:00+00:00,2026-07-07T08:10:00+00:00,2026-07-07T08:10:00+00:00,2026-07-07T08:10:00+00:00,Narita International Airport,Asia/Tokyo,NRT,RJAA,2,64,,2026-07-07T16:00:00+00:00,11.0,2026-07-07T15:38:00+00:00,,,,Japan Airlines,JL,JAL,750,JL750,JAL750,,,,,,,,,,,86DD4C
2026-07-07,scheduled,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,19,,2026-07-07T15:55:00+00:00,2026-07-07T15:55:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2026-07-07T17:55:00+00:00,,,,,,Jiangxi Air,RY,CJX,2042,RY2042,CJX2042,hebei airlines,ns,hbh,3294,ns3294,hbh3294,,,,,780794
2026-07-07,scheduled,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,19,,2026-07-07T15:55:00+00:00,2026-07-07T15:55:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2026-07-07T17:55:00+00:00,,,,,,Xiamen Air,MF,CXA,7041,MF7041,CXA7041,hebei airlines,ns,hbh,3294,ns3294,hbh3294,,,,,780794
2026-07-07,scheduled,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,19,,2026-07-07T15:55:00+00:00,2026-07-07T15:55:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2026-07-07T17:55:00+00:00,,,,,,China Southern Airlines,CZ,CSN,1437,CZ1437,CSN1437,hebei airlines,ns,hbh,3294,ns3294,hbh3294,,,,,780794
2026-07-07,scheduled,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,21,,2026-07-07T15:30:00+00:00,2026-07-07T15:30:00+00:00,,,,Wenzhou,Asia/Shanghai,WNZ,ZSWZ,2,,,2026-07-07T17:55:00+00:00,,,,,,Sichuan Airlines,3U,CSC,5593,3U5593,CSC5593,chengdu airlines,eu,uea,2229,eu2229,uea2229,,,,,
2026-07-07,active,,,Entzheim,Europe/Paris,SXB,LFST,,,,2026-07-07T03:00:00+00:00,2026-07-07T03:00:00+00:00,2026-07-07T03:04:00+00:00,2026-07-07T03:04:00+00:00,2026-07-07T03:04:00+00:00,Bron,Europe/Paris,LYN,LFLY,,,,2026-07-07T03:52:00+00:00,4.0,,,,,Oyonnair,,OYO,9,,OYO9,,,,,,,,,,,39A90B
2026-07-07,scheduled,,,Sheremetyevo International,Europe/Moscow,SVO,UUEE,B,101,,2026-07-07T11:00:00+00:00,2026-07-07T11:00:00+00:00,,,,Pulkovo,Europe/Moscow,LED,ULLI,1,,B5,2026-07-07T12:25:00+00:00,,,,,,Rossiya,FV,SDM,6059,FV6059,SDM6059,,,,,,,,,,,155BC1
