flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-09-15,scheduled,,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-15T09:00:00+00:00,2026-09-15T09:00:00+00:00,,,,Rennell,Pacific/Guadalcanal,RNL,AGGR,,,,2026-09-15T10:00:00+00:00,,,,,,Solomon Airlines,IE,SOL,322,IE322,SOL322,,,,,,,,,,,
2026-09-15,scheduled,,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-15T08:40:00+00:00,2026-09-15T08:40:00+00:00,,,,Gizo,Pacific/Guadalcanal,GZO,AGGN,,,,2026-09-15T10:10:00+00:00,,,,,,Solomon Airlines,IE,SOL,354,IE354,SOL354,,,,,,,,,,,
2026-09-15,scheduled,,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-15T12:25:00+00:00,2026-09-15T12:25:00+00:00,,,,Gizo,Pacific/Guadalcanal,GZO,AGGN,,,,2026-09-15T14:15:00+00:00,,,,,,Solomon Airlines,IE,SOL,4356,IE4356,SOL4356,,,,,,,,,,,
2026-09-15,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,0.0,2026-09-15T08:45:00+00:00,2026-09-15T08:45:00+00:00,,2026-09-15T08:45:00+00:00,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-09-15T10:50:00+00:00,,,,,,Flexflight,W2,FXT,4447,W24447,FXT4447,,vietjet air,vj,vjc,447,vj447,vjc447,,,,
2026-09-15,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,0.0,2026-09-15T08:45:00+00:00,2026-09-15T08:45:00+00:00,,2026-09-15T08:45:00+00:00,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-09-15T10:50:00+00:00,,,,,,vietjet air,A1,A1,2447,A12447,A12447,,vietjet air,vj,vjc,447,vj447,vjc447,,,,
2026-09-15,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,0.0,2026-09-15T08:45:00+00:00,2026-09-15T08:45:00+00:00,,2026-09-15T08:45:00+00:00,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-09-15T10:50:00+00:00,,,,,,vietjet air,H1,H1,4407,H14407,H14407,,vietjet air,vj,vjc,447,vj447,vjc447,,,,
2026-09-15,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,0.0,2026-09-15T08:45:00+00:00,2026-09-15T08:45:00+00:00,,2026-09-15T08:45:00+00:00,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-09-15T10:55:00+00:00,,,,,,vietjet air,H1,H1,3230,H13230,H13230,,vietjet air,vj,vjc,129,vj129,vjc129,,,,
2026-09-15,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,0.0,2026-09-15T08:45:00+00:00,2026-09-15T08:45:00+00:00,,2026-09-15T08:45:00+00:00,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-09-15T10:55:00+00:00,,,,,,Flexflight,W2,FXT,4129,W24129,FXT4129,,vietjet air,vj,vjc,129,vj129,vjc129,,,,
2026-09-15,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,0.0,2026-09-15T08:45:00+00:00,2026-09-15T08:45:00+00:00,,2026-09-15T08:45:00+00:00,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-09-15T10:55:00+00:00,,,,,,vietjet air,A1,A1,2129,A12129,A12129,,vietjet air,vj,vjc,129,vj129,vjc129,,,,
2026-09-15,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,2,,0.0,2026-09-15T08:45:00+00:00,2026-09-15T08:45:00+00:00,,2026-09-15T08:45:00+00:00,,Doha International,Asia/Qatar,DOH,OTHH,,,,2026-09-15T11:35:00+00:00,,,,,,RwandAir,WB,RWD,1536,WB1536,RWD1536,,qatar airways,qr,qtr,983,qr983,qtr983,,,,06A2F8
