flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-09-25,scheduled,,,Weihai,Asia/Shanghai,WEH,ZSWH,,,,2026-09-25T02:50:00+00:00,2026-09-25T02:50:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,,,,2026-09-25T04:50:00+00:00,,,,,,Gridiron Air,GI,RZN,4012,GI4012,RZN4012,,,,,,,,,,,
2026-09-25,scheduled,,,Springhill,Australia/Sydney,OAG,YORG,,,,2026-09-25T00:49:00+00:00,2026-09-25T00:49:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,,,,2026-09-25T01:21:00+00:00,,,,,,empty,,,,,,,,,,7C0012,,,,,,
2026-09-25,scheduled,,,Mackay,Australia/Brisbane,MKY,YBMK,,,,2026-09-25T02:00:00+00:00,2026-09-25T02:00:00+00:00,,,,Mackay,Australia/Brisbane,MKY,YBMK,,,,2026-09-25T03:58:00+00:00,,,,,,empty,,,,,,,,,,7C7F47,,,,,,
2026-09-25,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,,,,2026-09-25T01:30:00+00:00,2026-09-25T01:30:00+00:00,,,,Barajas,Europe/Madrid,MAD,LEMD,,,,2026-09-25T06:49:00+00:00,,,,,,Sichuan Airlines,3U,CSC,,3U,CSC,,,,,781610,,,,,,
2026-09-25,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,0.0,2026-09-25T04:10:00+00:00,2026-09-25T04:10:00+00:00,,2026-09-25T04:10:00+00:00,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-09-25T04:49:00+00:00,,,,,,Team Global Express,,TFX,36,,TFX36,,,,,C82AE2,,,,,,
2026-09-25,scheduled,,,Samratulangi,Asia/Makassar,MDC,WAMM,,,,2026-09-25T02:20:00+00:00,2026-09-25T02:20:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,115,8,2026-09-25T08:40:00+00:00,,,,,,Eastar Jet,ZE,ESR,536,ZE536,ESR536,,,,,,,,,,,
2026-09-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,106A,60.0,2026-09-25T01:30:00+00:00,2026-09-25T01:30:00+00:00,,2026-09-25T02:30:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,276,15,2026-09-25T04:10:00+00:00,,,,,,Korean Air,KE,KAL,5706,KE5706,KAL5706,,,,,,asiana airlines,oz,aar,177,oz177,aar177
2026-09-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,106A,60.0,2026-09-25T01:30:00+00:00,2026-09-25T01:30:00+00:00,,2026-09-25T02:30:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,276,15,2026-09-25T04:10:00+00:00,,,,,,All Nippon Airways,NH,ANA,6895,NH6895,ANA6895,,,,,,asiana airlines,oz,aar,177,oz177,aar177
2026-09-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,2,73,0.0,2026-09-25T01:25:00+00:00,2026-09-25T01:25:00+00:00,,2026-09-25T01:25:00+00:00,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-09-25T05:55:00+00:00,,,,,,Thai Airways,TG,THA,6102,TG6102,THA6102,,,,,,all nippon airways,nh,ana,877,nh877,ana877
2026-09-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,113,0.0,2026-09-25T01:20:00+00:00,2026-09-25T01:20:00+00:00,,2026-09-25T01:20:00+00:00,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-09-25T05:45:00+00:00,,,,,,Air Astana,KC,KZR,1033,KC1033,KZR1033,,,,,,jet linx aviation,jl,jtl,33,jl33,jtl33
2026-09-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,113,0.0,2026-09-25T01:20:00+00:00,2026-09-25T01:20:00+00:00,,2026-09-25T01:20:00+00:00,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-09-25T05:45:00+00:00,,,,,,IndiGo,6E,IGO,3807,6E3807,IGO3807,,,,,,jet linx aviation,jl,jtl,33,jl33,jtl33
2026-09-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,113,0.0,2026-09-25T01:20:00+00:00,2026-09-25T01:20:00+00:00,,2026-09-25T01:20:00+00:00,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-09-25T05:45:00+00:00,,,,,,SriLankan Airlines,UL,ALK,3357,UL3357,ALK3357,,,,,,jet linx aviation,jl,jtl,33,jl33,jtl33
