flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared
2026-07-23,active,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,232,,2026-07-23T09:00:00+00:00,2026-07-23T09:00:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B05,2026-07-23T11:40:00+00:00,15.0,,,,,Chengdu Airlines,EU,UEA,9026,EU9026,UEA9026,loong air,gj,cdc,8052,gj8052,cdc8052,,,,781896,,
2026-07-23,active,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,203,,2026-07-23T08:35:00+00:00,2026-07-23T08:35:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,Garze Gesar Airport,,GZG,ZUGZ,,,,2026-07-23T09:50:00+00:00,13.0,2026-07-23T09:44:00+00:00,,,,China Eastern Airlines,MU,CES,3255,MU3255,CES3255,sichuan airlines,3u,csc,6627,3u6627,csc6627,,,,781226,,
2026-07-23,active,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,203,,2026-07-23T08:35:00+00:00,2026-07-23T08:35:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,Garze Gesar Airport,,GZG,ZUGZ,,,,2026-07-23T09:50:00+00:00,13.0,2026-07-23T09:44:00+00:00,,,,Xiamen Air,MF,CXA,4675,MF4675,CXA4675,sichuan airlines,3u,csc,6627,3u6627,csc6627,,,,781226,,
2026-07-23,active,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,203,,2026-07-23T08:35:00+00:00,2026-07-23T08:35:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,Garze Gesar Airport,,GZG,ZUGZ,,,,2026-07-23T09:50:00+00:00,13.0,2026-07-23T09:44:00+00:00,,,,China Express Airlines,G5,HXA,8715,G58715,HXA8715,sichuan airlines,3u,csc,6627,3u6627,csc6627,,,,781226,,
2026-07-23,active,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,203,,2026-07-23T08:35:00+00:00,2026-07-23T08:35:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,Garze Gesar Airport,,GZG,ZUGZ,,,,2026-07-23T09:50:00+00:00,13.0,2026-07-23T09:44:00+00:00,,,,Chengdu Airlines,EU,UEA,7215,EU7215,UEA7215,sichuan airlines,3u,csc,6627,3u6627,csc6627,,,,781226,,
2026-07-23,active,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,203,,2026-07-23T08:35:00+00:00,2026-07-23T08:35:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,2026-07-23T08:48:00+00:00,Garze Gesar Airport,,GZG,ZUGZ,,,,2026-07-23T09:50:00+00:00,13.0,2026-07-23T09:44:00+00:00,,,,China Southern Airlines,CZ,CSN,4787,CZ4787,CSN4787,sichuan airlines,3u,csc,6627,3u6627,csc6627,,,,781226,,
2026-07-23,active,,Beijing Daxing International Airport,+8,PKX,ZBAD,,E90,,2026-07-23T09:40:00+00:00,2026-07-23T09:40:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-07-23T14:00:00+00:00,2.0,,,,,Japan Airlines,JL,JTL,5074,JL5074,JTL5074,china southern airlines,cz,csn,647,cz647,csn647,,,,,,
2026-07-23,active,,Beijing Daxing International Airport,+8,PKX,ZBAD,,E90,,2026-07-23T09:40:00+00:00,2026-07-23T09:40:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-07-23T14:00:00+00:00,2.0,,,,,Sichuan Airlines,3U,CSC,7055,3U7055,CSC7055,china southern airlines,cz,csn,647,cz647,csn647,,,,,,
2026-07-23,active,,Beijing Daxing International Airport,+8,PKX,ZBAD,,A01,,2026-07-23T08:55:00+00:00,2026-07-23T08:55:00+00:00,2026-07-23T09:02:00+00:00,2026-07-23T09:02:00+00:00,2026-07-23T09:02:00+00:00,Yibin,Asia/Shanghai,YBP,ZUYB,,,,2026-07-23T12:15:00+00:00,7.0,,,,,Beijing Airlines,,BJN,8381,,BJN8381,,,,,,,,,,7805C6,,
2026-07-23,active,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-07-23T06:15:00+00:00,2026-07-23T06:15:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,1,,,2026-07-23T08:00:00+00:00,,,,,,FlyArystan,FS,AYN,7054,FS7054,AYN7054,,,,,,,,,,4CABFE,,
2026-07-23,scheduled,,Calgary International Airport,America/Edmonton,YYC,CYYC,,A24,,2026-07-23T00:15:00+00:00,2026-07-23T00:15:00+00:00,,,,Halifax International,America/Halifax,YHZ,CYHZ,,12,,2026-07-23T08:10:00+00:00,,,,,,Qantas,QF,QFA,3997,QF3997,QFA3997,westjet,ws,wja,674,ws674,wja674,,,,C0404E,,
2026-07-23,scheduled,,Calgary International Airport,America/Edmonton,YYC,CYYC,,A24,,2026-07-23T00:15:00+00:00,2026-07-23T00:15:00+00:00,,,,Halifax International,America/Halifax,YHZ,CYHZ,,12,,2026-07-23T08:10:00+00:00,,,,,,Fiji Airways,FJ,FJI,6054,FJ6054,FJI6054,westjet,ws,wja,674,ws674,wja674,,,,C0404E,,
2026-07-23,scheduled,,Calgary International Airport,America/Edmonton,YYC,CYYC,,A24,,2026-07-23T00:15:00+00:00,2026-07-23T00:15:00+00:00,,,,Halifax International,America/Halifax,YHZ,CYHZ,,12,,2026-07-23T08:10:00+00:00,,,,,,Delta Air Lines,DL,DAL,7140,DL7140,DAL7140,westjet,ws,wja,674,ws674,wja674,,,,C0404E,,
2026-07-23,scheduled,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,"E,F",,2026-07-23T16:00:00+00:00,2026-07-23T16:00:00+00:00,,,,Mian Yang,Asia/Shanghai,MIG,ZUMY,T1,,,2026-07-23T18:15:00+00:00,,,,,,Loong Air,GJ,CDC,3902,GJ3902,CDC3902,tibet airlines,tv,tba,6092,tv6092,tba6092,,,,781DFB,,
2026-07-23,scheduled,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,"E,F",,2026-07-23T16:00:00+00:00,2026-07-23T16:00:00+00:00,,,,Mian Yang,Asia/Shanghai,MIG,ZUMY,T1,,,2026-07-23T18:15:00+00:00,,,,,,Kunming Airlines,KY,KNA,6840,KY6840,KNA6840,tibet airlines,tv,tba,6092,tv6092,tba6092,,,,781DFB,,
2026-07-23,scheduled,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,"E,F",,2026-07-23T16:00:00+00:00,2026-07-23T16:00:00+00:00,,,,Mian Yang,Asia/Shanghai,MIG,ZUMY,T1,,,2026-07-23T18:15:00+00:00,,,,,,Chengdu Airlines,EU,UEA,7940,EU7940,UEA7940,tibet airlines,tv,tba,6092,tv6092,tba6092,,,,781DFB,,
2026-07-23,scheduled,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,"E,F",,2026-07-23T16:00:00+00:00,2026-07-23T16:00:00+00:00,,,,Mian Yang,Asia/Shanghai,MIG,ZUMY,T1,,,2026-07-23T18:15:00+00:00,,,,,,Shandong Airlines,SC,CDG,6238,SC6238,CDG6238,tibet airlines,tv,tba,6092,tv6092,tba6092,,,,781DFB,,
2026-07-23,scheduled,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,"E,F",,2026-07-23T16:00:00+00:00,2026-07-23T16:00:00+00:00,,,,Mian Yang,Asia/Shanghai,MIG,ZUMY,T1,,,2026-07-23T18:15:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,3948,ZH3948,CSZ3948,tibet airlines,tv,tba,6092,tv6092,tba6092,,,,781DFB,,
2026-07-23,scheduled,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,"E,F",,2026-07-23T16:00:00+00:00,2026-07-23T16:00:00+00:00,,,,Mian Yang,Asia/Shanghai,MIG,ZUMY,T1,,,2026-07-23T18:15:00+00:00,,,,,,Air China,CA,CCA,5376,CA5376,CCA5376,tibet airlines,tv,tba,6092,tv6092,tba6092,,,,781DFB,,
2026-07-23,scheduled,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,,,2026-07-23T16:00:00+00:00,2026-07-23T16:00:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-07-23T19:10:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1343,3U1343,CSC1343,china southern airlines,cz,csn,3735,cz3735,csn3735,,,,781401,,
