flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-07-23,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,B05,,2026-07-23T06:45:00+00:00,2026-07-23T06:45:00+00:00,,,,Linyi,Asia/Shanghai,LYI,ZSLY,T2,,,2026-07-23T08:20:00+00:00,,,,,,Chengdu Airlines,EU,UEA,9121,EU9121,UEA9121,loong air,gj,cdc,8617,gj8617,cdc8617,,,,,
2026-07-23,scheduled,,,Helsinki-vantaa,Europe/Helsinki,HEL,EFHK,,,,2026-07-23T00:25:00+00:00,2026-07-23T00:25:00+00:00,,,,Vilnius,Europe/Vilnius,VNO,EYVI,,,,2026-07-23T01:34:00+00:00,,,,,,Turkish Airlines,TK,THY,6541,TK6541,THY6541,,,,,,,,,,,4BA9F9
2026-07-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,2,48,,2026-07-23T07:25:00+00:00,2026-07-23T07:25:00+00:00,,,,Kansai International,Asia/Tokyo,KIX,RJBB,1,,,2026-07-23T08:40:00+00:00,,,,,,Air China,CA,CCA,6712,CA6712,CCA6712,all nippon airways,nh,ana,93,nh93,ana93,,,,,
2026-07-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,7,,2026-07-23T07:25:00+00:00,2026-07-23T07:25:00+00:00,,,,Hiroshima Airport,Asia/Tokyo,HIJ,RJOA,,,,2026-07-23T08:45:00+00:00,,,,,,Bangkok Airways,PG,BKP,4156,PG4156,BKP4156,jet linx aviation,jl,jtl,253,jl253,jtl253,,,,,
2026-07-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,7,,2026-07-23T07:25:00+00:00,2026-07-23T07:25:00+00:00,,,,Hiroshima Airport,Asia/Tokyo,HIJ,RJOA,,,,2026-07-23T08:45:00+00:00,,,,,,AlphaSky,AS,JAG,7461,AS7461,JAG7461,jet linx aviation,jl,jtl,253,jl253,jtl253,,,,,
2026-07-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,7,,2026-07-23T07:25:00+00:00,2026-07-23T07:25:00+00:00,,,,Hiroshima Airport,Asia/Tokyo,HIJ,RJOA,,,,2026-07-23T08:45:00+00:00,,,,,,Qatar Airways,QR,QTR,6025,QR6025,QTR6025,jet linx aviation,jl,jtl,253,jl253,jtl253,,,,,
2026-07-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,1,,2026-07-23T07:20:00+00:00,2026-07-23T07:20:00+00:00,,,,Ube,Asia/Tokyo,UBJ,RJDC,,,,2026-07-23T09:00:00+00:00,,,,,,All Nippon Airways,NH,ANA,3811,NH3811,ANA3811,starflyer,7g,sfj,11,7g11,sfj11,,,,,
2026-07-23,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,1,,,2026-07-23T06:00:00+00:00,2026-07-23T06:00:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-07-23T08:10:00+00:00,,,,,,Flexflight,W2,FXT,4121,W24121,FXT4121,vietjet air,vj,vjc,121,vj121,vjc121,,,,,
2026-07-23,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,,,,2026-07-23T02:40:00+00:00,2026-07-23T02:40:00+00:00,,,,Franz Josef Strauss,Europe/Berlin,MUC,EDDM,,,,2026-07-23T08:54:00+00:00,,,,,,Vietnam Airlines,VN,HVN,35,VN35,HVN35,,,,,,,,,,,8880E0
2026-07-23,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,,,,2026-07-23T02:40:00+00:00,2026-07-23T02:40:00+00:00,,,,Franz Josef Strauss,Europe/Berlin,MUC,EDDM,,,,2026-07-23T08:54:00+00:00,,,,,,Air Europa,UX,AEA,3941,UX3941,AEA3941,vietnam airlines,vn,hvn,35,vn35,hvn35,,,,,8880E0
2026-07-23,scheduled,,,Hanover Airport,Europe/Berlin,HAJ,EDDV,,,,2026-07-23T00:55:00+00:00,2026-07-23T00:55:00+00:00,,,,Barajas,Europe/Madrid,MAD,LEMD,,,,2026-07-23T04:00:00+00:00,,,,,,ASL Airlines,5H,ABR,403,5H403,ABR403,,,,,,,,,,,4CAC62
2026-07-23,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,2,,,2026-07-23T03:10:00+00:00,2026-07-23T03:10:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-07-23T05:25:00+00:00,,,,,,IndiGo,6E,IGO,8888,6E8888,IGO8888,,,,,,,,,,,801401
2026-07-23,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,,,2026-07-23T03:00:00+00:00,2026-07-23T03:00:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,,2026-07-23T05:15:00+00:00,,,,,,IndiGo,6E,IGO,9999,6E9999,IGO9999,,,,,,,,,,,8015D8
2026-07-23,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,17A,,2026-07-23T00:05:00+00:00,2026-07-23T00:05:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-07-23T06:35:00+00:00,,,,,,,H1,H1,4023,H14023,H14023,vietjet air,vj,vjc,896,vj896,vjc896,,,,,8881F2
2026-07-23,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,17A,,2026-07-23T00:05:00+00:00,2026-07-23T00:05:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-07-23T06:35:00+00:00,,,,,,Flexflight,W2,FXT,4896,W24896,FXT4896,vietjet air,vj,vjc,896,vj896,vjc896,,,,,8881F2
2026-07-23,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,17A,,2026-07-23T00:05:00+00:00,2026-07-23T00:05:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-07-23T06:35:00+00:00,,,,,,,A1,A1,2896,A12896,A12896,vietjet air,vj,vjc,896,vj896,vjc896,,,,,8881F2
2026-07-23,scheduled,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,,,,2026-07-23T03:30:00+00:00,2026-07-23T03:30:00+00:00,,,,Arlanda,Europe/Stockholm,ARN,ESSA,,,,2026-07-23T06:36:00+00:00,10.0,,,,,Air China Cargo,CAO,CAO,,CAO,CAO,,,,,,,,,,,780019
2026-07-23,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-07-23T06:55:00+00:00,2026-07-23T06:55:00+00:00,,,,Wenzhou,Asia/Shanghai,WNZ,ZSWZ,2,,,2026-07-23T09:35:00+00:00,,,,,,Xiamen Air,MF,CXA,4837,MF4837,CXA4837,sichuan airlines,3u,csc,8021,3u8021,csc8021,,,,,
