flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-07-30,scheduled,,Karumba,Australia/Brisbane,KRB,YKMB,,,,2026-07-30T09:30:00+00:00,2026-07-30T09:30:00+00:00,,,,Cairns,Australia/Brisbane,CNS,YBCS,,,,2026-07-29T11:26:00+00:00,,,,,,Hinterland Aviation,OI,HND,434,OI434,HND434,,,,,7C3484,,,,,,,
2026-07-30,scheduled,,Perth International,Australia/Perth,PER,YPPH,,,,2026-07-30T11:45:00+00:00,2026-07-30T11:45:00+00:00,,,,Geraldton,Australia/Perth,GET,YGEL,,,,2026-07-29T12:29:00+00:00,,,,,,empty,,,,,,,,,,7CAF5C,,,,,,,
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,2,,,2026-07-29T11:00:00+00:00,2026-07-29T11:00:00+00:00,,,,Arusha,Africa/Dar_es_Salaam,ARK,HTAR,,,,2026-07-29T12:15:00+00:00,,,,,,Flightlink,YS,FLZ,105,YS105,FLZ105,,,,,,,,,,,,
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,2,,,2026-07-29T10:50:00+00:00,2026-07-29T10:50:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-29T12:20:00+00:00,,,,,,Precision Air,PW,PRF,731,PW731,PRF731,,,,,080041,,,,,,,
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,2,,,2026-07-29T10:50:00+00:00,2026-07-29T10:50:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-29T12:20:00+00:00,,,,,,,H1,H1,1939,H11939,H11939,,,,,080041,,precision air,pw,prf,731,pw731,prf731
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,2,,,2026-07-29T10:50:00+00:00,2026-07-29T10:50:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-29T12:20:00+00:00,,,,,,Kenya Airways,KQ,KQA,6731,KQ6731,KQA6731,,,,,080041,,precision air,pw,prf,731,pw731,prf731
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,3,,,2026-07-29T10:50:00+00:00,2026-07-29T10:50:00+00:00,,,,Valerio Catullo,Europe/Rome,VRN,LIPX,,,,2026-07-29T18:05:00+00:00,10.0,,,,,Neos,NO,NOS,278,NO278,NOS278,,,,,4CA8FA,,,,,,,
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,3,,,2026-07-29T10:10:00+00:00,2026-07-29T10:10:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-29T11:30:00+00:00,,,,,,Kenya Airways,KQ,KQA,491,KQ491,KQA491,,,,,04C0D4,,,,,,,
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,3,,,2026-07-29T10:10:00+00:00,2026-07-29T10:10:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-29T11:30:00+00:00,,,,,,Saudia,SV,SVA,6922,SV6922,SVA6922,,,,,04C0D4,,kenya airways,kq,kqa,491,kq491,kqa491
2026-07-29,scheduled,,Kisauni,Africa/Dar_es_Salaam,ZNZ,HTZA,3,,,2026-07-29T10:10:00+00:00,2026-07-29T10:10:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-29T11:30:00+00:00,,,,,,Precision Air,PW,PRF,4491,PW4491,PRF4491,,,,,04C0D4,,kenya airways,kq,kqa,491,kq491,kqa491
