flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-08-29,scheduled,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,2,D5,,2026-08-29T08:50:00+00:00,2026-08-29T08:50:00+00:00,,2026-08-29T08:50:00+00:00,,Narita International Airport,Asia/Tokyo,NRT,RJAA,2,71,,2026-08-29T13:15:00+00:00,,,,,,Japan Airlines,JL,JTL,5046,JL5046,JTL5046,china airlines,ci,cal,100,ci100,cal100,,,,89916D,,
2026-08-29,scheduled,,Hobart,Australia/Hobart,HBA,YMHB,D,5,,2026-08-29T06:05:00+00:00,2026-08-29T06:05:00+00:00,,2026-08-29T06:05:00+00:00,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,3,Q2,2026-08-29T08:05:00+00:00,,,,,,QantasLink,,QLK,1508,,QLK1508,,,,,,,,,,7C78B2,,
2026-08-29,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-08-29T07:30:00+00:00,2026-08-29T07:30:00+00:00,,2026-08-29T07:30:00+00:00,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,,2026-08-29T11:00:00+00:00,,,,,,Shandong Airlines,SC,CDG,9137,SC9137,CDG9137,shenzhen airlines,zh,csz,9101,zh9101,csz9101,,,,781FB3,,
2026-08-29,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-08-29T07:30:00+00:00,2026-08-29T07:30:00+00:00,,2026-08-29T07:30:00+00:00,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,,2026-08-29T11:00:00+00:00,,,,,,Air China,CA,CCA,3401,CA3401,CCA3401,shenzhen airlines,zh,csz,9101,zh9101,csz9101,,,,781FB3,,
2026-08-29,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,"A,B",,2026-08-29T07:30:00+00:00,2026-08-29T07:30:00+00:00,,2026-08-29T07:25:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-08-29T10:40:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1061,3U1061,CSC1061,china southern airlines,cz,csn,3171,cz3171,csn3171,,,,,,
2026-08-29,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-08-29T07:25:00+00:00,2026-08-29T07:25:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-08-29T10:50:00+00:00,,,,,,Shandong Airlines,SC,CDG,9193,SC9193,CDG9193,shenzhen airlines,zh,csz,9235,zh9235,csz9235,,,,,,
2026-08-29,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-08-29T07:25:00+00:00,2026-08-29T07:25:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-08-29T10:50:00+00:00,,,,,,Air China,CA,CCA,3535,CA3535,CCA3535,shenzhen airlines,zh,csz,9235,zh9235,csz9235,,,,,,
2026-08-29,scheduled,,Capodichino,Europe/Rome,NAP,LIRN,,,,2026-08-29T00:00:00+00:00,2026-08-29T00:00:00+00:00,,,,Stansted,Europe/London,STN,EGSS,,,,2026-08-29T01:32:00+00:00,,,,,,Ryanair,FR,RYR,,FR,RYR,,,,,,,,,,4CA27A,,
2026-08-29,scheduled,,Coconut Island,Australia/Brisbane,CNC,YCCT,,,,2026-08-29T08:55:00+00:00,2026-08-29T08:55:00+00:00,,,,Murray Island,Australia/Brisbane,MYI,YMAE,,,,2026-08-29T09:25:00+00:00,,,,,,Hinterland Aviation,OI,HND,418,OI418,HND418,,,,,,,,,,7C3F3D,,
2026-08-29,scheduled,,Coconut Island,Australia/Brisbane,CNC,YCCT,,,,2026-08-29T08:55:00+00:00,2026-08-29T08:55:00+00:00,,,,Murray Island,Australia/Brisbane,MYI,YMAE,,,,2026-08-29T09:25:00+00:00,,,,,,Hinterland Aviation,OI,HND,511,OI511,HND511,,,,,,,,,,,,
