flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft
2026-07-16,scheduled,,Esenboga International,Europe/Istanbul,ESB,LTAC,,,,2026-07-16T00:05:00+00:00,2026-07-16T00:05:00+00:00,,,,Trabzon,Europe/Istanbul,TZX,LTCG,,,,2026-07-16T01:20:00+00:00,10.0,,,,,Turkish Airlines,TK,THY,4286,TK4286,THY4286,,,,,4BAA93,,,,,,,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Gonggar/Lhasa,Asia/Shanghai,LXA,ZULS,T3,,,2026-07-16T09:35:00+00:00,,,,,,China Express Airlines,G5,HXA,6215,G56215,HXA6215,,,,,7810E8,sichuan airlines,3u,csc,8633,3u8633,csc8633,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Gonggar/Lhasa,Asia/Shanghai,LXA,ZULS,T3,,,2026-07-16T09:35:00+00:00,,,,,,China Eastern Airlines,MU,CES,3435,MU3435,CES3435,,,,,7810E8,sichuan airlines,3u,csc,8633,3u8633,csc8633,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Gonggar/Lhasa,Asia/Shanghai,LXA,ZULS,T3,,,2026-07-16T09:35:00+00:00,,,,,,Xiamen Air,MF,CXA,4965,MF4965,CXA4965,,,,,7810E8,sichuan airlines,3u,csc,8633,3u8633,csc8633,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Gonggar/Lhasa,Asia/Shanghai,LXA,ZULS,T3,,,2026-07-16T09:35:00+00:00,,,,,,Chengdu Airlines,EU,UEA,7401,EU7401,UEA7401,,,,,7810E8,sichuan airlines,3u,csc,8633,3u8633,csc8633,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Gonggar/Lhasa,Asia/Shanghai,LXA,ZULS,T3,,,2026-07-16T09:35:00+00:00,,,,,,China Southern Airlines,CZ,CSN,9051,CZ9051,CSN9051,,,,,7810E8,sichuan airlines,3u,csc,8633,3u8633,csc8633,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,,4,2026-07-16T08:50:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,3849,ZH3849,CSZ3849,,,,,781F5B,china express airlines,g5,hxa,4549,g54549,hxa4549,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,,4,2026-07-16T08:50:00+00:00,,,,,,Shandong Airlines,SC,CDG,3815,SC3815,CDG3815,,,,,781F5B,china express airlines,g5,hxa,4549,g54549,hxa4549,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,,4,2026-07-16T08:50:00+00:00,,,,,,Xiamen Air,MF,CXA,4149,MF4149,CXA4149,,,,,781F5B,china express airlines,g5,hxa,4549,g54549,hxa4549,
2026-07-16,scheduled,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-16T06:45:00+00:00,2026-07-16T06:45:00+00:00,,,,Daguocun,Asia/Shanghai,SJW,ZBSJ,T2,,4,2026-07-16T08:50:00+00:00,,,,,,Loong Air,GJ,CDC,5713,GJ5713,CDC5713,,,,,781F5B,china express airlines,g5,hxa,4549,g54549,hxa4549,
