flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-07-09,scheduled,,Erfurt,Europe/Berlin,ERF,EDDE,,,,2026-07-09T01:10:00+00:00,2026-07-09T01:10:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,2,,,2026-07-09T05:35:00+00:00,15.0,,,,,Freebird Airlines,FH,FHY,1204,FH1204,FHY1204,,,,,4B9906,,,,,,,
2026-07-09,scheduled,,Erfurt,Europe/Berlin,ERF,EDDE,,,,2026-07-09T02:05:00+00:00,2026-07-09T02:05:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,2,,,2026-07-09T06:15:00+00:00,10.0,,,,,SunExpress,XQ,SXS,247,XQ247,SXS247,,,,,4BCDE7,,,,,,,
2026-07-09,scheduled,,Enshi,Asia/Shanghai,ENH,ZHES,,1-3,,2026-07-09T07:30:00+00:00,2026-07-09T07:30:00+00:00,,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,,2026-07-09T08:40:00+00:00,,,,,,China Southern Airlines,CZ,CSN,6590,CZ6590,CSN6590,,,,,7805EC,,,,,,,
2026-07-09,scheduled,,Emerald,Australia/Brisbane,EMD,YEML,,,,2026-07-09T09:20:00+00:00,2026-07-09T09:20:00+00:00,,,,Barcaldine,Australia/Brisbane,BCI,YBAR,,,,2026-07-09T10:22:00+00:00,,,,,,empty,,,,,,,,,,7C7AC6,,,,,,,
2026-07-09,scheduled,,East Midlands,Europe/London,EMA,EGNX,,,,2026-07-09T00:50:00+00:00,2026-07-09T00:50:00+00:00,,,,Aldergrove International Airport,Europe/London,BFS,EGAA,,,,2026-07-09T01:39:00+00:00,10.0,,,,,West Atlantic,,NPT,,,NPT,,,,,407477,,,,,,,
2026-07-09,scheduled,,East Midlands,Europe/London,EMA,EGNX,,,,2026-07-09T00:10:00+00:00,2026-07-09T00:10:00+00:00,,,,Halle,Europe/Berlin,LEJ,EDDP,,,,2026-07-09T03:01:00+00:00,10.0,,,,,DHL Air,D0,DHK,,D0,DHK,,,,,4520F9,,,,,,,
2026-07-09,scheduled,,Erbil International (irbil Northwest),Asia/Baghdad,EBL,ORER,,,,2026-07-09T02:20:00+00:00,2026-07-09T02:20:00+00:00,,,,Sabiha Gokcen,Europe/Istanbul,SAW,LTFJ,,,,2026-07-09T05:05:00+00:00,,,,,,AJet,VF,TKJ,152,VF152,TKJ152,,,,,,,,,,,,
2026-07-09,scheduled,,Entebbe,Africa/Kampala,EBB,HUEN,,,,2026-07-09T02:45:00+00:00,2026-07-09T02:45:00+00:00,,,,Bole International,Africa/Addis_Ababa,ADD,HAAB,2,A2,,2026-07-09T04:55:00+00:00,,,,,,Ethiopian Airlines,ET,ETH,339,ET339,ETH339,,,,,040079,,,,,,,
2026-07-09,scheduled,,Entebbe,Africa/Kampala,EBB,HUEN,,,,2026-07-09T02:45:00+00:00,2026-07-09T02:45:00+00:00,,,,Bole International,Africa/Addis_Ababa,ADD,HAAB,2,A2,,2026-07-09T04:55:00+00:00,,,,,,flynas,XY,KNE,6339,XY6339,KNE6339,,,,,040079,,ethiopian airlines,et,eth,339,et339,eth339
2026-07-09,scheduled,,Entebbe,Africa/Kampala,EBB,HUEN,,,,2026-07-09T02:45:00+00:00,2026-07-09T02:45:00+00:00,,,,Bole International,Africa/Addis_Ababa,ADD,HAAB,2,A2,,2026-07-09T04:55:00+00:00,,,,,,Etihad Airways,EY,ETD,6447,EY6447,ETD6447,,,,,040079,,ethiopian airlines,et,eth,339,et339,eth339
2026-07-09,scheduled,,Entebbe,Africa/Kampala,EBB,HUEN,,,,2026-07-09T02:45:00+00:00,2026-07-09T02:45:00+00:00,,,,Bole International,Africa/Addis_Ababa,ADD,HAAB,2,A2,,2026-07-09T04:55:00+00:00,,,,,,Air India,AI,AIC,7545,AI7545,AIC7545,,,,,040079,,ethiopian airlines,et,eth,339,et339,eth339
2026-07-09,scheduled,,Dushanbe,Asia/Dushanbe,DYU,UTDD,,,,2026-07-09T04:45:00+00:00,2026-07-09T04:45:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,2,,6,2026-07-09T07:50:00+00:00,,,,,,flydubai,FZ,FDB,794,FZ794,FDB794,,,,,,,,,,,,
2026-07-09,scheduled,,Dushanbe,Asia/Dushanbe,DYU,UTDD,,,,2026-07-09T04:45:00+00:00,2026-07-09T04:45:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,2,,6,2026-07-09T07:50:00+00:00,,,,,,Emirates,EK,UAE,2329,EK2329,UAE2329,,,,,,,flydubai,fz,fdb,794,fz794,fdb794
2026-07-09,scheduled,,Dushanbe,Asia/Dushanbe,DYU,UTDD,,,,2026-07-09T04:10:00+00:00,2026-07-09T04:10:00+00:00,,,,Mineralnye Vodyj,Europe/Moscow,MRV,URMM,,,,2026-07-09T05:40:00+00:00,,,,,,Somon Air,SZ,SMR,323,SZ323,SMR323,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,2,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Raja Sansi International Airport,Asia/Kolkata,ATQ,VIAR,,,,2026-07-09T09:50:00+00:00,,,,,,Air India Express,IX,AXB,192,IX192,AXB192,,,,,801407,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,2,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Raja Sansi International Airport,Asia/Kolkata,ATQ,VIAR,,,,2026-07-09T09:50:00+00:00,,,,,,Air India,AI,AIC,9092,AI9092,AIC9092,,,,,801407,,air india express,ix,axb,192,ix192,axb192
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,A16,,2026-07-09T10:15:00+00:00,,,,,,Emirates,EK,UAE,761,EK761,UAE761,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,A16,,2026-07-09T10:15:00+00:00,,,,,,South African Airways,SA,SAA,7159,SA7159,SAA7159,,,,,,,emirates,ek,uae,761,ek761,uae761
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-07-09T15:40:00+00:00,,,,,,Emirates,EK,UAE,356,EK356,UAE356,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-07-09T15:40:00+00:00,,,,,,Garuda Indonesia,GA,GIA,8850,GA8850,GIA8850,,,,,,,emirates,ek,uae,356,ek356,uae356
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-07-09T15:40:00+00:00,,,,,,flydubai,FZ,FDB,6356,FZ6356,FDB6356,,,,,,,emirates,ek,uae,356,ek356,uae356
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-07-09T15:40:00+00:00,,,,,,Condor,DE,CFG,5903,DE5903,CFG5903,,,,,,,emirates,ek,uae,356,ek356,uae356
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:05:00+00:00,2026-07-09T04:05:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-07-09T15:40:00+00:00,,,,,,airBaltic,BT,BTI,5809,BT5809,BTI5809,,,,,,,emirates,ek,uae,356,ek356,uae356
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:00:00+00:00,2026-07-09T04:00:00+00:00,,,,Cairo International Airport,Africa/Cairo,CAI,HECA,2,,,2026-07-09T05:50:00+00:00,,,,,,Emirates,EK,UAE,929,EK929,UAE929,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:00:00+00:00,2026-07-09T04:00:00+00:00,,,,Charles De Gaulle,Europe/Paris,CDG,LFPG,2C,,,2026-07-09T09:20:00+00:00,,,,,,Emirates,EK,UAE,71,EK71,UAE71,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:00:00+00:00,2026-07-09T04:00:00+00:00,,,,Charles De Gaulle,Europe/Paris,CDG,LFPG,2C,,,2026-07-09T09:20:00+00:00,,,,,,Qantas,QF,QFA,8071,QF8071,QFA8071,,,,,,,emirates,ek,uae,71,ek71,uae71
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:00:00+00:00,2026-07-09T04:00:00+00:00,,,,Charles De Gaulle,Europe/Paris,CDG,LFPG,2C,,,2026-07-09T09:20:00+00:00,,,,,,Garuda Indonesia,GA,GIA,8859,GA8859,GIA8859,,,,,,,emirates,ek,uae,71,ek71,uae71
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T04:00:00+00:00,2026-07-09T04:00:00+00:00,,,,Charles De Gaulle,Europe/Paris,CDG,LFPG,2C,,,2026-07-09T09:20:00+00:00,,,,,,Icelandair,FI,ICE,6011,FI6011,ICE6011,,,,,,,emirates,ek,uae,71,ek71,uae71
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,2,,,2026-07-09T03:55:00+00:00,2026-07-09T03:55:00+00:00,,,,Tribhuvan International,Asia/Kathmandu,KTM,VNKT,I,,,2026-07-09T09:45:00+00:00,,,,,,Nepal Airlines,RA,RNA,230,RA230,RNA230,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:55:00+00:00,2026-07-09T03:55:00+00:00,,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,,10,2026-07-09T09:05:00+00:00,,,,,,Emirates,EK,UAE,510,EK510,UAE510,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:50:00+00:00,2026-07-09T03:50:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-07-09T13:30:00+00:00,,,,,,Emirates,EK,UAE,376,EK376,UAE376,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:50:00+00:00,2026-07-09T03:50:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-07-09T13:30:00+00:00,,,,,,TAP Air Portugal,TP,TAP,6374,TP6374,TAP6374,,,,,,,emirates,ek,uae,376,ek376,uae376
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:50:00+00:00,2026-07-09T03:50:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-07-09T13:30:00+00:00,,,,,,Thai Airways,TG,THA,4506,TG4506,THA4506,,,,,,,emirates,ek,uae,376,ek376,uae376
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:50:00+00:00,2026-07-09T03:50:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-07-09T13:30:00+00:00,,,,,,Qantas,QF,QFA,8376,QF8376,QFA8376,,,,,,,emirates,ek,uae,376,ek376,uae376
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:50:00+00:00,2026-07-09T03:50:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,,2026-07-09T15:25:00+00:00,,,,,,Emirates,EK,UAE,306,EK306,UAE306,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:45:00+00:00,2026-07-09T03:45:00+00:00,,,,Cape Town International,Africa/Johannesburg,CPT,FACT,,A6,,2026-07-09T11:30:00+00:00,,,,,,Emirates,EK,UAE,772,EK772,UAE772,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,C11,,2026-07-09T03:45:00+00:00,2026-07-09T03:45:00+00:00,,,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,2,,7,2026-07-09T16:15:00+00:00,,,,,,Emirates,EK,UAE,366,EK366,UAE366,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:40:00+00:00,2026-07-09T03:40:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,43,,2026-07-09T17:00:00+00:00,,,,,,Emirates,EK,UAE,322,EK322,UAE322,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,1,,,2026-07-09T03:30:00+00:00,2026-07-09T03:30:00+00:00,,,,Sabiha Gokcen,Europe/Istanbul,SAW,LTFJ,,,,2026-07-09T07:30:00+00:00,,,,,,AJet,VF,TKJ,144,VF144,TKJ144,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:30:00+00:00,2026-07-09T03:30:00+00:00,,,,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,BOM,VABB,2,,,2026-07-09T08:15:00+00:00,,,,,,Emirates,EK,UAE,504,EK504,UAE504,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:30:00+00:00,2026-07-09T03:30:00+00:00,,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,2,,,2026-07-09T13:15:00+00:00,,,,,,Emirates,EK,UAE,394,EK394,UAE394,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:30:00+00:00,2026-07-09T03:30:00+00:00,,,,Lester B. Pearson International,America/Toronto,YYZ,CYYZ,1,E73,12,2026-07-09T09:30:00+00:00,,,,,,Emirates,EK,UAE,241,EK241,UAE241,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:25:00+00:00,2026-07-09T03:25:00+00:00,,,,El Prat De Llobregat,Europe/Madrid,BCN,LEBL,1,,,2026-07-09T08:35:00+00:00,,,,,,Emirates,EK,UAE,255,EK255,UAE255,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:25:00+00:00,2026-07-09T03:25:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,,2026-07-09T15:55:00+00:00,,,,,,Emirates,EK,UAE,310,EK310,UAE310,,,,,,,,,,,,
2026-07-09,scheduled,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-07-09T03:20:00+00:00,2026-07-09T03:20:00+00:00,,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,2,,,2026-07-09T08:50:00+00:00,,,,,,Emirates,EK,UAE,564,EK564,UAE564,,,,,,,,,,,,
