flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft
2026-06-24,scheduled,,Yuendumu,Australia/Darwin,YUE,YYND,,,,2026-06-24T05:00:00+00:00,2026-06-24T05:00:00+00:00,,,,Alice Springs,Australia/Darwin,ASP,YBAS,,,,2026-06-24T05:35:00+00:00,,,,,,empty,,,,,,,,,,7C1C47,,,,,,,
2026-06-24,active,,Alice Springs,Australia/Darwin,ASP,YBAS,,,,2026-06-24T02:00:00+00:00,2026-06-24T02:00:00+00:00,2026-06-24T02:12:00+00:00,2026-06-24T02:12:00+00:00,2026-06-24T02:12:00+00:00,Yuendumu,Australia/Darwin,YUE,YYND,,,,2026-06-24T02:46:00+00:00,12.0,,,,,empty,,,,,,,,,,7C1C47,,,,,,,
2026-06-24,scheduled,,Ashgabat,Asia/Ashgabat,ASB,UTAA,,,,2026-06-24T03:00:00+00:00,2026-06-24T03:00:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-06-24T04:52:00+00:00,,,,,,Turkmenistan Airlines,T5,TUA,923,T5923,TUA923,,,,,60183B,,,,,,,
2026-06-24,scheduled,,Ashgabat,Asia/Ashgabat,ASB,UTAA,,,,2026-06-24T00:40:00+00:00,2026-06-24T00:40:00+00:00,,,,Milano Malpensa,Europe/Rome,MXP,LIMC,T1,,,2026-06-24T03:40:00+00:00,,,,,,Cargolux,CV,CLX,9262,CV9262,CLX9262,,,,,4D010B,,,,,,,
2026-06-24,scheduled,,Ceduna,Australia/Adelaide,CED,YCDU,,,,2026-06-24T05:00:00+00:00,2026-06-24T05:00:00+00:00,,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-06-24T06:11:00+00:00,,,,,,empty,,,,,,,,,,7C2E09,,,,,,,
2026-06-24,scheduled,,,,SBR,YSII,,,,2026-06-24T09:30:00+00:00,2026-06-24T09:30:00+00:00,,,,Warraber Island,Australia/Brisbane,SYU,YWBS,,,,2026-06-24T10:04:00+00:00,,,,,,empty,,,,,,,,,,7C62BB,,,,,,,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,"A,B",,2026-06-24T07:00:00+00:00,2026-06-24T07:00:00+00:00,,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,1,,,2026-06-24T09:35:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1507,3U1507,CSC1507,,,,,780629,china southern airlines,cz,csn,5861,cz5861,csn5861,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,C,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-24T09:10:00+00:00,,,,,,China Eastern Airlines,MU,CES,3308,MU3308,CES3308,,,,,780DDD,sichuan airlines,3u,csc,6796,3u6796,csc6796,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,C,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-24T09:10:00+00:00,,,,,,Xiamen Air,MF,CXA,4746,MF4746,CXA4746,,,,,780DDD,sichuan airlines,3u,csc,6796,3u6796,csc6796,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,C,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-24T09:10:00+00:00,,,,,,Chengdu Airlines,EU,UEA,7262,EU7262,UEA7262,,,,,780DDD,sichuan airlines,3u,csc,6796,3u6796,csc6796,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,C,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-24T09:10:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4852,CZ4852,CSN4852,,,,,780DDD,sichuan airlines,3u,csc,6796,3u6796,csc6796,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,353,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-06-24T10:35:00+00:00,,,,,,Shandong Airlines,SC,CDG,9193,SC9193,CDG9193,,,,,,shenzhen airlines,zh,csz,9235,zh9235,csz9235,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,353,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-06-24T10:35:00+00:00,,,,,,Air China,CA,CCA,3535,CA3535,CCA3535,,,,,,shenzhen airlines,zh,csz,9235,zh9235,csz9235,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,345,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,32,2026-06-24T09:55:00+00:00,,,,,,Etihad Airways,EY,ETD,5937,EY5937,ETD5937,,,,,780DE4,china eastern airlines,mu,ces,6662,mu6662,ces6662,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,345,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,32,2026-06-24T09:55:00+00:00,,,,,,Xiamen Air,MF,CXA,7729,MF7729,CXA7729,,,,,780DE4,china eastern airlines,mu,ces,6662,mu6662,ces6662,
2026-06-24,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,345,,2026-06-24T06:55:00+00:00,2026-06-24T06:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,32,2026-06-24T09:55:00+00:00,,,,,,China United Airlines,KN,CUA,6310,KN6310,CUA6310,,,,,780DE4,china eastern airlines,mu,ces,6662,mu6662,ces6662,
2026-06-24,scheduled,,Novo Alexeyevka International,Asia/Tbilisi,TBS,UGTB,,,,2026-06-24T03:35:00+00:00,2026-06-24T03:35:00+00:00,,,,Ben Gurion International,Asia/Jerusalem,TLV,LLBG,3,,,2026-06-24T05:15:00+00:00,15.0,,,,,Smartwings,QS,TVS,894,QS894,TVS894,,,,,471E16,,,,,,,
2026-06-24,scheduled,,Pekoa,Pacific/Efate,SON,NVSS,,,,2026-06-24T10:45:00+00:00,2026-06-24T10:45:00+00:00,,,,Mota Lava,Pacific/Efate,MTV,NVSA,,,,2026-06-24T11:45:00+00:00,,,,,,Air Vanuatu,NF,AVN,374,NF374,AVN374,,,,,,,,,,,,
2026-06-24,scheduled,,Pekoa,Pacific/Efate,SON,NVSS,,,,2026-06-24T09:00:00+00:00,2026-06-24T09:00:00+00:00,,,,Bauerfield,Pacific/Efate,VLI,NVVV,,,,2026-06-24T09:50:00+00:00,,,,,,Air Vanuatu,NF,AVN,301,NF301,AVN301,,,,,,,,,,,,
2026-06-24,scheduled,,Pekoa,Pacific/Efate,SON,NVSS,,,,2026-06-24T08:30:00+00:00,2026-06-24T08:30:00+00:00,,,,Sola,Pacific/Efate,SLH,NVSC,,,,2026-06-24T09:20:00+00:00,,,,,,Air Vanuatu,NF,AVN,272,NF272,AVN272,,,,,,,,,,,,
2026-06-24,active,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,8,,2026-06-24T00:55:00+00:00,2026-06-24T00:55:00+00:00,,,,Narita International Airport,Asia/Tokyo,NRT,RJAA,3,154,,2026-06-24T06:15:00+00:00,7.0,,,,,Jetstar,JQ,JST,28,JQ28,JST28,,,,,84B940,,,,,,,
2026-06-24,scheduled,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,,2026-06-24T07:00:00+00:00,2026-06-24T07:00:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,3,,,2026-06-24T09:10:00+00:00,,,,,,Air Cambodia,K6,KHV,3207,K63207,KHV3207,,,,,,vietnam airlines,vn,hvn,207,vn207,hvn207,
2026-06-24,scheduled,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,,2026-06-24T07:00:00+00:00,2026-06-24T07:00:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,3,,,2026-06-24T09:10:00+00:00,,,,,,China Airlines,CI,CAL,8807,CI8807,CAL8807,,,,,,vietnam airlines,vn,hvn,207,vn207,hvn207,
2026-06-24,scheduled,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,,2026-06-24T07:00:00+00:00,2026-06-24T07:00:00+00:00,,,,Cam Ranh,Asia/Ho_Chi_Minh,CXR,VVCR,1,,,2026-06-24T08:50:00+00:00,,,,,,,H1,H1,4453,H14453,H14453,,,,,,vietjet air,vj,vjc,1771,vj1771,vjc1771,
2026-06-24,scheduled,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,,2026-06-24T07:00:00+00:00,2026-06-24T07:00:00+00:00,,,,Cam Ranh,Asia/Ho_Chi_Minh,CXR,VVCR,1,,,2026-06-24T08:50:00+00:00,,,,,,,A1,A1,4771,A14771,A14771,,,,,,vietjet air,vj,vjc,1771,vj1771,vjc1771,
2026-06-24,scheduled,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,,2026-06-24T07:00:00+00:00,2026-06-24T07:00:00+00:00,,,,Cam Ranh,Asia/Ho_Chi_Minh,CXR,VVCR,1,,,2026-06-24T08:50:00+00:00,,,,,,Flexflight,W2,FXT,3771,W23771,FXT3771,,,,,,vietjet air,vj,vjc,1771,vj1771,vjc1771,
