flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-09-23,scheduled,,,Atyrau International,Asia/Aqtau,GUW,UATG,,,,2026-09-23T09:30:00+00:00,2026-09-23T09:30:00+00:00,,,,,,NQZ,UACC,2,,,2026-09-23T11:45:00+00:00,,,,,,Air Falcon,FS,FPK,7207,FS7207,FPK7207,,,,,,,,,,,
2026-09-23,scheduled,,,Hazret Sultan International Airport,,HSA,UAIT,,,,2026-09-23T09:40:00+00:00,2026-09-23T09:40:00+00:00,,,,,,NQZ,UACC,2,,,2026-09-23T11:20:00+00:00,,,,,,Air Falcon,FS,FPK,7362,FS7362,FPK7362,,,,,,,,,,,
2026-09-23,scheduled,,,Shimkent,Asia/Almaty,CIT,UAII,A,,,2026-09-23T07:20:00+00:00,2026-09-23T07:20:00+00:00,,,,,,NQZ,UACC,2,,,2026-09-23T09:10:00+00:00,,,,,,Air Falcon,FS,FPK,7308,FS7308,FPK7308,,,,,,,,,,,
2026-09-23,scheduled,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,C18,0.0,2026-09-23T11:45:00+00:00,2026-09-23T11:45:00+00:00,,2026-09-23T11:45:00+00:00,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,8,2026-09-23T14:15:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3908,NZ3908,ANZ3908,,air china,ca,cca,1271,ca1271,cca1271,,,,780F64
2026-09-23,scheduled,,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-09-23T12:50:00+00:00,2026-09-23T12:50:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,1,,,2026-09-23T14:35:00+00:00,,,,,,Air Falcon,FS,FPK,7058,FS7058,FPK7058,,,,,,,,,,,
2026-09-23,scheduled,,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-09-23T12:30:00+00:00,2026-09-23T12:30:00+00:00,,,,Shimkent,Asia/Almaty,CIT,UAII,A,,,2026-09-23T14:20:00+00:00,,,,,,Air Falcon,FS,FPK,7327,FS7327,FPK7327,,,,,,,,,,,
2026-09-23,scheduled,,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-09-23T11:05:00+00:00,2026-09-23T11:05:00+00:00,,,,Kostanay,Asia/Almaty,KSN,UAUU,,,,2026-09-23T12:25:00+00:00,,,,,,Air Falcon,FS,FPK,7341,FS7341,FPK7341,,,,,,,,,,,
2026-09-23,scheduled,,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-09-23T09:55:00+00:00,2026-09-23T09:55:00+00:00,,,,Kzyl-Orda,Asia/Qyzylorda,KZO,UAOO,,,,2026-09-23T11:30:00+00:00,,,,,,Air Falcon,FS,FPK,7315,FS7315,FPK7315,,,,,,,,,,,
2026-09-23,active,,,Astana,Asia/Almaty,NQZ,UACC,2,,,2026-09-23T07:30:00+00:00,2026-09-23T07:30:00+00:00,,,,Hazret Sultan International Airport,,HSA,UAIT,,,,2026-09-23T09:10:00+00:00,,,,,,Air Falcon,FS,FPK,7361,FS7361,FPK7361,,,,,,,,,,,
2026-09-23,scheduled,,,Tashkent International,Asia/Tashkent,TAS,UZTT,,,,2026-09-23T10:10:00+00:00,2026-09-23T10:10:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,,,,2026-09-23T13:20:00+00:00,,,,,,Uzbekistan Airways,HY,UZB,3223,HY3223,UZB3223,,,,,,,,,,,507C5F
2026-09-23,scheduled,,,Tashkent International,Asia/Tashkent,TAS,UZTT,,,,2026-09-23T09:20:00+00:00,2026-09-23T09:20:00+00:00,,,,Prague Vaclav Havel Airport,Europe/Prague,PRG,LKPR,,,,2026-09-23T12:42:00+00:00,,,,,,Qanot Sharq,HH,QNT,,HH,QNT,,,,,,,,,,,507CB9
2026-09-23,scheduled,,,Qingdao,Asia/Shanghai,TAO,ZSQD,,43,0.0,2026-09-23T11:45:00+00:00,2026-09-23T11:45:00+00:00,,2026-09-23T11:45:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,30,2026-09-23T13:45:00+00:00,,,,,,Juneyao Air,HO,DKH,5604,HO5604,DKH5604,,china eastern airlines,mu,ces,5518,mu5518,ces5518,,,,781F7E
2026-09-23,scheduled,,,Qingdao,Asia/Shanghai,TAO,ZSQD,,43,0.0,2026-09-23T11:45:00+00:00,2026-09-23T11:45:00+00:00,,2026-09-23T11:45:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,30,2026-09-23T13:45:00+00:00,,,,,,Xiamen Air,MF,CXA,3866,MF3866,CXA3866,,china eastern airlines,mu,ces,5518,mu5518,ces5518,,,,781F7E
2026-09-23,scheduled,,,Qingdao,Asia/Shanghai,TAO,ZSQD,,26,0.0,2026-09-23T11:40:00+00:00,2026-09-23T11:40:00+00:00,,2026-09-23T11:40:00+00:00,,,,URC,ZWWW,2,,,2026-09-23T16:40:00+00:00,,,,,,Tibet Airlines,TV,TBA,3497,TV3497,TBA3497,,shandong airlines,sc,cdg,4927,sc4927,cdg4927,,,,
