flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-06-06,scheduled,,,Rendani,Asia/Jayapura,MKW,WAUU,,,,2026-06-06T08:25:00+00:00,2026-06-06T08:25:00+00:00,,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-06-06T09:50:00+00:00,,,,,,Lion Air,JT,LNI,788,JT788,LNI788,,,,,,,,,,,
2026-06-06,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-06-06T06:00:00+00:00,2026-06-06T06:00:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-06-06T09:10:00+00:00,,,,,,Bangkok Airways,PG,BKP,4514,PG4514,BKP4514,,malaysia airlines,mh,mas,797,mh797,mas797,,,,
2026-06-06,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-06-06T06:00:00+00:00,2026-06-06T06:00:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-06-06T09:10:00+00:00,,,,,,IndiGo,6E,IGO,3773,6E3773,IGO3773,,malaysia airlines,mh,mas,797,mh797,mas797,,,,
2026-06-06,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G,,2026-06-06T05:05:00+00:00,2026-06-06T05:05:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,16,2026-06-06T10:35:00+00:00,,,,,,China Eastern Airlines,MU,CES,8654,MU8654,CES8654,,shanghai airlines,fm,csh,848,fm848,csh848,,,,
2026-06-06,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,S116,,2026-06-06T03:40:00+00:00,2026-06-06T03:40:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-06-06T06:50:00+00:00,,,,,,Qantas,QF,QFA,8371,QF8371,QFA8371,,emirates,ek,uae,371,ek371,uae371,,,,896304
2026-06-06,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,S116,,2026-06-06T03:40:00+00:00,2026-06-06T03:40:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-06-06T06:50:00+00:00,,,,,,Condor,DE,CFG,5914,DE5914,CFG5914,,emirates,ek,uae,371,ek371,uae371,,,,896304
2026-06-06,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-06-06T06:55:00+00:00,2026-06-06T06:55:00+00:00,,,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,,,2026-06-06T09:00:00+00:00,,,,,,China Eastern Airlines,MU,CES,3389,MU3389,CES3389,,sichuan airlines,3u,csc,8047,3u8047,csc8047,,,,781B79
2026-06-06,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-06-06T06:55:00+00:00,2026-06-06T06:55:00+00:00,,,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,,,2026-06-06T09:00:00+00:00,,,,,,Xiamen Air,MF,CXA,4849,MF4849,CXA4849,,sichuan airlines,3u,csc,8047,3u8047,csc8047,,,,781B79
2026-06-06,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-06-06T06:55:00+00:00,2026-06-06T06:55:00+00:00,,,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,,,2026-06-06T09:00:00+00:00,,,,,,China Express Airlines,G5,HXA,8809,G58809,HXA8809,,sichuan airlines,3u,csc,8047,3u8047,csc8047,,,,781B79
2026-06-06,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3D,,2026-06-06T06:55:00+00:00,2026-06-06T06:55:00+00:00,,,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,,,,2026-06-06T09:00:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4945,CZ4945,CSN4945,,sichuan airlines,3u,csc,8047,3u8047,csc8047,,,,781B79
2026-06-06,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,,,,2026-06-06T04:40:00+00:00,2026-06-06T04:40:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,,,,2026-06-06T15:20:00+00:00,,,,,,FedEx,FX,FDX,6040,FX6040,FDX6040,,,,,,,,,,,AC3FC5
2026-06-06,scheduled,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,24,,2026-06-06T05:10:00+00:00,2026-06-06T05:10:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,1,2026-06-06T07:20:00+00:00,15.0,,,,,Japan Airlines,JL,JTL,9733,JL9733,JTL9733,,indigo,6e,igo,586,6e586,igo586,,,,800BB5
2026-06-06,scheduled,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,28,,2026-06-06T05:05:00+00:00,2026-06-06T05:05:00+00:00,,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,,07,2026-06-06T07:55:00+00:00,15.0,,,,,Virgin Atlantic,VS,VIR,8681,VS8681,VIR8681,,indigo,6e,igo,836,6e836,igo836,,,,801805
2026-06-06,scheduled,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,28,,2026-06-06T05:05:00+00:00,2026-06-06T05:05:00+00:00,,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,,07,2026-06-06T07:55:00+00:00,15.0,,,,,Qantas,QF,QFA,4201,QF4201,QFA4201,,indigo,6e,igo,836,6e836,igo836,,,,801805
