flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared
2026-09-06,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,"A,B",,2026-09-06T06:25:00+00:00,2026-09-06T06:25:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-09-06T09:40:00+00:00,,,,,,China Eastern Airlines,MU,CES,8575,MU8575,CES8575,shanghai airlines,fm,csh,9209,fm9209,csh9209,,,,780F96,,
2026-09-06,scheduled,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,26,,2026-09-06T06:20:00+00:00,2026-09-06T06:20:00+00:00,,2026-09-06T06:20:00+00:00,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-09-06T08:45:00+00:00,,,,,,Shanghai Airlines,FM,CSH,3017,FM3017,CSH3017,china eastern airlines,mu,ces,7365,mu7365,ces7365,,,,782228,,
2026-09-06,scheduled,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,E21,,2026-09-06T07:25:00+00:00,2026-09-06T07:25:00+00:00,,2026-09-06T07:25:00+00:00,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-09-06T11:00:00+00:00,,,,,,Air China,CA,CCA,6507,CA6507,CCA6507,cathay pacific,cx,cpa,345,cx345,cpa345,,,,,,
2026-09-06,scheduled,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-06T10:55:00+00:00,2026-09-06T10:55:00+00:00,,,,Rennell,Pacific/Guadalcanal,RNL,AGGR,,,,2026-09-06T11:55:00+00:00,,,,,,Solomon Airlines,IE,SOL,320,IE320,SOL320,,,,,,,,,,,,
2026-09-06,scheduled,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-06T06:00:00+00:00,2026-09-06T06:00:00+00:00,,,,Santa Cruz Island,Pacific/Guadalcanal,SCZ,AGGL,,,,2026-09-06T08:40:00+00:00,,,,,,Solomon Airlines,IE,SOL,4316,IE4316,SOL4316,,,,,,,,,,,,
2026-09-06,scheduled,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-06T06:30:00+00:00,2026-09-06T06:30:00+00:00,,,,Santa Cruz Island,Pacific/Guadalcanal,SCZ,AGGL,,,,2026-09-06T09:10:00+00:00,,,,,,Solomon Airlines,IE,SOL,4318,IE4318,SOL4318,,,,,,,,,,,,
2026-09-06,scheduled,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-06T06:30:00+00:00,2026-09-06T06:30:00+00:00,,,,Gizo,Pacific/Guadalcanal,GZO,AGGN,,,,2026-09-06T08:00:00+00:00,,,,,,Solomon Airlines,IE,SOL,4380,IE4380,SOL4380,,,,,,,,,,,,
2026-09-06,scheduled,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-06T11:00:00+00:00,2026-09-06T11:00:00+00:00,,,,Jackson Field,Pacific/Port_Moresby,POM,AYPY,I,,,2026-09-06T12:20:00+00:00,,,,,,Air Niugini,PX,ANG,83,PX83,ANG83,,,,,,,,,,,,
2026-09-06,scheduled,,Henderson International,Pacific/Guadalcanal,HIR,AGGH,,,,2026-09-06T11:00:00+00:00,2026-09-06T11:00:00+00:00,,,,Jackson Field,Pacific/Port_Moresby,POM,AYPY,I,,,2026-09-06T12:20:00+00:00,,,,,,Solomon Airlines,IE,SOL,720,IE720,SOL720,air niugini,px,ang,83,px83,ang83,,,,,,
2026-09-06,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D30,,2026-09-06T03:00:00+00:00,2026-09-06T03:00:00+00:00,,2026-09-06T03:00:00+00:00,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-09-06T07:15:00+00:00,,,,,,Air China,CA,CCA,7972,CA7972,CCA7972,shenzhen airlines,zh,csz,228,zh228,csz228,,,,,,
