flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-09-04,active,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-09-04T01:00:00+00:00,2026-09-04T01:00:00+00:00,2026-09-04T01:12:00+00:00,2026-09-04T01:12:00+00:00,2026-09-04T01:12:00+00:00,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-09-04T04:30:00+00:00,,2026-09-04T04:12:00+00:00,,2026-09-04T04:12:00+00:00,,K-Mile Air,8K,KMI,804,8K804,KMI804,,,,,882DA2,,,,,,,
2026-09-04,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E12,,2026-09-04T06:15:00+00:00,2026-09-04T06:15:00+00:00,,2026-09-04T06:15:00+00:00,,Narita International Airport,Asia/Tokyo,NRT,RJAA,1,42,,2026-09-04T14:30:00+00:00,,,,,,United Airlines,UA,UAL,7934,UA7934,UAL7934,,,,,,,all nippon airways,nh,ana,802,nh802,ana802
2026-09-04,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E12,,2026-09-04T06:15:00+00:00,2026-09-04T06:15:00+00:00,,2026-09-04T06:15:00+00:00,,Narita International Airport,Asia/Tokyo,NRT,RJAA,1,42,,2026-09-04T14:30:00+00:00,,,,,,Air Canada,AC,ACA,6247,AC6247,ACA6247,,,,,,,all nippon airways,nh,ana,802,nh802,ana802
2026-09-04,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E12,,2026-09-04T06:15:00+00:00,2026-09-04T06:15:00+00:00,,2026-09-04T06:15:00+00:00,,Narita International Airport,Asia/Tokyo,NRT,RJAA,1,42,,2026-09-04T14:30:00+00:00,,,,,,Singapore Airlines,SQ,SIA,5904,SQ5904,SIA5904,,,,,,,all nippon airways,nh,ana,802,nh802,ana802
2026-09-04,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F35,,2026-09-04T05:40:00+00:00,2026-09-04T05:40:00+00:00,,2026-09-04T05:40:00+00:00,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,2,D1,3A,2026-09-04T07:40:00+00:00,,,,,,Qantas,QF,QFA,5983,QF5983,QFA5983,,,,,8017FF,,indigo,6e,igo,1248,6e1248,igo1248
2026-09-04,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D46,,2026-09-04T05:35:00+00:00,2026-09-04T05:35:00+00:00,,2026-09-04T05:35:00+00:00,,Raja Sansi International Airport,Asia/Kolkata,ATQ,VIAR,,,,2026-09-04T09:05:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8302,SQ8302,SIA8302,,,,,76BCCE,,scoot,tr,tgw,750,tr750,tgw750
2026-09-04,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D46,,2026-09-04T05:35:00+00:00,2026-09-04T05:35:00+00:00,,2026-09-04T05:35:00+00:00,,Raja Sansi International Airport,Asia/Kolkata,ATQ,VIAR,,,,2026-09-04T09:05:00+00:00,,,,,,Air Canada,AC,ACA,5919,AC5919,ACA5919,,,,,76BCCE,,scoot,tr,tgw,750,tr750,tgw750
2026-09-04,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D47,,2026-09-04T05:15:00+00:00,2026-09-04T05:15:00+00:00,,2026-09-04T05:15:00+00:00,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,72,2026-09-04T09:25:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8430,SQ8430,SIA8430,,,,,,,scoot,tr,tgw,100,tr100,tgw100
2026-09-04,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B1,,2026-09-04T03:25:00+00:00,2026-09-04T03:25:00+00:00,,2026-09-04T03:25:00+00:00,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,13,2026-09-04T08:40:00+00:00,,,,,,China Eastern Airlines,MU,CES,8312,MU8312,CES8312,,,,,,,shanghai airlines,fm,csh,844,fm844,csh844
2026-09-04,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C23,,2026-09-04T03:15:00+00:00,2026-09-04T03:15:00+00:00,,2026-09-04T03:15:00+00:00,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-09-04T05:35:00+00:00,,,,,,Iberia,IB,IBE,6278,IB6278,IBE6278,,,,,,,qatar airways,qr,qtr,945,qr945,qtr945
