flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A18,,2026-06-20T09:35:00+00:00,2026-06-20T09:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-06-20T10:35:00+00:00,3.0,,,,,IndiGo,6E,IGO,3644,6E3644,IGO3644,garuda indonesia,ga,gia,825,ga825,gia825,,,,8A026E,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A18,,2026-06-20T09:35:00+00:00,2026-06-20T09:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-06-20T10:35:00+00:00,3.0,,,,,Saudia,SV,SVA,6199,SV6199,SVA6199,garuda indonesia,ga,gia,825,ga825,gia825,,,,8A026E,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A18,,2026-06-20T09:35:00+00:00,2026-06-20T09:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-06-20T10:35:00+00:00,3.0,,,,,Oman Air,WY,OMA,5795,WY5795,OMA5795,garuda indonesia,ga,gia,825,ga825,gia825,,,,8A026E,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A18,,2026-06-20T09:35:00+00:00,2026-06-20T09:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-06-20T10:35:00+00:00,3.0,,,,,Vietnam Airlines,VN,HVN,3283,VN3283,HVN3283,garuda indonesia,ga,gia,825,ga825,gia825,,,,8A026E,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A18,,2026-06-20T09:35:00+00:00,2026-06-20T09:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-06-20T10:35:00+00:00,3.0,,,,,Singapore Airlines,SQ,SIA,5565,SQ5565,SIA5565,garuda indonesia,ga,gia,825,ga825,gia825,,,,8A026E,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A10,,2026-06-20T09:30:00+00:00,2026-06-20T09:30:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,,28,2026-06-20T15:05:00+00:00,,,,,,Virgin Australia,VA,VOZ,5758,VA5758,VOZ5758,singapore airlines,sq,sia,830,sq830,sia830,,,,76CD72,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A10,,2026-06-20T09:30:00+00:00,2026-06-20T09:30:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,,28,2026-06-20T15:05:00+00:00,,,,,,Air China,CA,CCA,5265,CA5265,CCA5265,singapore airlines,sq,sia,830,sq830,sia830,,,,76CD72,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F42,,2026-06-20T09:30:00+00:00,2026-06-20T09:30:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,D2,11,2026-06-20T11:00:00+00:00,,,,,,Virgin Australia,VA,VOZ,5718,VA5718,VOZ5718,singapore airlines,sq,sia,708,sq708,sia708,,,,76CC79,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F42,,2026-06-20T09:30:00+00:00,2026-06-20T09:30:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,D2,11,2026-06-20T11:00:00+00:00,,,,,,SAS,SK,SAS,8019,SK8019,SAS8019,singapore airlines,sq,sia,708,sq708,sia708,,,,76CC79,,,,,,,,,
2026-06-20,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F42,,2026-06-20T09:30:00+00:00,2026-06-20T09:30:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,D2,11,2026-06-20T11:00:00+00:00,,,,,,Bangkok Airways,PG,BKP,4704,PG4704,BKP4704,singapore airlines,sq,sia,708,sq708,sia708,,,,76CC79,,,,,,,,,
