flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-09-24,scheduled,,Kowanyama,Australia/Brisbane,KWM,YKOW,,,,2026-09-24T01:00:00+00:00,2026-09-24T01:00:00+00:00,,,,Cairns,Australia/Brisbane,CNS,YBCS,,,,2026-09-24T01:52:00+00:00,,,,,,empty,,,,,,,,,,7C6A60,,,,,,,
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,112,0.0,2026-09-24T02:20:00+00:00,2026-09-24T02:20:00+00:00,,2026-09-24T02:20:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,,,2026-09-24T08:20:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8681,SQ8681,SIA8681,,,,,,,scoot,tr,tgw,883,tr883,tgw883
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,0.0,2026-09-24T02:20:00+00:00,2026-09-24T02:20:00+00:00,,2026-09-24T02:20:00+00:00,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-09-24T06:00:00+00:00,,,,,,Cathay Pacific,CX,CPA,5629,CX5629,CPA5629,,,,,,,hk express,uo,hke,629,uo629,hke629
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,141,0.0,2026-09-24T02:05:00+00:00,2026-09-24T02:05:00+00:00,,2026-09-24T02:05:00+00:00,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,2026-09-24T05:40:00+00:00,,,,,,American Airlines,AA,AAL,8345,AA8345,AAL8345,,,,,,,philippine airlines,pr,pal,423,pr423,pal423
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,141,0.0,2026-09-24T02:05:00+00:00,2026-09-24T02:05:00+00:00,,2026-09-24T02:05:00+00:00,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,2026-09-24T05:40:00+00:00,,,,,,All Nippon Airways,NH,ANA,5331,NH5331,ANA5331,,,,,,,philippine airlines,pr,pal,423,pr423,pal423
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,0.0,2026-09-24T02:00:00+00:00,2026-09-24T02:00:00+00:00,,2026-09-24T02:00:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,241,4,2026-09-24T04:35:00+00:00,,,,,,Asiana Airlines,OZ,AAR,9854,OZ9854,AAR9854,,,,,71C746,,korean air,ke,kal,752,ke752,kal752
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,0.0,2026-09-24T02:00:00+00:00,2026-09-24T02:00:00+00:00,,2026-09-24T02:00:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,241,4,2026-09-24T04:35:00+00:00,,,,,,Virgin Atlantic,VS,VIR,5530,VS5530,VIR5530,,,,,71C746,,korean air,ke,kal,752,ke752,kal752
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,0.0,2026-09-24T02:00:00+00:00,2026-09-24T02:00:00+00:00,,2026-09-24T02:00:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,241,4,2026-09-24T04:35:00+00:00,,,,,,Japan Airlines,JL,JTL,5257,JL5257,JTL5257,,,,,71C746,,korean air,ke,kal,752,ke752,kal752
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,0.0,2026-09-24T02:00:00+00:00,2026-09-24T02:00:00+00:00,,2026-09-24T02:00:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,241,4,2026-09-24T04:35:00+00:00,,,,,,Air France,AF,AFR,5367,AF5367,AFR5367,,,,,71C746,,korean air,ke,kal,752,ke752,kal752
2026-09-24,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,144,0.0,2026-09-24T02:00:00+00:00,2026-09-24T02:00:00+00:00,,2026-09-24T02:00:00+00:00,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-24T06:10:00+00:00,,,,,,Flexflight,W2,FXT,4821,W24821,FXT4821,,,,,,,vietjet air,vj,vjc,821,vj821,vjc821
