flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-07-17,scheduled,,,Pekoa,Pacific/Efate,SON,NVSS,,,,2026-07-17T09:00:00+00:00,2026-07-17T09:00:00+00:00,,,,Bauerfield,Pacific/Efate,VLI,NVVV,,,,2026-07-17T09:50:00+00:00,,,,,,Air Vanuatu,NF,AVN,301,NF301,AVN301,,,,,,,,,,,
2026-07-17,scheduled,,,Pekoa,Pacific/Efate,SON,NVSS,,,,2026-07-17T08:55:00+00:00,2026-07-17T08:55:00+00:00,,,,Gaua,Pacific/Efate,ZGU,NVSQ,,,,2026-07-17T09:40:00+00:00,,,,,,Air Vanuatu,NF,AVN,278,NF278,AVN278,,,,,,,,,,,
2026-07-17,scheduled,,,Pekoa,Pacific/Efate,SON,NVSS,,,,2026-07-17T08:50:00+00:00,2026-07-17T08:50:00+00:00,,,,Gaua,Pacific/Efate,ZGU,NVSQ,,,,2026-07-17T09:35:00+00:00,,,,,,Air Vanuatu,NF,AVN,270,NF270,AVN270,,,,,,,,,,,
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-17T06:55:00+00:00,2026-07-17T06:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,6,2026-07-17T08:55:00+00:00,,,,,,Xiamen Air,MF,CXA,4211,MF4211,CXA4211,,china express airlines,g5,hxa,4033,g54033,hxa4033,,,,7822FF
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-17T06:55:00+00:00,2026-07-17T06:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,6,2026-07-17T08:55:00+00:00,,,,,,Hainan Airlines,HU,CHH,1061,HU1061,CHH1061,,china express airlines,g5,hxa,4033,g54033,hxa4033,,,,7822FF
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-17T06:55:00+00:00,2026-07-17T06:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,6,2026-07-17T08:55:00+00:00,,,,,,Loong Air,GJ,CDC,5775,GJ5775,CDC5775,,china express airlines,g5,hxa,4033,g54033,hxa4033,,,,7822FF
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-17T06:55:00+00:00,2026-07-17T06:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,6,2026-07-17T08:55:00+00:00,,,,,,Air China,CA,CCA,9021,CA9021,CCA9021,,china express airlines,g5,hxa,4033,g54033,hxa4033,,,,7822FF
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-17T06:55:00+00:00,2026-07-17T06:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,6,2026-07-17T08:55:00+00:00,,,,,,Sichuan Airlines,3U,CSC,4197,3U4197,CSC4197,,china express airlines,g5,hxa,4033,g54033,hxa4033,,,,7822FF
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-07-17T06:55:00+00:00,2026-07-17T06:55:00+00:00,,,,Hohhot,Asia/Shanghai,HET,ZBHH,,,,2026-07-17T09:20:00+00:00,,,,,,Shandong Airlines,SC,CDG,3899,SC3899,CDG3899,,china express airlines,g5,hxa,2745,g52745,hxa2745,,,,
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3G,,2026-07-17T06:40:00+00:00,2026-07-17T06:40:00+00:00,,,,Xining,Asia/Shanghai,XNN,ZLXN,T3,,,2026-07-17T08:40:00+00:00,,,,,,West Air,PN,CHB,6359,PN6359,CHB6359,,,,,,,,,,,780F51
2026-07-17,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,3G,,2026-07-17T06:40:00+00:00,2026-07-17T06:40:00+00:00,,,,Zhuhai Airport,Asia/Shanghai,ZUH,ZGSD,T1,,4,2026-07-17T08:50:00+00:00,,,,,,West Air,PN,CHB,6263,PN6263,CHB6263,,,,,,,,,,,78079F
