flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-09-23,scheduled,,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-23T00:05:00+00:00,2026-09-23T00:05:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,,,2026-09-23T04:40:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8445,SQ8445,SIA8445,scoot,tr,tgw,125,tr125,tgw125,,,,,
2026-09-23,scheduled,,,Hervey Bay,Australia/Brisbane,HVB,YHBA,,,,2026-09-23T00:15:00+00:00,2026-09-23T00:15:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-09-23T00:47:00+00:00,,,,,,empty,,,,,,,,,,,,,,,,7C19BC
2026-09-23,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,,,,2026-09-23T04:05:00+00:00,2026-09-23T04:05:00+00:00,,,,Cairns,Australia/Brisbane,CNS,YBCS,,,,2026-09-23T06:18:00+00:00,,,,,,Team Global Express,,TFX,52,,TFX52,,,,,,,,,,,C82AE2
2026-09-23,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,,,,2026-09-23T01:40:00+00:00,2026-09-23T01:40:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,,,,2026-09-23T06:53:00+00:00,,,,,,Sichuan Airlines,3U,CSC,,3U,CSC,,,,,,,,,,,78206D
2026-09-23,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,,,,2026-09-23T01:35:00+00:00,2026-09-23T01:35:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-09-23T06:15:00+00:00,,,,,,Sichuan Airlines,3U,CSC,,3U,CSC,,,,,,,,,,,780B69
2026-09-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,0.0,2026-09-23T02:20:00+00:00,2026-09-23T02:20:00+00:00,,2026-09-23T02:20:00+00:00,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-09-23T06:00:00+00:00,,,,,,Cathay Pacific,CX,CPA,5629,CX5629,CPA5629,hk express,uo,hke,629,uo629,hke629,,,,,789286
2026-09-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,105,0.0,2026-09-23T02:20:00+00:00,2026-09-23T02:20:00+00:00,,2026-09-23T02:20:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,,,2026-09-23T08:20:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8681,SQ8681,SIA8681,scoot,tr,tgw,883,tr883,tgw883,,,,,
2026-09-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,141,0.0,2026-09-23T02:05:00+00:00,2026-09-23T02:05:00+00:00,,2026-09-23T02:05:00+00:00,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,2026-09-23T05:40:00+00:00,,,,,,American Airlines,AA,AAL,8345,AA8345,AAL8345,philippine airlines,pr,pal,423,pr423,pal423,,,,,
2026-09-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,141,0.0,2026-09-23T02:05:00+00:00,2026-09-23T02:05:00+00:00,,2026-09-23T02:05:00+00:00,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,2026-09-23T05:40:00+00:00,,,,,,All Nippon Airways,NH,ANA,5331,NH5331,ANA5331,philippine airlines,pr,pal,423,pr423,pal423,,,,,
2026-09-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,144,0.0,2026-09-23T02:00:00+00:00,2026-09-23T02:00:00+00:00,,2026-09-23T02:00:00+00:00,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-23T06:10:00+00:00,,,,,,Flexflight,W2,FXT,4821,W24821,FXT4821,vietjet air,vj,vjc,821,vj821,vjc821,,,,,
2026-09-23,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,144,0.0,2026-09-23T02:00:00+00:00,2026-09-23T02:00:00+00:00,,2026-09-23T02:00:00+00:00,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-23T06:10:00+00:00,,,,,,vietjet air,A1,A1,2821,A12821,A12821,vietjet air,vj,vjc,821,vj821,vjc821,,,,,
