flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared
2026-07-18,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,38,,2026-07-18T10:00:00+00:00,2026-07-18T10:00:00+00:00,,,,Changsha,Asia/Shanghai,CSX,ZGHA,1,,,2026-07-18T12:20:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,5427,ZH5427,CSZ5427,kunming airlines,ky,kna,8247,ky8247,kna8247,,,,,
2026-07-18,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,22,,2026-07-18T09:55:00+00:00,2026-07-18T09:55:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-18T11:35:00+00:00,1.0,,,,,Xiamen Air,MF,CXA,7347,MF7347,CXA7347,china eastern airlines,mu,ces,5845,mu5845,ces5845,,,,780F6D,
2026-07-18,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,22,,2026-07-18T09:55:00+00:00,2026-07-18T09:55:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-07-18T11:35:00+00:00,1.0,,,,,China United Airlines,KN,CUA,6209,KN6209,CUA6209,china eastern airlines,mu,ces,5845,mu5845,ces5845,,,,780F6D,
2026-07-18,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,63,,2026-07-18T09:40:00+00:00,2026-07-18T09:40:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,,2026-07-18T12:15:00+00:00,19.0,,,,,West Air,PN,CHB,6378,PN6378,CHB6378,,,,,,,,,,780C0F,
2026-07-18,scheduled,,,Alpe Adria,Europe/Vienna,KLU,LOWK,,,,2026-07-18T10:05:00+00:00,2026-07-18T10:05:00+00:00,,,,Cristoforo Colombo,Europe/Rome,GOA,LIMJ,,,,2026-07-18T11:01:00+00:00,3.0,,,,,Time Air,,TIE,,,TIE,,,,,,,,,,49D66F,
2026-07-18,scheduled,,,Kolhapur,Asia/Kolkata,KLH,VAKP,,,,2026-07-18T13:05:00+00:00,2026-07-18T13:05:00+00:00,,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,A3,3,2026-07-18T14:50:00+00:00,10.0,,,,,IndiGo,6E,IGO,7448,6E7448,IGO7448,,,,,,,,,,8015D2,
2026-07-18,scheduled,,,Hoeybuktmoen,Europe/Oslo,KKN,ENKR,,,,2026-07-18T09:10:00+00:00,2026-07-18T09:10:00+00:00,,,,Tromso/langnes,Europe/Oslo,TOS,ENTC,,,,2026-07-18T10:15:00+00:00,5.0,,,,,Wideroe,WF,WIF,993,WF993,WIF993,,,,,,,,,,478513,
2026-07-18,scheduled,,,Kita Kyushu,Asia/Tokyo,KKJ,RJFR,,1,,2026-07-18T16:25:00+00:00,2026-07-18T16:25:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,,,2026-07-18T18:10:00+00:00,,,,,,Starflyer,7G,SFJ,86,7G86,SFJ86,,,,,,,,,,,
2026-07-18,scheduled,,,Kita Kyushu,Asia/Tokyo,KKJ,RJFR,,1,,2026-07-18T16:25:00+00:00,2026-07-18T16:25:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,,,2026-07-18T18:10:00+00:00,,,,,,All Nippon Airways,NH,ANA,3886,NH3886,ANA3886,starflyer,7g,sfj,86,7g86,sfj86,,,,,
2026-07-18,scheduled,,,Kansai International,Asia/Tokyo,KIX,RJBB,2,96,,2026-07-18T17:05:00+00:00,2026-07-18T17:05:00+00:00,,,,Chitose,Asia/Tokyo,CTS,RJCC,D,,,2026-07-18T19:05:00+00:00,,,,,,Peach,MM,APJ,117,MM117,APJ117,,,,,,,,,,,
