flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,,2026-08-23T07:05:00+00:00,2026-08-23T07:05:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,,2026-08-23T10:15:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,9147,ZH9147,CSZ9147,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,,2026-08-23T07:05:00+00:00,2026-08-23T07:05:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,,,,2026-08-23T10:05:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,8131,ZH8131,CSZ8131,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,,2026-08-23T07:05:00+00:00,2026-08-23T07:05:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-08-23T09:20:00+00:00,,,,,,Sichuan Airlines,3U,CSC,6710,3U6710,CSC6710,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,,2026-08-23T07:05:00+00:00,2026-08-23T07:05:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-08-23T09:55:00+00:00,,,,,,China Southern Airlines,CZ,CSN,6603,CZ6603,CSN6603,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,,2026-08-23T07:05:00+00:00,2026-08-23T07:05:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-08-23T09:05:00+00:00,,,,,,Hainan Airlines,HU,CHH,7161,HU7161,CHH7161,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,,2026-08-23T07:05:00+00:00,2026-08-23T07:05:00+00:00,,,,Kunming,Asia/Shanghai,KMG,ZPPP,,,,2026-08-23T09:25:00+00:00,,,,,,China Southern Airlines,CZ,CSN,3497,CZ3497,CSN3497,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,,2026-08-23T07:00:00+00:00,2026-08-23T07:00:00+00:00,,,,Linyi,Asia/Shanghai,LYI,ZSLY,,,,2026-08-23T09:30:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,8947,ZH8947,CSZ8947,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,,2026-08-23T07:00:00+00:00,2026-08-23T07:00:00+00:00,,,,Xichang,Asia/Shanghai,XIC,ZUXC,,,,2026-08-23T09:20:00+00:00,,,,,,Sichuan Airlines,3U,CSC,3059,3U3059,CSC3059,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,,2026-08-23T07:00:00+00:00,2026-08-23T07:00:00+00:00,,,,Ankang,Asia/Shanghai,AKA,ZLAK,,,,2026-08-23T09:20:00+00:00,,,,,,China Southern Airlines,CZ,CSN,6463,CZ6463,CSN6463,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,,2026-08-23T07:00:00+00:00,2026-08-23T07:00:00+00:00,,,,,,URC,ZWWW,,,,2026-08-23T12:25:00+00:00,,,,,,Air China,CA,CCA,9673,CA9673,CCA9673,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,,2026-08-23T07:00:00+00:00,2026-08-23T07:00:00+00:00,,,,Luzhou,Asia/Shanghai,LZO,ZULZ,,,,2026-08-23T09:10:00+00:00,,,,,,Air China,CA,CCA,4351,CA4351,CCA4351,,,,,,,,,,,
2026-08-23,scheduled,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,,,2026-08-23T07:00:00+00:00,2026-08-23T07:00:00+00:00,,,,Dongying,Asia/Shanghai,DOY,ZSDY,,,,2026-08-23T09:55:00+00:00,,,,,,Hainan Airlines,HU,CHH,7259,HU7259,CHH7259,,,,,,,,,,,
