flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-06-26,cancelled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,2,,,2026-06-26T07:30:00+00:00,2026-06-26T07:30:00+00:00,,,,Naha,Asia/Tokyo,OKA,ROAH,D,,,2026-06-26T10:10:00+00:00,,,,,,Virgin Australia,VA,VOZ,7445,VA7445,VOZ7445,all nippon airways,nh,ana,463,nh463,ana463,,,,,
2026-06-26,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,2,60,,2026-06-26T07:30:00+00:00,2026-06-26T07:30:00+00:00,,,,Fukuoka,Asia/Tokyo,FUK,RJFF,D,,,2026-06-26T09:25:00+00:00,,,,,,Virgin Australia,VA,VOZ,7417,VA7417,VOZ7417,all nippon airways,nh,ana,241,nh241,ana241,,,,,
2026-06-26,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,5B,,2026-06-26T07:30:00+00:00,2026-06-26T07:30:00+00:00,,,,Nagasaki,Asia/Tokyo,NGS,RJFU,,2,,2026-06-26T09:20:00+00:00,,,,,,Qatar Airways,QR,QTR,6053,QR6053,QTR6053,jet linx aviation,jl,jtl,605,jl605,jtl605,,,,,
2026-06-26,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,5B,,2026-06-26T07:30:00+00:00,2026-06-26T07:30:00+00:00,,,,Nagasaki,Asia/Tokyo,NGS,RJFU,,2,,2026-06-26T09:20:00+00:00,,,,,,AlphaSky,AS,JAG,7913,AS7913,JAG7913,jet linx aviation,jl,jtl,605,jl605,jtl605,,,,,
2026-06-26,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,,2026-06-26T07:00:00+00:00,2026-06-26T07:00:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,3,,,2026-06-26T09:10:00+00:00,,,,,,Air Cambodia,K6,KHV,3207,K63207,KHV3207,vietnam airlines,vn,hvn,207,vn207,hvn207,,,,,
2026-06-26,scheduled,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T1,,,2026-06-26T07:00:00+00:00,2026-06-26T07:00:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,3,,,2026-06-26T09:10:00+00:00,,,,,,China Airlines,CI,CAL,8807,CI8807,CAL8807,vietnam airlines,vn,hvn,207,vn207,hvn207,,,,,
2026-06-26,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,7,,2026-06-26T04:35:00+00:00,2026-06-26T04:35:00+00:00,,,,Narita International Airport,Asia/Tokyo,NRT,RJAA,2,81,,2026-06-26T16:15:00+00:00,,,,,,Japan Airlines,JL,JAL,740,JL740,JAL740,,,,,,,,,,,86D974
2026-06-26,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,21,,2026-06-26T02:30:00+00:00,2026-06-26T02:30:00+00:00,,,,Bole International,Africa/Addis_Ababa,ADD,HAAB,2,B6,,2026-06-26T06:30:00+00:00,,,,,,Air India,AI,AIC,7553,AI7553,AIC7553,ethiopian airlines,et,eth,687,et687,eth687,,,,,040142
2026-06-26,scheduled,,,Chongqing Jiangbei International,Asia/Shanghai,CKG,ZUCK,3,,,2026-06-26T06:55:00+00:00,2026-06-26T06:55:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,6,2026-06-26T08:55:00+00:00,,,,,,China Eastern Airlines,MU,CES,4514,MU4514,CES4514,china express airlines,g5,hxa,4033,g54033,hxa4033,,,,,782300
2026-06-26,scheduled,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,1,,,2026-06-26T06:20:00+00:00,2026-06-26T06:20:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2026-06-26T09:10:00+00:00,,,,,,Garuda Indonesia,GA,GIA,8754,GA8754,GIA8754,citilink,qg,ctv,522,qg522,ctv522,,,,,8A064C
