flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-08-18,active,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,2,T34,,2026-08-18T06:20:00+00:00,2026-08-18T06:20:00+00:00,,,,Bakula Rimpoche,Asia/Kolkata,IXL,VILH,,,,2026-08-18T07:55:00+00:00,10.0,,,,,Virgin Atlantic,VS,VIR,8838,VS8838,VIR8838,indigo,6e,igo,2006,6e2006,igo2006,,,,80190C,,
2026-08-18,active,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,2,T34,,2026-08-18T06:20:00+00:00,2026-08-18T06:20:00+00:00,,,,Bakula Rimpoche,Asia/Kolkata,IXL,VILH,,,,2026-08-18T07:55:00+00:00,10.0,,,,,Japan Airlines,JL,JTL,9677,JL9677,JTL9677,indigo,6e,igo,2006,6e2006,igo2006,,,,80190C,,
2026-08-18,scheduled,,Lake Evella,Australia/Darwin,LEL,YLEV,,,,2026-08-18T13:25:00+00:00,2026-08-18T13:25:00+00:00,,,,Elcho Island,Australia/Darwin,ELC,YELD,,,,2026-08-18T13:38:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C673A,,
2026-08-18,scheduled,,Ramingining,Australia/Darwin,RAM,YRNG,,,,2026-08-18T13:00:00+00:00,2026-08-18T13:00:00+00:00,,,,Elcho Island,Australia/Darwin,ELC,YELD,,,,2026-08-18T13:19:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C4E80,,
2026-08-18,scheduled,,Dalian,Asia/Shanghai,DLC,ZYTL,,43,,2026-08-18T12:00:00+00:00,2026-08-18T12:00:00+00:00,,,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-08-18T14:40:00+00:00,,,,,,Sichuan Airlines,3U,CSC,2228,3U2228,CSC2228,xiamen air,mf,cxa,8054,mf8054,cxa8054,,,,781116,,
2026-08-18,scheduled,,Dalian,Asia/Shanghai,DLC,ZYTL,,41,,2026-08-18T11:55:00+00:00,2026-08-18T11:55:00+00:00,,,,Qingdao,Asia/Shanghai,TAO,ZSQD,,,6,2026-08-18T13:00:00+00:00,,,,,,Sichuan Airlines,3U,CSC,4708,3U4708,CSC4708,qingdao airlines,qw,qda,9876,qw9876,qda9876,,,,,,
2026-08-18,scheduled,,Dalian,Asia/Shanghai,DLC,ZYTL,,41,,2026-08-18T11:55:00+00:00,2026-08-18T11:55:00+00:00,,,,Qingdao,Asia/Shanghai,TAO,ZSQD,,,6,2026-08-18T13:00:00+00:00,,,,,,China Southern Airlines,CZ,CSN,7450,CZ7450,CSN7450,qingdao airlines,qw,qda,9876,qw9876,qda9876,,,,,,
2026-08-18,scheduled,,Dalian,Asia/Shanghai,DLC,ZYTL,,14,,2026-08-18T11:40:00+00:00,2026-08-18T11:40:00+00:00,,,,Fuzhou,Asia/Shanghai,FOC,ZSFZ,,,,2026-08-18T14:10:00+00:00,,,,,,Hebei Airlines,NS,HBH,6026,NS6026,HBH6026,xiamen air,mf,cxa,8026,mf8026,cxa8026,,,,780E43,,
2026-08-18,scheduled,,Dalian,Asia/Shanghai,DLC,ZYTL,,14,,2026-08-18T11:40:00+00:00,2026-08-18T11:40:00+00:00,,,,Fuzhou,Asia/Shanghai,FOC,ZSFZ,,,,2026-08-18T14:10:00+00:00,,,,,,China Eastern Airlines,MU,CES,4649,MU4649,CES4649,xiamen air,mf,cxa,8026,mf8026,cxa8026,,,,780E43,,
2026-08-18,scheduled,,Dalian,Asia/Shanghai,DLC,ZYTL,,14,,2026-08-18T11:40:00+00:00,2026-08-18T11:40:00+00:00,,,,Fuzhou,Asia/Shanghai,FOC,ZSFZ,,,,2026-08-18T14:10:00+00:00,,,,,,Juneyao Air,HO,DKH,7001,HO7001,DKH7001,xiamen air,mf,cxa,8026,mf8026,cxa8026,,,,780E43,,
