flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-07-11,scheduled,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-07-11T07:40:00+00:00,2026-07-11T07:40:00+00:00,,,,Oksibil,Asia/Jayapura,OKL,WAJO,,,,2026-07-11T08:35:00+00:00,,,,,,Trigana Air,IL,TGN,261,IL261,TGN261,,,,,,,,,,,
2026-07-11,scheduled,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-07-11T07:25:00+00:00,2026-07-11T07:25:00+00:00,,,,Oksibil,Asia/Jayapura,OKL,WAJO,,,,2026-07-11T08:15:00+00:00,,,,,,Trigana Air,IL,TGN,251,IL251,TGN251,,,,,,,,,,,
2026-07-11,scheduled,,,Karaganda,Asia/Almaty,KGF,UAKK,,,,2026-07-11T03:35:00+00:00,2026-07-11T03:35:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,,,,2026-07-11T05:59:00+00:00,,,,,,Turkish Airlines,TK,THY,3225,TK3225,THY3225,,,,,4BB321,,,,,,
2026-07-11,scheduled,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,A04,,2026-07-11T01:15:00+00:00,2026-07-11T01:15:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-11T06:20:00+00:00,,,,,,Saudia,SV,SVA,6956,SV6956,SVA6956,,,,,,kenya airways,kq,kqa,765,kq765,kqa765
2026-07-11,scheduled,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,A04,,2026-07-11T01:15:00+00:00,2026-07-11T01:15:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-11T06:20:00+00:00,,,,,,South African Airways,SA,SAA,7120,SA7120,SAA7120,,,,,,kenya airways,kq,kqa,765,kq765,kqa765
2026-07-11,scheduled,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,A04,,2026-07-11T01:15:00+00:00,2026-07-11T01:15:00+00:00,,,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-07-11T06:20:00+00:00,,,,,,Royal Air Maroc,AT,RAM,9104,AT9104,RAM9104,,,,,,kenya airways,kq,kqa,765,kq765,kqa765
2026-07-11,scheduled,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,C23-,,2026-07-11T01:55:00+00:00,2026-07-11T01:55:00+00:00,,,,Alama Iqbal International,Asia/Karachi,LHE,OPLA,M,,,2026-07-11T08:50:00+00:00,,,,,,Virgin Atlantic,VS,VIR,5730,VS5730,VIR5730,,,,,710055,saudia,sv,sva,734,sv734,sva734
2026-07-11,scheduled,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,C23-,,2026-07-11T01:50:00+00:00,2026-07-11T01:50:00+00:00,,,,Islamabad International,Asia/Karachi,ISB,OPIS,,,,2026-07-11T08:50:00+00:00,,,,,,Virgin Atlantic,VS,VIR,5719,VS5719,VIR5719,,,,,710059,saudia,sv,sva,722,sv722,sva722
2026-07-11,scheduled,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,A48,,2026-07-11T01:30:00+00:00,2026-07-11T01:30:00+00:00,,,,Quaid-e-azam International,Asia/Karachi,KHI,OPKC,M,,,2026-07-11T07:30:00+00:00,,,,,,Virgin Atlantic,VS,VIR,5725,VS5725,VIR5725,,,,,710058,saudia,sv,sva,700,sv700,sva700
2026-07-11,scheduled,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,A48,,2026-07-11T01:30:00+00:00,2026-07-11T01:30:00+00:00,,,,Quaid-e-azam International,Asia/Karachi,KHI,OPKC,M,,,2026-07-11T07:30:00+00:00,,,,,,Kenya Airways,KQ,KQA,5744,KQ5744,KQA5744,,,,,710058,saudia,sv,sva,700,sv700,sva700
