flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-25,scheduled,,,Sentani,Asia/Jayapura,DJJ,WAJJ,,,,2026-06-25T07:15:00+00:00,2026-06-25T07:15:00+00:00,,,,Tanahmerah,Asia/Jayapura,TMH,WAKT,,,,2026-06-25T08:20:00+00:00,,,,,,Trigana Air,IL,TGN,281,IL281,TGN281,,,,,,,,,,,,,,,,,,,
2026-06-25,scheduled,,,Tanahmerah,Asia/Jayapura,TMH,WAKT,,,,2026-06-25T08:40:00+00:00,2026-06-25T08:40:00+00:00,,,,Mopah,Asia/Jayapura,MKQ,WAKK,,,,2026-06-25T09:25:00+00:00,,,,,,Trigana Air,IL,TGN,286,IL286,TGN286,,,,,,,,,,,,,,,,,,,
2026-06-25,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A16,,2026-06-25T02:35:00+00:00,2026-06-25T02:35:00+00:00,,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,3,,12,2026-06-25T05:40:00+00:00,,,,,,Air India,AI,AIC,8302,AI8302,AIC8302,,singapore airlines,sq,sia,402,sq402,sia402,,,,76CC75,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D41,,2026-06-25T02:30:00+00:00,2026-06-25T02:30:00+00:00,,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,2,12,5,2026-06-25T11:45:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8530,SQ8530,SIA8530,,scoot,tr,tgw,58,tr58,tgw58,,,,76BD49,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F58,,2026-06-25T02:25:00+00:00,2026-06-25T02:25:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,46,17,2026-06-25T09:50:00+00:00,,,,,,Virgin Australia,VA,VOZ,5682,VA5682,VOZ5682,,singapore airlines,sq,sia,612,sq612,sia612,,,,,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F58,,2026-06-25T02:25:00+00:00,2026-06-25T02:25:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,46,17,2026-06-25T09:50:00+00:00,,,,,,Asiana Airlines,OZ,AAR,6726,OZ6726,AAR6726,,singapore airlines,sq,sia,612,sq612,sia612,,,,,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F58,,2026-06-25T02:25:00+00:00,2026-06-25T02:25:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,46,17,2026-06-25T09:50:00+00:00,,,,,,Air India,AI,AIC,8174,AI8174,AIC8174,,singapore airlines,sq,sia,612,sq612,sia612,,,,,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B5,,2026-06-25T02:20:00+00:00,2026-06-25T02:20:00+00:00,,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,,,2026-06-25T06:20:00+00:00,,,,,,Vietnam Airlines,VN,HVN,3291,VN3291,HVN3291,,saudia,sv,sva,857,sv857,sva857,,,,7105AB,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B5,,2026-06-25T02:20:00+00:00,2026-06-25T02:20:00+00:00,,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,,,2026-06-25T06:20:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9919,GA9919,GIA9919,,saudia,sv,sva,857,sv857,sva857,,,,7105AB,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C25,,2026-06-25T02:10:00+00:00,2026-06-25T02:10:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,1,58,5,2026-06-25T11:45:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8598,SQ8598,SIA8598,,scoot,tr,tgw,10,tr10,tgw10,,,,76BD44,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C18,,2026-06-25T01:55:00+00:00,2026-06-25T01:55:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-06-25T09:50:00+00:00,,,,,,IndiGo,6E,IGO,3814,6E3814,IGO3814,,jet linx aviation,jl,jtl,38,jl38,jtl38,,,,,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C18,,2026-06-25T01:55:00+00:00,2026-06-25T01:55:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-06-25T09:50:00+00:00,,,,,,AlphaSky,AS,JAG,7348,AS7348,JAG7348,,jet linx aviation,jl,jtl,38,jl38,jtl38,,,,,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C18,,2026-06-25T01:55:00+00:00,2026-06-25T01:55:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-06-25T09:50:00+00:00,,,,,,American Airlines,AA,AAL,8488,AA8488,AAL8488,,jet linx aviation,jl,jtl,38,jl38,jtl38,,,,,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C18,,2026-06-25T01:55:00+00:00,2026-06-25T01:55:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-06-25T09:50:00+00:00,,,,,,SriLankan Airlines,UL,ALK,3338,UL3338,ALK3338,,jet linx aviation,jl,jtl,38,jl38,jtl38,,,,,,,,,,,,
2026-06-25,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C18,,2026-06-25T01:55:00+00:00,2026-06-25T01:55:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-06-25T09:50:00+00:00,,,,,,Qantas,QF,QFA,4017,QF4017,QFA4017,,jet linx aviation,jl,jtl,38,jl38,jtl38,,,,,,,,,,,,
