flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-09-05,scheduled,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F59,,2026-09-05T09:40:00+00:00,2026-09-05T09:40:00+00:00,,2026-09-05T10:15:00+00:00,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T10:55:00+00:00,,,,,,Air Canada,AC,ACA,5862,AC5862,ACA5862,singapore airlines,sq,sia,178,sq178,sia178,,,,,
2026-09-05,active,,,Coong,Asia/Ho_Chi_Minh,VCS,VVCS,,,,2026-09-05T07:50:00+00:00,2026-09-05T07:50:00+00:00,2026-09-05T07:50:00+00:00,2026-09-05T07:50:00+00:00,2026-09-05T07:50:00+00:00,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,3,,,2026-09-05T08:55:00+00:00,,2026-09-05T08:33:00+00:00,,2026-09-05T08:33:00+00:00,,VASCO,0V,VFC,8058,0V8058,VFC8058,,,,,,,,,,,88805E
2026-09-05,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T09:30:00+00:00,2026-09-05T09:30:00+00:00,,2026-09-05T09:30:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,C13,,2026-09-05T12:35:00+00:00,,,,,,vietjet air,H1,H1,4033,H14033,H14033,vietjet air,vj,vjc,825,vj825,vjc825,,,,,
2026-09-05,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T09:30:00+00:00,2026-09-05T09:30:00+00:00,,2026-09-05T09:30:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,C13,,2026-09-05T12:35:00+00:00,,,,,,Flexflight,W2,FXT,4825,W24825,FXT4825,vietjet air,vj,vjc,825,vj825,vjc825,,,,,
2026-09-05,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T09:30:00+00:00,2026-09-05T09:30:00+00:00,,2026-09-05T09:30:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,C13,,2026-09-05T12:35:00+00:00,,,,,,vietjet air,A1,A1,2825,A12825,A12825,vietjet air,vj,vjc,825,vj825,vjc825,,,,,
2026-09-05,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,3,,,2026-09-05T09:25:00+00:00,2026-09-05T09:25:00+00:00,,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,1,,,2026-09-05T11:35:00+00:00,,,,,,sun phuquoc airways,W1,W1,6130,W16130,W16130,sun phuquoc airways,9g,spq,824,9g824,spq824,,,,,
2026-09-05,active,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T09:15:00+00:00,2026-09-05T09:15:00+00:00,,2026-09-05T09:15:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,B9,,2026-09-05T12:20:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8537,SQ8537,SIA8537,scoot,tr,tgw,503,tr503,tgw503,,,,,
2026-09-05,active,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T09:15:00+00:00,2026-09-05T09:15:00+00:00,,2026-09-05T09:15:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,B9,,2026-09-05T12:20:00+00:00,,,,,,Air Canada,AC,ACA,5938,AC5938,ACA5938,scoot,tr,tgw,503,tr503,tgw503,,,,,
2026-09-05,active,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T09:10:00+00:00,2026-09-05T09:10:00+00:00,,2026-09-05T09:10:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B3,,2026-09-05T12:10:00+00:00,,,,,,Air Cambodia,K6,KHV,3651,K63651,KHV3651,vietnam airlines,vn,hvn,651,vn651,hvn651,,,,,
2026-09-05,active,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-09-05T09:10:00+00:00,2026-09-05T09:10:00+00:00,,2026-09-05T09:10:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B3,,2026-09-05T12:10:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9603,GA9603,GIA9603,vietnam airlines,vn,hvn,651,vn651,hvn651,,,,,
