flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-06-30,scheduled,,,Novy Urengoy,Asia/Yekaterinburg,NUX,USMU,,,,2026-06-30T12:30:00+00:00,2026-06-30T12:30:00+00:00,,,,Roschino,Asia/Yekaterinburg,TJM,USTR,,,,2026-06-30T14:40:00+00:00,,,,,,UTair,UT,UTA,542,UT542,UTA542,,,,,,,,,,,
2026-06-30,scheduled,,,Tindal,Australia/Darwin,KTR,YPTN,,,,2026-06-30T10:25:00+00:00,2026-06-30T10:25:00+00:00,,,,Mcarthur River,Australia/Darwin,MCV,YMHU,,,,2026-06-30T12:15:00+00:00,,,,,,empty,,,,,,,,,,7C7BC2,,,,,,
2026-06-30,scheduled,,,Jodhpur,Asia/Kolkata,JDH,VIJO,,,,2026-06-30T13:25:00+00:00,2026-06-30T13:25:00+00:00,,,,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,BOM,VABB,2,,,2026-06-30T15:10:00+00:00,,,,,,Air India,AI,AIC,646,AI646,AIC646,,,,,801420,,,,,,
2026-06-30,scheduled,,,Jodhpur,Asia/Kolkata,JDH,VIJO,,,,2026-06-30T12:20:00+00:00,2026-06-30T12:20:00+00:00,,,,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata,AMD,VAAH,1,,3,2026-06-30T13:40:00+00:00,10.0,,,,,IndiGo,6E,IGO,7075,6E7075,IGO7075,,,,,800CBF,,,,,,
2026-06-30,scheduled,,,Chhatrapati Shivaji International (Sahar International),Asia/Kolkata,BOM,VABB,2,,,2026-06-30T07:05:00+00:00,2026-06-30T07:05:00+00:00,,,,Devi Ahilyabai Holkar,Asia/Kolkata,IDR,VAID,,,,2026-06-30T08:30:00+00:00,,,,,,IndiGo,6E,IGO,294,6E294,IGO294,,,,,80140A,,,,,,
2026-06-30,scheduled,,,Antsiranana/Arrachart,Indian/Antananarivo,DIE,FMNA,,,,2026-06-30T10:00:00+00:00,2026-06-30T10:00:00+00:00,,,,Gillot,Indian/Reunion,RUN,FMEE,,,,2026-06-30T14:00:00+00:00,,,,,,Air Austral,UU,REU,558,UU558,REU558,,,,,,,,,,,
2026-06-30,scheduled,,,Antsiranana/Arrachart,Indian/Antananarivo,DIE,FMNA,,,,2026-06-30T10:00:00+00:00,2026-06-30T10:00:00+00:00,,,,Gillot,Indian/Reunion,RUN,FMEE,,,,2026-06-30T14:00:00+00:00,,,,,,Air Madagascar,MD,MDG,7194,MD7194,MDG7194,,,,,,air austral,uu,reu,558,uu558,reu558
2026-06-30,scheduled,,,Calbayog,Asia/Manila,CYP,RPVC,,,,2026-06-30T09:15:00+00:00,2026-06-30T09:15:00+00:00,2026-06-30T09:45:00+00:00,2026-06-30T09:45:00+00:00,2026-06-30T09:45:00+00:00,Mactan-Cebu International,Asia/Manila,CEB,RPVM,1,,,2026-06-30T10:15:00+00:00,,,,,,Cebu Pacific,5J,CEB,6547,5J6547,CEB6547,,,,,75840B,,,,,,
2026-06-30,scheduled,,,Indira Gandhi International,Asia/Kolkata,DEL,VIDP,1,D39,,2026-06-30T06:50:00+00:00,2026-06-30T06:50:00+00:00,,,,Gaggal Airport,Asia/Kolkata,DHM,VIGG,,,,2026-06-30T08:20:00+00:00,,,,,,IndiGo,6E,IGO,7483,6E7483,IGO7483,,,,,800DB7,,,,,,
2026-06-30,scheduled,,,Cincinnati/Northern Kentucky,America/New_York,CVG,KCVG,,,,2026-06-30T00:30:00+00:00,2026-06-30T00:30:00+00:00,,,,Municipal,America/New_York,LAL,KLAL,,,,2026-06-30T02:26:00+00:00,,,,,,Sun Country Airlines,SY,SCX,3082,SY3082,SCX3082,,,,,,,,,,,
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,1,114,,2026-06-30T09:30:00+00:00,2026-06-30T09:30:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,13,2026-06-30T12:15:00+00:00,8.0,,,,,Xiamen Air,MF,CXA,5051,MF5051,CXA5051,,,,,,sichuan airlines,3u,csc,8883,3u8883,csc8883
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,1,114,,2026-06-30T09:30:00+00:00,2026-06-30T09:30:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,13,2026-06-30T12:15:00+00:00,8.0,,,,,Juneyao Air,HO,DKH,5898,HO5898,DKH5898,,,,,,sichuan airlines,3u,csc,8883,3u8883,csc8883
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,1,114,,2026-06-30T09:30:00+00:00,2026-06-30T09:30:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,13,2026-06-30T12:15:00+00:00,8.0,,,,,China Express Airlines,G5,HXA,6231,G56231,HXA6231,,,,,,sichuan airlines,3u,csc,8883,3u8883,csc8883
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,1,114,,2026-06-30T09:30:00+00:00,2026-06-30T09:30:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,13,2026-06-30T12:15:00+00:00,8.0,,,,,Chengdu Airlines,EU,UEA,7483,EU7483,UEA7483,,,,,,sichuan airlines,3u,csc,8883,3u8883,csc8883
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,1,114,,2026-06-30T09:30:00+00:00,2026-06-30T09:30:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,13,2026-06-30T12:15:00+00:00,8.0,,,,,China Southern Airlines,CZ,CSN,9137,CZ9137,CSN9137,,,,,,sichuan airlines,3u,csc,8883,3u8883,csc8883
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,2,36,,2026-06-30T09:20:00+00:00,2026-06-30T09:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-06-30T12:00:00+00:00,14.0,,,,,Xiamen Air,MF,CXA,7482,MF7482,CXA7482,,,,,780659,china eastern airlines,mu,ces,6171,mu6171,ces6171
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,2,36,,2026-06-30T09:20:00+00:00,2026-06-30T09:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-06-30T12:00:00+00:00,14.0,,,,,Sichuan Airlines,3U,CSC,5365,3U5365,CSC5365,,,,,780659,china eastern airlines,mu,ces,6171,mu6171,ces6171
2026-06-30,active,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,2,"L,M",,2026-06-30T09:15:00+00:00,2026-06-30T09:15:00+00:00,,,,Nyingchi,Asia/Shanghai,LZY,ZUNZ,,,,2026-06-30T10:55:00+00:00,44.0,,,,,Kunming Airlines,KY,KNA,6759,KY6759,KNA6759,,,,,780DB3,tibet airlines,tv,tba,9847,tv9847,tba9847
