flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-06-21,scheduled,,Bacolod,Asia/Manila,BCD,RPVB,,,,2026-06-21T07:35:00+00:00,2026-06-21T07:35:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-06-21T09:00:00+00:00,,,,,,Cebu Pacific,5J,CEB,2382,5J2382,CEB2382,,,,,7586FC,,,,,,,
2026-06-21,scheduled,,Majeed Bin Abdulaziz,Asia/Riyadh,ULH,OEAO,,,,2026-06-21T00:45:00+00:00,2026-06-21T00:45:00+00:00,,,,King Fahd International Airport,Asia/Riyadh,DMM,OEDF,,1,B6,2026-06-21T02:40:00+00:00,,,,,,flynas,XY,KNE,753,XY753,KNE753,,,,,,,,,,,,
2026-06-21,scheduled,,Ben Gurion International,Asia/Jerusalem,TLV,LLBG,,,,2026-06-21T00:40:00+00:00,2026-06-21T00:40:00+00:00,,,,Larnaca,Asia/Nicosia,LCA,LCLK,,,,2026-06-21T01:36:00+00:00,21.0,,,,,Challenge Airlines BE,X7,CHG,607,X7607,CHG607,,,,,4D203D,,,,,,,
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C13,,2026-06-21T01:30:00+00:00,2026-06-21T01:30:00+00:00,,,,Tianjin Binhai International,Asia/Shanghai,TSN,ZBTJ,1,,2,2026-06-21T07:35:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8370,SQ8370,SIA8370,,,,,,,scoot,tr,tgw,138,tr138,tgw138
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-21T01:30:00+00:00,2026-06-21T01:30:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,8,2026-06-21T08:05:00+00:00,,,,,,TAP Air Portugal,TP,TAP,8426,TP8426,TAP8426,,,,,76CDB0,,singapore airlines,sq,sia,366,sq366,sia366
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-21T01:30:00+00:00,2026-06-21T01:30:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,8,2026-06-21T08:05:00+00:00,,,,,,Philippine Airlines,PR,PAL,3836,PR3836,PAL3836,,,,,76CDB0,,singapore airlines,sq,sia,366,sq366,sia366
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-21T01:30:00+00:00,2026-06-21T01:30:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,8,2026-06-21T08:05:00+00:00,,,,,,Croatia Airlines,OU,CTN,5817,OU5817,CTN5817,,,,,76CDB0,,singapore airlines,sq,sia,366,sq366,sia366
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-21T01:30:00+00:00,2026-06-21T01:30:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,8,2026-06-21T08:05:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3366,NZ3366,ANZ3366,,,,,76CDB0,,singapore airlines,sq,sia,366,sq366,sia366
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-21T01:30:00+00:00,2026-06-21T01:30:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,8,2026-06-21T08:05:00+00:00,,,,,,Malaysia Airlines,MH,MAS,5820,MH5820,MAS5820,,,,,76CDB0,,singapore airlines,sq,sia,366,sq366,sia366
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-21T01:30:00+00:00,2026-06-21T01:30:00+00:00,,,,Leonardo Da Vinci (Fiumicino),Europe/Rome,FCO,LIRF,3,,8,2026-06-21T08:05:00+00:00,,,,,,Aegean Airlines,A3,AEE,1219,A31219,AEE1219,,,,,76CDB0,,singapore airlines,sq,sia,366,sq366,sia366
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E28,,2026-06-21T01:25:00+00:00,2026-06-21T01:25:00+00:00,,,,Kansai International,Asia/Tokyo,KIX,RJBB,1,,,2026-06-21T08:50:00+00:00,,,,,,All Nippon Airways,NH,ANA,6264,NH6264,ANA6264,,,,,,,singapore airlines,sq,sia,618,sq618,sia618
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E28,,2026-06-21T01:25:00+00:00,2026-06-21T01:25:00+00:00,,,,Kansai International,Asia/Tokyo,KIX,RJBB,1,,,2026-06-21T08:50:00+00:00,,,,,,Fiji Airways,FJ,FJI,5931,FJ5931,FJI5931,,,,,,,singapore airlines,sq,sia,618,sq618,sia618
2026-06-21,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,E28,,2026-06-21T01:25:00+00:00,2026-06-21T01:25:00+00:00,,,,Kansai International,Asia/Tokyo,KIX,RJBB,1,,,2026-06-21T08:50:00+00:00,,,,,,Air India,AI,AIC,8176,AI8176,AIC8176,,,,,,,singapore airlines,sq,sia,618,sq618,sia618
