flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared
2026-09-14,scheduled,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,110,,2026-09-14T04:05:00+00:00,2026-09-14T04:05:00+00:00,,2026-09-14T04:05:00+00:00,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-09-14T07:35:00+00:00,,,,,,vietjet air,H1,H1,4150,H14150,H14150,vietjet air,vj,vjc,979,vj979,vjc979,,,,,
2026-09-14,scheduled,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,110,,2026-09-14T04:05:00+00:00,2026-09-14T04:05:00+00:00,,2026-09-14T04:05:00+00:00,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-09-14T07:35:00+00:00,,,,,,Flexflight,W2,FXT,4979,W24979,FXT4979,vietjet air,vj,vjc,979,vj979,vjc979,,,,,
2026-09-14,scheduled,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,110,,2026-09-14T04:05:00+00:00,2026-09-14T04:05:00+00:00,,2026-09-14T04:05:00+00:00,,Duong Dong,Asia/Ho_Chi_Minh,PQC,VVPQ,,,,2026-09-14T07:35:00+00:00,,,,,,vietjet air,A1,A1,2979,A12979,A12979,vietjet air,vj,vjc,979,vj979,vjc979,,,,,
2026-09-14,scheduled,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,112,,2026-09-14T02:35:00+00:00,2026-09-14T02:35:00+00:00,,2026-09-14T02:35:00+00:00,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-09-14T05:25:00+00:00,,,,,,Cathay Pacific,CX,CPA,5615,CX5615,CPA5615,hk express,uo,hke,615,uo615,hke615,,,,,
2026-09-14,scheduled,,,Changsha,Asia/Shanghai,CSX,ZGHA,2,D,,2026-09-14T01:05:00+00:00,2026-09-14T01:05:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,212,6,2026-09-14T05:20:00+00:00,,,,,,Xiamen Air,MF,CXA,9081,MF9081,CXA9081,korean air,ke,kal,146,ke146,kal146,,,,71C223,
2026-09-14,scheduled,,,Changsha,Asia/Shanghai,CSX,ZGHA,2,D,,2026-09-14T01:05:00+00:00,2026-09-14T01:05:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,212,6,2026-09-14T05:20:00+00:00,,,,,,China Eastern Airlines,MU,CES,8945,MU8945,CES8945,korean air,ke,kal,146,ke146,kal146,,,,71C223,
2026-09-14,scheduled,,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-14T00:05:00+00:00,2026-09-14T00:05:00+00:00,,2026-09-14T00:30:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,,,2026-09-14T04:40:00+00:00,25.0,,,,,Singapore Airlines,SQ,SIA,8445,SQ8445,SIA8445,scoot,tr,tgw,125,tr125,tgw125,,,,,
2026-09-14,scheduled,,,Karratha,Australia/Perth,KTA,YPKA,,,,2026-09-14T00:00:00+00:00,2026-09-14T00:00:00+00:00,,,,Carnarvon,Australia/Perth,CVQ,YCAR,,,,2026-09-14T01:00:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C35C6,
2026-09-14,scheduled,,,Carnarvon,Australia/Perth,CVQ,YCAR,,,,2026-09-14T01:30:00+00:00,2026-09-14T01:30:00+00:00,,,,Jandakot,Australia/Perth,JAD,YPJT,,,,2026-09-14T02:43:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C35C6,
2026-09-14,scheduled,,,Raja Sansi International Airport,Asia/Kolkata,ATQ,VIAR,,,,2026-09-14T00:15:00+00:00,2026-09-14T00:15:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,2,,4,2026-09-14T02:55:00+00:00,,,,,,Air India Express,IX,AXB,191,IX191,AXB191,,,,,,,,,,,
