flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-09-25T10:05:00+00:00,2026-09-25T10:05:00+00:00,,,,Zamboanga International,Asia/Manila,ZAM,RPMZ,,,,2026-09-25T11:55:00+00:00,,,,,,Cebu Pacific,5J,CEB,3555,5J3555,CEB3555,,,,,,,,,,,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,0.0,2026-09-25T10:00:00+00:00,2026-09-25T10:00:00+00:00,,2026-09-25T10:00:00+00:00,,Kaoshiung International Airport,Asia/Taipei,KHH,RCKH,I,21,2,2026-09-25T11:55:00+00:00,,,,,,China Airlines,CI,CAL,712,CI712,CAL712,,,,,,,,,,89911F,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,0.0,2026-09-25T10:00:00+00:00,2026-09-25T10:00:00+00:00,,2026-09-25T10:00:00+00:00,,Kaoshiung International Airport,Asia/Taipei,KHH,RCKH,I,21,2,2026-09-25T11:55:00+00:00,,,,,,Philippine Airlines,PR,PAL,3300,PR3300,PAL3300,china airlines,ci,cal,712,ci712,cal712,,,,89911F,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-09-25T09:55:00+00:00,2026-09-25T09:55:00+00:00,,,,Butuan,Asia/Manila,BXU,RPME,,,,2026-09-25T11:35:00+00:00,,,,,,Philippine Airlines,PR,PAL,2941,PR2941,PAL2941,,,,,,,,,,,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-09-25T09:55:00+00:00,2026-09-25T09:55:00+00:00,,,,Roxas City,Asia/Manila,RXS,RPVR,,,,2026-09-25T11:00:00+00:00,,,,,,Philippine Airlines,PR,PAL,2205,PR2205,PAL2205,,,,,,,,,,,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,2026-09-25T09:50:00+00:00,2026-09-25T09:50:00+00:00,,,,Fukuoka,Asia/Tokyo,FUK,RJFF,I,,,2026-09-25T14:30:00+00:00,,,,,,Philippine Airlines,PR,PAL,426,PR426,PAL426,,,,,,,,,,,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-09-25T09:50:00+00:00,2026-09-25T09:50:00+00:00,,,,Puerto Princesa,Asia/Manila,PPS,RPVP,,,,2026-09-25T11:30:00+00:00,,,,,,Cebu Pacific,5J,CEB,635,5J635,CEB635,,,,,,,,,,7587FB,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,0.0,2026-09-25T09:45:00+00:00,2026-09-25T09:45:00+00:00,,2026-09-25T09:45:00+00:00,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,,2026-09-25T13:20:00+00:00,,,,,,China Eastern Airlines,MU,CES,7312,MU7312,CES7312,,,,,,,,,,78134C,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-09-25T09:45:00+00:00,2026-09-25T09:45:00+00:00,,,,Butuan,Asia/Manila,BXU,RPME,,,,2026-09-25T11:30:00+00:00,,,,,,Cebu Pacific,5J,CEB,793,5J793,CEB793,,,,,,,,,,758827,,
2026-09-25,scheduled,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-09-25T09:40:00+00:00,2026-09-25T09:40:00+00:00,,,,Malay,Asia/Manila,MPH,RPVE,,,,2026-09-25T10:45:00+00:00,,,,,,Philippines AirAsia,Z2,EZD,217,Z2217,EZD217,,,,,,,,,,758539,,
