flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-06-28,scheduled,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-06-28T01:20:00+00:00,2026-06-28T01:20:00+00:00,,,,Zvartnots International,Asia/Yerevan,EVN,UDYZ,,,,2026-06-28T04:50:00+00:00,98.0,,,,,FlyOne,5F,FIA,534,5F534,FIA534,,,,,504E92,,,,,,,
2026-06-28,scheduled,,Copernicus Airport,Europe/Warsaw,WRO,EPWR,,,,2026-06-28T00:50:00+00:00,2026-06-28T00:50:00+00:00,,,,Nikos Kazantzakis Airport,Europe/Athens,HER,LGIR,,,,2026-06-28T04:37:00+00:00,,,,,,Enter Air,E4,ENT,,E4,ENT,,,,,4892C1,,,,,,,
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,334,,2026-06-28T06:45:00+00:00,2026-06-28T06:45:00+00:00,,,,Hailar,Asia/Shanghai,HLD,ZBLA,,,,2026-06-28T10:55:00+00:00,,,,,,Shandong Airlines,SC,CDG,9839,SC9839,CDG9839,,,,,,,shenzhen airlines,zh,csz,8105,zh8105,csz8105
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,F,,2026-06-28T06:45:00+00:00,2026-06-28T06:45:00+00:00,,,,Hohhot,Asia/Shanghai,HET,ZBHH,,,,2026-06-28T10:00:00+00:00,,,,,,Hainan Airlines,HU,CHH,4727,HU4727,CHH4727,,,,,,,suparna airlines,y8,yzr,7527,y87527,yzr7527
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,547,,2026-06-28T06:45:00+00:00,2026-06-28T06:45:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-06-28T09:25:00+00:00,,,,,,China Eastern Airlines,MU,CES,3886,MU3886,CES3886,,,,,,,juneyao air,ho,dkh,1945,ho1945,dkh1945
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,547,,2026-06-28T06:45:00+00:00,2026-06-28T06:45:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-06-28T09:25:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,5225,ZH5225,CSZ5225,,,,,,,juneyao air,ho,dkh,1945,ho1945,dkh1945
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,547,,2026-06-28T06:45:00+00:00,2026-06-28T06:45:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-06-28T09:25:00+00:00,,,,,,Sichuan Airlines,3U,CSC,4619,3U4619,CSC4619,,,,,,,juneyao air,ho,dkh,1945,ho1945,dkh1945
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,547,,2026-06-28T06:45:00+00:00,2026-06-28T06:45:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-06-28T09:25:00+00:00,,,,,,China Southern Airlines,CZ,CSN,218,CZ218,CSN218,,,,,,,juneyao air,ho,dkh,1945,ho1945,dkh1945
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,547,,2026-06-28T06:45:00+00:00,2026-06-28T06:45:00+00:00,,,,Lijiang,Asia/Shanghai,LJG,ZPLJ,,,,2026-06-28T09:25:00+00:00,,,,,,Xiamen Air,MF,CXA,5890,MF5890,CXA5890,,,,,,,juneyao air,ho,dkh,1945,ho1945,dkh1945
2026-06-28,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,F,,2026-06-28T06:40:00+00:00,2026-06-28T06:40:00+00:00,,,,Guiyang,Asia/Shanghai,KWE,ZUGY,2,,8,2026-06-28T08:30:00+00:00,,,,,,Hainan Airlines,HU,CHH,4743,HU4743,CHH4743,,,,,7808DF,,suparna airlines,y8,yzr,7537,y87537,yzr7537
