flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-06-28,scheduled,,,Ile Des Pins,Pacific/Noumea,ILP,NWEE,,,,2026-06-28T19:30:00+00:00,2026-06-28T19:30:00+00:00,,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2026-06-28T20:10:00+00:00,,,,,,Air Caledonie,TY,TPC,416,TY416,TPC416,,,,,,,,,,,
2026-06-28,scheduled,,,Ile Des Pins,Pacific/Noumea,ILP,NWEE,,,,2026-06-28T19:30:00+00:00,2026-06-28T19:30:00+00:00,,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2026-06-28T20:10:00+00:00,,,,,,Aircalin,SB,ACI,2416,SB2416,ACI2416,,air caledonie,ty,tpc,416,ty416,tpc416,,,,
2026-06-28,scheduled,,,Ile Des Pins,Pacific/Noumea,ILP,NWEE,,,,2026-06-28T19:30:00+00:00,2026-06-28T19:30:00+00:00,,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2026-06-28T20:10:00+00:00,,,,,,Air Caledonie,TY,TPC,414,TY414,TPC414,,,,,,,,,,,
2026-06-28,scheduled,,,Ile Des Pins,Pacific/Noumea,ILP,NWEE,,,,2026-06-28T19:30:00+00:00,2026-06-28T19:30:00+00:00,,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2026-06-28T20:10:00+00:00,,,,,,Aircalin,SB,ACI,2414,SB2414,ACI2414,,air caledonie,ty,tpc,414,ty414,tpc414,,,,
2026-06-28,scheduled,,,Kastrup,Europe/Copenhagen,CPH,EKCH,3,D2,,2026-06-28T09:00:00+00:00,2026-06-28T09:00:00+00:00,,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,,,2026-06-28T10:15:00+00:00,,,,,,Singapore Airlines,SQ,SIA,2636,SQ2636,SIA2636,,sas,sk,sas,1418,sk1418,sas1418,,,,4AC9F0
2026-06-28,scheduled,,,Kastrup,Europe/Copenhagen,CPH,EKCH,3,D2,,2026-06-28T09:00:00+00:00,2026-06-28T09:00:00+00:00,,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,,,2026-06-28T10:15:00+00:00,,,,,,Etihad Airways,EY,ETD,3935,EY3935,ETD3935,,sas,sk,sas,1418,sk1418,sas1418,,,,4AC9F0
2026-06-28,scheduled,,,Seronera,Africa/Dar_es_Salaam,SEU,HTSN,,,,2026-06-28T11:30:00+00:00,2026-06-28T11:30:00+00:00,,,,Arusha,Africa/Dar_es_Salaam,ARK,HTAR,,,,2026-06-28T12:05:00+00:00,,,,,,Auric Air,UI,AUK,643,UI643,AUK643,,,,,,,,,,,
2026-06-28,scheduled,,,Seronera,Africa/Dar_es_Salaam,SEU,HTSN,,,,2026-06-28T11:15:00+00:00,2026-06-28T11:15:00+00:00,,,,Arusha,Africa/Dar_es_Salaam,ARK,HTAR,,,,2026-06-28T12:00:00+00:00,,,,,,Flightlink,YS,FLZ,306,YS306,FLZ306,,,,,,,,,,,
2026-06-28,scheduled,,,Aswan,Africa/Cairo,ASW,HESN,,,,2026-06-28T07:45:00+00:00,2026-06-28T07:45:00+00:00,,,,Cairo International Airport,Africa/Cairo,CAI,HECA,3,,,2026-06-28T09:15:00+00:00,,,,,,Austrian Airlines,OS,AUA,7142,OS7142,AUA7142,,egyptair,ms,msr,83,ms83,msr83,,,,
2026-06-28,scheduled,,,Astrakhan,Europe/Volgograd,ASF,URWA,A,,,2026-06-28T12:20:00+00:00,2026-06-28T12:20:00+00:00,,,,Sheremetyevo International,Europe/Moscow,SVO,UUEE,B,,,2026-06-28T14:05:00+00:00,,,,,,Aeroflot,SU,AFL,1679,SU1679,AFL1679,,,,,,,,,,,
2026-06-28,scheduled,,,Ashgabat,Asia/Ashgabat,ASB,UTAA,,,,2026-06-28T14:00:00+00:00,2026-06-28T14:00:00+00:00,,,,,,KEA,UTAE,,,,2026-06-28T15:00:00+00:00,,,,,,Turkmenistan Airlines,T5,TUA,315,T5315,TUA315,,,,,,,,,,,
2026-06-28,scheduled,,,Ashgabat,Asia/Ashgabat,ASB,UTAA,,,,2026-06-28T13:30:00+00:00,2026-06-28T13:30:00+00:00,,,,Milano Malpensa,Europe/Rome,MXP,LIMC,,,,2026-06-28T16:50:00+00:00,,,,,,Turkmenistan Airlines,T5,TUA,449,T5449,TUA449,,,,,,,,,,,
2026-06-28,scheduled,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,,,2026-06-28T11:05:00+00:00,2026-06-28T11:05:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-06-28T15:50:00+00:00,,,,,,Turkish Airlines,TK,THY,1794,TK1794,THY1794,,,,,,,,,,,
2026-06-28,scheduled,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,,,2026-06-28T11:05:00+00:00,2026-06-28T11:05:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-06-28T15:50:00+00:00,,,,,,RwandAir,WB,RWD,1356,WB1356,RWD1356,,turkish airlines,tk,thy,1794,tk1794,thy1794,,,,
2026-06-28,scheduled,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,,,2026-06-28T11:05:00+00:00,2026-06-28T11:05:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-06-28T15:50:00+00:00,,,,,,Pakistan International Airlines,PK,PIA,5794,PK5794,PIA5794,,turkish airlines,tk,thy,1794,tk1794,thy1794,,,,
2026-06-28,scheduled,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,,,2026-06-28T11:05:00+00:00,2026-06-28T11:05:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-06-28T15:50:00+00:00,,,,,,IndiGo,6E,IGO,4262,6E4262,IGO4262,,turkish airlines,tk,thy,1794,tk1794,thy1794,,,,
