flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-06,scheduled,,Khon Kaen,Asia/Bangkok,KKC,VTUK,,,,2026-06-06T08:40:00+00:00,2026-06-06T08:40:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,B6,3,2026-06-06T09:50:00+00:00,,,,,,VietJet Air,VJ,VJC,211,VJ211,VJC211,,,,,885B4A,,,,,,,,,,,,,,,
2026-06-06,active,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,2,D29,,2026-06-06T07:05:00+00:00,2026-06-06T07:05:00+00:00,,,,Cochin International,Asia/Kolkata,COK,VOCI,,,,2026-06-06T08:40:00+00:00,,,,,,Alliance Air,9I,LLR,507,9I507,LLR507,,,,,800C3A,,,,,,,,,,,,,,,
2026-06-06,active,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,C5,,2026-06-06T08:10:00+00:00,2026-06-06T08:10:00+00:00,2026-06-06T08:22:00+00:00,2026-06-06T08:22:00+00:00,2026-06-06T08:22:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,2,8,6,2026-06-06T20:00:00+00:00,13.0,2026-06-06T19:38:00+00:00,,,,Oman Air,WY,OMA,5906,WY5906,OMA5906,,,,,885113,thai airways,tg,tha,461,tg461,tha461,,,,,,,,,
2026-06-06,active,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,C5,,2026-06-06T08:10:00+00:00,2026-06-06T08:10:00+00:00,2026-06-06T08:22:00+00:00,2026-06-06T08:22:00+00:00,2026-06-06T08:22:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,2,8,6,2026-06-06T20:00:00+00:00,13.0,2026-06-06T19:38:00+00:00,,,,Turkish Airlines,TK,THY,8004,TK8004,THY8004,,,,,885113,thai airways,tg,tha,461,tg461,tha461,,,,,,,,,
2026-06-06,active,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,C5,,2026-06-06T08:10:00+00:00,2026-06-06T08:10:00+00:00,2026-06-06T08:22:00+00:00,2026-06-06T08:22:00+00:00,2026-06-06T08:22:00+00:00,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,2,8,6,2026-06-06T20:00:00+00:00,13.0,2026-06-06T19:38:00+00:00,,,,El Al,LY,ELY,8415,LY8415,ELY8415,,,,,885113,thai airways,tg,tha,461,tg461,tha461,,,,,,,,,
2026-06-06,scheduled,,Inedbirenne,Africa/Algiers,DJG,DAAJ,,,,2026-06-06T01:25:00+00:00,2026-06-06T01:25:00+00:00,,,,Houari Boumediene,Africa/Algiers,ALG,DAAG,1,,,2026-06-06T03:40:00+00:00,,,,,,Avion Express,X9,NVD,6295,X96295,NVD6295,,,,,4D23B8,,,,,,,,,,,,,,,
2026-06-06,scheduled,,El Prat De Llobregat,Europe/Madrid,BCN,LEBL,,,,2026-06-06T05:00:00+00:00,2026-06-06T05:00:00+00:00,,,,Orly,Europe/Paris,ORY,LFPO,,,,2026-06-06T06:50:00+00:00,,,,,,Vueling,VY,VLG,,VY,VLG,,,,,34454A,,,,,,,,,,,,,,,
2026-06-06,scheduled,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,16,,2026-06-06T14:30:00+00:00,2026-06-06T14:30:00+00:00,,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,22,,2026-06-06T16:50:00+00:00,,,,,,China Airlines,CI,CAL,8291,CI8291,CAL8291,,,,,,qantas,qf,qfa,1807,qf1807,qfa1807,,,,,,,,,
2026-06-06,scheduled,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,16,,2026-06-06T14:30:00+00:00,2026-06-06T14:30:00+00:00,,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,22,,2026-06-06T16:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,4047,MU4047,CES4047,,,,,,qantas,qf,qfa,1807,qf1807,qfa1807,,,,,,,,,
2026-06-06,scheduled,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,16,,2026-06-06T14:30:00+00:00,2026-06-06T14:30:00+00:00,,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,22,,2026-06-06T16:50:00+00:00,,,,,,American Airlines,AA,AAL,7372,AA7372,AAL7372,,,,,,qantas,qf,qfa,1807,qf1807,qfa1807,,,,,,,,,
2026-06-06,scheduled,,Brisbane International,Australia/Brisbane,BNE,YBBN,D,16,,2026-06-06T14:30:00+00:00,2026-06-06T14:30:00+00:00,,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,1,22,,2026-06-06T16:50:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7501,NZ7501,ANZ7501,,,,,,qantas,qf,qfa,1807,qf1807,qfa1807,,,,,,,,,
2026-06-06,scheduled,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-06-06T13:20:00+00:00,2026-06-06T13:20:00+00:00,,,,Port Lincoln,Australia/Adelaide,PLO,YPLC,,,,2026-06-06T13:58:00+00:00,,,,,,QantasLink,,QLK,,,QLK,,,,,7C5302,,,,,,,,,,,,,,,
2026-06-06,scheduled,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,12,,2026-06-06T12:50:00+00:00,2026-06-06T12:50:00+00:00,,,,Connellan,Australia/Darwin,AYQ,YAYE,,,,2026-06-06T15:40:00+00:00,,,,,,United Airlines,UA,UAL,7482,UA7482,UAL7482,,,,,7C6D24,virgin australia,va,voz,1681,va1681,voz1681,,,,,,,,,
2026-06-06,scheduled,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,12,,2026-06-06T12:50:00+00:00,2026-06-06T12:50:00+00:00,,,,Connellan,Australia/Darwin,AYQ,YAYE,,,,2026-06-06T15:40:00+00:00,,,,,,Singapore Airlines,SQ,SIA,6390,SQ6390,SIA6390,,,,,7C6D24,virgin australia,va,voz,1681,va1681,voz1681,,,,,,,,,
2026-06-06,scheduled,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,3,12,,2026-06-06T12:50:00+00:00,2026-06-06T12:50:00+00:00,,,,Connellan,Australia/Darwin,AYQ,YAYE,,,,2026-06-06T15:40:00+00:00,,,,,,Qatar Airways,QR,QTR,6305,QR6305,QTR6305,,,,,7C6D24,virgin australia,va,voz,1681,va1681,voz1681,,,,,,,,,
2026-06-06,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D42,,2026-06-06T12:30:00+00:00,2026-06-06T12:30:00+00:00,,,,Batu Berendam,Asia/Kuala_Lumpur,MKZ,WMKM,,,,2026-06-06T13:25:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8626,SQ8626,SIA8626,,,,,,scoot,tr,tgw,420,tr420,tgw420,,,,,,,,,
2026-06-06,scheduled,,El Prat De Llobregat,Europe/Madrid,BCN,LEBL,,,,2026-06-06T05:00:00+00:00,2026-06-06T05:00:00+00:00,,,,Alicante El Altet,Europe/Madrid,ALC,LEAL,,,,2026-06-06T06:13:00+00:00,,,,,,Vueling,VY,VLG,,VY,VLG,,,,,344156,,,,,,,,,,,,,,,
2026-06-06,scheduled,,Auckland International,Pacific/Auckland,AKL,NZAA,I,8,,2026-06-06T16:25:00+00:00,2026-06-06T16:25:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,8,,,2026-06-06T16:20:00+00:00,,,,,,American Airlines,AA,AAL,7284,AA7284,AAL7284,,,,,,qantas,qf,qfa,3,qf3,qfa3,,,,,,,,,
2026-06-06,scheduled,,Auckland International,Pacific/Auckland,AKL,NZAA,I,1,,2026-06-06T16:05:00+00:00,2026-06-06T16:05:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,1,36,9,2026-06-06T17:50:00+00:00,,,,,,Air Tahiti Nui,TN,THT,1431,TN1431,THT1431,,,,,,qantas,qf,qfa,146,qf146,qfa146,,,,,,,,,
2026-06-06,scheduled,,Auckland International,Pacific/Auckland,AKL,NZAA,I,1,,2026-06-06T16:05:00+00:00,2026-06-06T16:05:00+00:00,,,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,1,36,9,2026-06-06T17:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,4019,MU4019,CES4019,,,,,,qantas,qf,qfa,146,qf146,qfa146,,,,,,,,,
