flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft
2026-06-12,scheduled,,,,ZFL,ZWZS,,1,,2026-06-12T10:00:00+00:00,2026-06-12T10:00:00+00:00,,,,Karamay,Asia/Shanghai,KRY,ZWKM,,,2,2026-06-12T11:00:00+00:00,,,,,,China Express Airlines,G5,HXA,2693,G52693,HXA2693,,,,,780E6C,,,,,,,
2026-06-12,scheduled,,,,ZFL,ZWZS,,1,,2026-06-12T10:00:00+00:00,2026-06-12T10:00:00+00:00,,,,Karamay,Asia/Shanghai,KRY,ZWKM,,,2,2026-06-12T11:00:00+00:00,,,,,,Xiamen Air,MF,CXA,4291,MF4291,CXA4291,,,,,780E6C,china express airlines,g5,hxa,2693,g52693,hxa2693,
2026-06-12,scheduled,,,,ZFL,ZWZS,,1,,2026-06-12T10:00:00+00:00,2026-06-12T10:00:00+00:00,,,,Karamay,Asia/Shanghai,KRY,ZWKM,,,2,2026-06-12T11:00:00+00:00,,,,,,Sichuan Airlines,3U,CSC,4279,3U4279,CSC4279,,,,,780E6C,china express airlines,g5,hxa,2693,g52693,hxa2693,
2026-06-12,scheduled,,,,ZFL,ZWZS,,1,,2026-06-12T10:00:00+00:00,2026-06-12T10:00:00+00:00,,,,Karamay,Asia/Shanghai,KRY,ZWKM,,,2,2026-06-12T11:00:00+00:00,,,,,,Loong Air,GJ,CDC,5857,GJ5857,CDC5857,,,,,780E6C,china express airlines,g5,hxa,2693,g52693,hxa2693,
2026-06-12,scheduled,,,,ZFL,ZWZS,,1,,2026-06-12T10:00:00+00:00,2026-06-12T10:00:00+00:00,,,,Karamay,Asia/Shanghai,KRY,ZWKM,,,2,2026-06-12T11:00:00+00:00,,,,,,Shandong Airlines,SC,CDG,3881,SC3881,CDG3881,,,,,780E6C,china express airlines,g5,hxa,2693,g52693,hxa2693,
2026-06-12,scheduled,,Karamay,Asia/Shanghai,KRY,ZWKM,,5,,2026-06-12T15:35:00+00:00,2026-06-12T15:35:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,,2026-06-12T19:40:00+00:00,,,,,,Loong Air,GJ,CDC,8070,GJ8070,CDC8070,,,,,78156D,,,,,,,
2026-06-12,scheduled,,Karamay,Asia/Shanghai,KRY,ZWKM,,5,,2026-06-12T15:35:00+00:00,2026-06-12T15:35:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,,2026-06-12T19:40:00+00:00,,,,,,Xiamen Air,MF,CXA,5171,MF5171,CXA5171,,,,,78156D,loong air,gj,cdc,8070,gj8070,cdc8070,
2026-06-12,scheduled,,Karamay,Asia/Shanghai,KRY,ZWKM,,5,,2026-06-12T15:35:00+00:00,2026-06-12T15:35:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,,2026-06-12T19:40:00+00:00,,,,,,Hainan Airlines,HU,CHH,2028,HU2028,CHH2028,,,,,78156D,loong air,gj,cdc,8070,gj8070,cdc8070,
2026-06-12,scheduled,,Karamay,Asia/Shanghai,KRY,ZWKM,,5,,2026-06-12T15:35:00+00:00,2026-06-12T15:35:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,,2026-06-12T19:40:00+00:00,,,,,,Tibet Airlines,TV,TBA,2332,TV2332,TBA2332,,,,,78156D,loong air,gj,cdc,8070,gj8070,cdc8070,
2026-06-12,scheduled,,Karamay,Asia/Shanghai,KRY,ZWKM,,5,,2026-06-12T15:35:00+00:00,2026-06-12T15:35:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,,2026-06-12T19:40:00+00:00,,,,,,China Southern Airlines,CZ,CSN,7020,CZ7020,CSN7020,,,,,78156D,loong air,gj,cdc,8070,gj8070,cdc8070,
