flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-07-20,scheduled,,,Wallis Island,Pacific/Wallis,WLS,NLWW,,,,2026-07-20T10:30:00+00:00,2026-07-20T10:30:00+00:00,,,,Futuna Island,Pacific/Wallis,FUT,NLWF,,,,2026-07-20T11:30:00+00:00,,,,,,Air Oceania,,RLY,5012,,RLY5012,,,,,,,,,,,
2026-07-20,scheduled,,,Wallis Island,Pacific/Wallis,WLS,NLWW,,,,2026-07-20T07:30:00+00:00,2026-07-20T07:30:00+00:00,,,,Futuna Island,Pacific/Wallis,FUT,NLWF,,,,2026-07-20T08:30:00+00:00,,,,,,Air Oceania,,RLY,5010,,RLY5010,,,,,,,,,,,
2026-07-20,scheduled,,,Wanganui,Pacific/Auckland,WAG,NZWU,,,,2026-07-20T10:30:00+00:00,2026-07-20T10:30:00+00:00,,,,Auckland International,Pacific/Auckland,AKL,NZAA,D,45,DT3,2026-07-20T11:30:00+00:00,,,,,,Air Chathams,3C,CVA,709,3C709,CVA709,,,,,,,,,,,
2026-07-20,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,365,,2026-07-20T06:40:00+00:00,2026-07-20T06:40:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,9,2026-07-20T08:35:00+00:00,20.0,,,,,Shandong Airlines,SC,CDG,9793,SC9793,CDG9793,,shenzhen airlines,zh,csz,9859,zh9859,csz9859,,,,781F37
2026-07-20,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,365,,2026-07-20T06:40:00+00:00,2026-07-20T06:40:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,9,2026-07-20T08:35:00+00:00,20.0,,,,,Air China,CA,CCA,7921,CA7921,CCA7921,,shenzhen airlines,zh,csz,9859,zh9859,csz9859,,,,781F37
2026-07-20,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,373,,2026-07-20T06:40:00+00:00,2026-07-20T06:40:00+00:00,,,,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,,2026-07-20T09:00:00+00:00,55.0,,,,,Shandong Airlines,SC,CDG,9423,SC9423,CDG9423,,shenzhen airlines,zh,csz,9815,zh9815,csz9815,,,,
2026-07-20,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,373,,2026-07-20T06:40:00+00:00,2026-07-20T06:40:00+00:00,,,,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,,2026-07-20T09:00:00+00:00,55.0,,,,,Juneyao Air,HO,DKH,5232,HO5232,DKH5232,,shenzhen airlines,zh,csz,9815,zh9815,csz9815,,,,
2026-07-20,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,373,,2026-07-20T06:40:00+00:00,2026-07-20T06:40:00+00:00,,,,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,,2026-07-20T09:00:00+00:00,55.0,,,,,Air China,CA,CCA,3485,CA3485,CCA3485,,shenzhen airlines,zh,csz,9815,zh9815,csz9815,,,,
2026-07-20,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,565,,2026-07-20T06:40:00+00:00,2026-07-20T06:40:00+00:00,,,,Hailar,Asia/Shanghai,HLD,ZBLA,,,,2026-07-20T10:55:00+00:00,40.0,,,,,Shandong Airlines,SC,CDG,9839,SC9839,CDG9839,,shenzhen airlines,zh,csz,8105,zh8105,csz8105,,,,781535
2026-07-20,scheduled,,,Norsup,Pacific/Efate,NUS,NVSP,,,,2026-07-20T08:10:00+00:00,2026-07-20T08:10:00+00:00,,,,Pekoa,Pacific/Efate,SON,NVSS,,,,2026-07-20T08:35:00+00:00,,,,,,Air Vanuatu,NF,AVN,220,NF220,AVN220,,,,,,,,,,,
2026-07-20,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-07-20T06:05:00+00:00,2026-07-20T06:05:00+00:00,,,,Vinh City,Asia/Ho_Chi_Minh,VII,VVVH,,,,2026-07-20T07:55:00+00:00,,,,,,Flexflight,W2,FXT,4226,W24226,FXT4226,,vietjet air,vj,vjc,226,vj226,vjc226,,,,
2026-07-20,scheduled,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,1,,,2026-07-20T06:05:00+00:00,2026-07-20T06:05:00+00:00,,,,Vinh City,Asia/Ho_Chi_Minh,VII,VVVH,,,,2026-07-20T07:55:00+00:00,,,,,,,A1,A1,2226,A12226,A12226,,vietjet air,vj,vjc,226,vj226,vjc226,,,,
2026-07-20,scheduled,,,Sabiha Gokcen,Europe/Istanbul,SAW,LTFJ,,B1-B,,2026-07-20T01:30:00+00:00,2026-07-20T01:30:00+00:00,,,,Mohamed V,Africa/Casablanca,CMN,GMMN,2,,,2026-07-20T04:35:00+00:00,17.0,,,,,Air Arabia,G9,ABY,438,G9438,ABY438,,,,,,,,,,,02012B
2026-07-20,cancelled,,,King Khaled International,Asia/Riyadh,RUH,OERK,4,,,2026-07-20T00:30:00+00:00,2026-07-20T00:30:00+00:00,,,,Nejran,Asia/Riyadh,EAM,OENG,,,,2026-07-20T02:15:00+00:00,,,,,,KLM,KL,KLM,3901,KL3901,KLM3901,,saudia,sv,sva,1845,sv1845,sva1845,,,,710091
2026-07-20,cancelled,,,King Khaled International,Asia/Riyadh,RUH,OERK,4,,,2026-07-20T00:30:00+00:00,2026-07-20T00:30:00+00:00,,,,Nejran,Asia/Riyadh,EAM,OENG,,,,2026-07-20T02:15:00+00:00,,,,,,Air France,AF,AFR,4283,AF4283,AFR4283,,saudia,sv,sva,1845,sv1845,sva1845,,,,710091
2026-07-20,scheduled,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,2,D71,,2026-07-20T05:40:00+00:00,2026-07-20T05:40:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,2,,,2026-07-20T10:15:00+00:00,,,,,,China Southern Airlines,CZ,CSN,784,CZ784,CSN784,,air astana,kc,kzr,282,kc282,kzr282,,,,
2026-07-20,scheduled,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,,,,2026-07-20T05:00:00+00:00,2026-07-20T05:00:00+00:00,,,,Heydar Aliyev International (Bina International),Asia/Baku,GYD,UBBB,,,,2026-07-20T16:30:00+00:00,,,,,,MSC Air,CP,LSI,252,CP252,LSI252,,,,,,,,,,,300990
2026-07-20,scheduled,,,Perth International,Australia/Perth,PER,YPPH,1,,,2026-07-20T06:25:00+00:00,2026-07-20T06:25:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-07-20T11:45:00+00:00,,,,,,Air India,AI,AIC,8237,AI8237,AIC8237,,singapore airlines,sq,sia,224,sq224,sia224,,,,
