flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,B27,,2026-08-05T13:35:00+00:00,2026-08-05T13:35:00+00:00,,,,Harbin,Asia/Shanghai,HRB,ZYHB,T2,,,2026-08-05T16:45:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4682,CZ4682,CSN4682,sichuan airlines,3u,csc,3316,3u3316,csc3316,,,,,
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,A09,,2026-08-05T13:25:00+00:00,2026-08-05T13:25:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,1,,103,2026-08-05T16:05:00+00:00,,,,,,China Express Airlines,G5,HXA,5121,G55121,HXA5121,hainan airlines,hu,chh,7853,hu7853,chh7853,,,,7822F3,
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,C51,,2026-08-05T13:05:00+00:00,2026-08-05T13:05:00+00:00,,,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,,2026-08-05T16:20:00+00:00,,,,,,Hebei Airlines,NS,HBH,8764,NS8764,HBH8764,xiamen air,mf,cxa,8764,mf8764,cxa8764,,,,78143F,
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,C51,,2026-08-05T13:05:00+00:00,2026-08-05T13:05:00+00:00,,,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,,2026-08-05T16:20:00+00:00,,,,,,Juneyao Air,HO,DKH,7325,HO7325,DKH7325,xiamen air,mf,cxa,8764,mf8764,cxa8764,,,,78143F,
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,C51,,2026-08-05T13:05:00+00:00,2026-08-05T13:05:00+00:00,,,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,,2026-08-05T16:20:00+00:00,,,,,,China Express Airlines,G5,HXA,9702,G59702,HXA9702,xiamen air,mf,cxa,8764,mf8764,cxa8764,,,,78143F,
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,C51,,2026-08-05T13:05:00+00:00,2026-08-05T13:05:00+00:00,,,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,,2026-08-05T16:20:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4491,CZ4491,CSN4491,xiamen air,mf,cxa,8764,mf8764,cxa8764,,,,78143F,
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,C51,,2026-08-05T13:05:00+00:00,2026-08-05T13:05:00+00:00,,,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,,2026-08-05T16:20:00+00:00,,,,,,Sichuan Airlines,3U,CSC,2740,3U2740,CSC2740,xiamen air,mf,cxa,8764,mf8764,cxa8764,,,,78143F,
2026-08-05,scheduled,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,C54,,2026-08-05T13:05:00+00:00,2026-08-05T13:05:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-08-05T15:55:00+00:00,105.0,,,,,Hebei Airlines,NS,HBH,8256,NS8256,HBH8256,xiamen air,mf,cxa,8256,mf8256,cxa8256,,,,781383,
2026-08-05,scheduled,,,"Silangit Airport
",,DTB,WIMN,,,,2026-08-05T14:15:00+00:00,2026-08-05T14:15:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,2,,,2026-08-05T16:25:00+00:00,,,,,,Super Air Jet,IU,SJV,959,IU959,SJV959,,,,,,,,,,,
2026-08-05,scheduled,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-08-05T13:45:00+00:00,2026-08-05T13:45:00+00:00,,,,Zamboanga International,Asia/Manila,ZAM,RPMZ,,,,2026-08-05T15:30:00+00:00,,,,,,Qatar Airways,QR,QTR,8165,QR8165,QTR8165,philippine airlines,pr,pal,2997,pr2997,pal2997,,,,,
