flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-30,scheduled,,,Xianyang,Asia/Shanghai,XIY,ZLXY,,,,2026-08-30T04:00:00+00:00,2026-08-30T04:00:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,,,,2026-08-30T05:25:00+00:00,,,,,,Gridiron Air,GI,RZN,4105,GI4105,RZN4105,,,,,,,,,,,
2026-08-30,scheduled,,,Xiamen,Asia/Shanghai,XMN,ZSAM,,,,2026-08-30T03:30:00+00:00,2026-08-30T03:30:00+00:00,,,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,1,,,2026-08-30T05:15:00+00:00,,,,,,EVA Air,BR,EVA,6312,BR6312,EVA6312,,,,,,,,,,,
2026-08-30,scheduled,,,Wuxi,Asia/Shanghai,WUX,ZSWX,,,,2026-08-30T03:50:00+00:00,2026-08-30T03:50:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,,,,2026-08-30T05:35:00+00:00,,,,,,SF Airlines,O3,CSS,7126,O37126,CSS7126,,,,,,,,,,,
2026-08-30,scheduled,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,,,,2026-08-30T04:00:00+00:00,2026-08-30T04:00:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-08-30T07:00:00+00:00,,,,,,JDL Airlines,JG,JDL,2767,JG2767,JDL2767,,,,,,,,,,,
2026-08-30,scheduled,,,Wallis Island,Pacific/Wallis,WLS,NLWW,,,,2026-08-30T07:30:00+00:00,2026-08-30T07:30:00+00:00,,,,Futuna Island,Pacific/Wallis,FUT,NLWF,,,,2026-08-30T08:30:00+00:00,,,,,,Air Oceania,,RLY,10,,RLY10,,,,,,,,,,,
2026-08-30,scheduled,,,Wellington International,Pacific/Auckland,WLG,NZWN,,16,,2026-08-30T07:45:00+00:00,2026-08-30T07:45:00+00:00,,2026-08-30T07:45:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,30,DT2,2026-08-30T08:50:00+00:00,,,,,,Air New Zealand,NZ,ANZ,410,NZ410,ANZ410,,,,,C81E27,,,,,,
2026-08-30,scheduled,,,Wellington International,Pacific/Auckland,WLG,NZWN,,16,,2026-08-30T07:45:00+00:00,2026-08-30T07:45:00+00:00,,2026-08-30T07:45:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,30,DT2,2026-08-30T08:50:00+00:00,,,,,,Turkish Airlines,TK,THY,8746,TK8746,THY8746,,,,,C81E27,air new zealand,nz,anz,410,nz410,anz410
2026-08-30,scheduled,,,Wellington International,Pacific/Auckland,WLG,NZWN,,16,,2026-08-30T07:45:00+00:00,2026-08-30T07:45:00+00:00,,2026-08-30T07:45:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,30,DT2,2026-08-30T08:50:00+00:00,,,,,,Singapore Airlines,SQ,SIA,4479,SQ4479,SIA4479,,,,,C81E27,air new zealand,nz,anz,410,nz410,anz410
2026-08-30,scheduled,,,Wellington International,Pacific/Auckland,WLG,NZWN,,16,,2026-08-30T07:45:00+00:00,2026-08-30T07:45:00+00:00,,2026-08-30T07:45:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,30,DT2,2026-08-30T08:50:00+00:00,,,,,,Asiana Airlines,OZ,AAR,6550,OZ6550,AAR6550,,,,,C81E27,air new zealand,nz,anz,410,nz410,anz410
2026-08-30,scheduled,,,Wellington International,Pacific/Auckland,WLG,NZWN,,16,,2026-08-30T07:45:00+00:00,2026-08-30T07:45:00+00:00,,2026-08-30T07:45:00+00:00,,Auckland International,Pacific/Auckland,AKL,NZAA,D,30,DT2,2026-08-30T08:50:00+00:00,,,,,,All Nippon Airways,NH,ANA,7957,NH7957,ANA7957,,,,,C81E27,air new zealand,nz,anz,410,nz410,anz410
