flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-07-27,scheduled,,,Wanganui,Pacific/Auckland,WAG,NZWU,,,,2026-07-27T10:30:00+00:00,2026-07-27T10:30:00+00:00,,,,Auckland International,Pacific/Auckland,AKL,NZAA,D,50,DT3,2026-07-27T11:30:00+00:00,,,,,,Air Chathams,3C,CVA,709,3C709,CVA709,,,,,,,,,,,
2026-07-27,scheduled,,,Vienna International,Europe/Vienna,VIE,LOWW,,,,2026-07-27T00:25:00+00:00,2026-07-27T00:25:00+00:00,,,,Cologne/bonn,Europe/Berlin,CGN,EDDK,,,,2026-07-27T01:58:00+00:00,,,,,,Ryanair,FR,RYR,,FR,RYR,,,,,4D21EE,,,,,,
2026-07-27,scheduled,,,Ben Gurion International,Asia/Jerusalem,TLV,LLBG,,,,2026-07-27T00:45:00+00:00,2026-07-27T00:45:00+00:00,,,,Liszt Ferenc International,Europe/Budapest,BUD,LHBP,,,,2026-07-27T03:00:00+00:00,,,,,,Flylili,,LIL,1291,,LIL1291,,,,,4A3121,,,,,,
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:50:00+00:00,2026-07-27T06:50:00+00:00,,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-07-27T08:55:00+00:00,,,,,,Xiamen Air,MF,CXA,5292,MF5292,CXA5292,,,,,,loong air,gj,cdc,8683,gj8683,cdc8683
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:50:00+00:00,2026-07-27T06:50:00+00:00,,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-07-27T08:55:00+00:00,,,,,,Hainan Airlines,HU,CHH,2141,HU2141,CHH2141,,,,,,loong air,gj,cdc,8683,gj8683,cdc8683
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:50:00+00:00,2026-07-27T06:50:00+00:00,,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-07-27T08:55:00+00:00,,,,,,Tibet Airlines,TV,TBA,2453,TV2453,TBA2453,,,,,,loong air,gj,cdc,8683,gj8683,cdc8683
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:50:00+00:00,2026-07-27T06:50:00+00:00,,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-07-27T08:55:00+00:00,,,,,,China Southern Airlines,CZ,CSN,7115,CZ7115,CSN7115,,,,,,loong air,gj,cdc,8683,gj8683,cdc8683
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:50:00+00:00,2026-07-27T06:50:00+00:00,,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-07-27T08:55:00+00:00,,,,,,China Express Airlines,G5,HXA,9521,G59521,HXA9521,,,,,,loong air,gj,cdc,8683,gj8683,cdc8683
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:50:00+00:00,2026-07-27T06:50:00+00:00,,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-07-27T08:55:00+00:00,,,,,,Sichuan Airlines,3U,CSC,4863,3U4863,CSC4863,,,,,,loong air,gj,cdc,8683,gj8683,cdc8683
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:50:00+00:00,2026-07-27T06:50:00+00:00,,,,Enshi,Asia/Shanghai,ENH,ZHES,T2,,,2026-07-27T08:55:00+00:00,,,,,,Chengdu Airlines,EU,UEA,9153,EU9153,UEA9153,,,,,,loong air,gj,cdc,8683,gj8683,cdc8683
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:40:00+00:00,2026-07-27T06:40:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,9,2026-07-27T08:35:00+00:00,,,,,,Shandong Airlines,SC,CDG,9793,SC9793,CDG9793,,,,,781F37,shenzhen airlines,zh,csz,9859,zh9859,csz9859
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:40:00+00:00,2026-07-27T06:40:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,9,2026-07-27T08:35:00+00:00,,,,,,Air China,CA,CCA,7921,CA7921,CCA7921,,,,,781F37,shenzhen airlines,zh,csz,9859,zh9859,csz9859
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:40:00+00:00,2026-07-27T06:40:00+00:00,,,,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,,2026-07-27T09:00:00+00:00,,,,,,Shandong Airlines,SC,CDG,9423,SC9423,CDG9423,,,,,780CFD,shenzhen airlines,zh,csz,9815,zh9815,csz9815
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:40:00+00:00,2026-07-27T06:40:00+00:00,,,,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,,2026-07-27T09:00:00+00:00,,,,,,Juneyao Air,HO,DKH,5232,HO5232,DKH5232,,,,,780CFD,shenzhen airlines,zh,csz,9815,zh9815,csz9815
2026-07-27,scheduled,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-07-27T06:40:00+00:00,2026-07-27T06:40:00+00:00,,,,Wuxi,Asia/Shanghai,WUX,ZSWX,T2,,,2026-07-27T09:00:00+00:00,,,,,,Air China,CA,CCA,3485,CA3485,CCA3485,,,,,780CFD,shenzhen airlines,zh,csz,9815,zh9815,csz9815
2026-07-27,scheduled,,,Novo Alexeyevka International,Asia/Tbilisi,TBS,UGTB,,,,2026-07-27T00:20:00+00:00,2026-07-27T00:20:00+00:00,,,,Koltsovo International,Asia/Yekaterinburg,SVX,USSS,,,,2026-07-27T04:12:00+00:00,,,,,,Red Wings,WZ,RWZ,1410,WZ1410,RWZ1410,,,,,155C60,,,,,,
2026-07-27,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D47,,2026-07-27T01:15:00+00:00,2026-07-27T01:15:00+00:00,,,,Jinan,Asia/Shanghai,TNA,ZSJN,,,,2026-07-27T07:10:00+00:00,,,,,,Air China,CA,CCA,8864,CA8864,CCA8864,,,,,,shandong airlines,sc,cdg,8062,sc8062,cdg8062
2026-07-27,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F56,,2026-07-27T01:10:00+00:00,2026-07-27T01:10:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,1,,,2026-07-27T05:55:00+00:00,,,,,,China Southern Airlines,CZ,CSN,1549,CZ1549,CSN1549,,,,,,sichuan airlines,3u,csc,3920,3u3920,csc3920
2026-07-27,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,C20,,2026-07-27T01:10:00+00:00,2026-07-27T01:10:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,37,2026-07-27T07:15:00+00:00,,,,,,Virgin Australia,VA,VOZ,5780,VA5780,VOZ5780,,,,,,singapore airlines,sq,sia,800,sq800,sia800
2026-07-27,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,C20,,2026-07-27T01:10:00+00:00,2026-07-27T01:10:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,37,2026-07-27T07:15:00+00:00,,,,,,Air China,CA,CCA,5286,CA5286,CCA5286,,,,,,singapore airlines,sq,sia,800,sq800,sia800
2026-07-27,active,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A13,,2026-07-27T01:05:00+00:00,2026-07-27T01:05:00+00:00,,,,Heathrow,Europe/London,LHR,EGLL,2,,,2026-07-27T08:00:00+00:00,,,,,,TAP Air Portugal,TP,TAP,8400,TP8400,TAP8400,,,,,76CDAB,singapore airlines,sq,sia,306,sq306,sia306
