flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Turkish Airlines,TK,THY,7538,TK7538,THY7538,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Thai Airways,TG,THA,7084,TG7084,THA7084,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Qatar Airways,QR,QTR,4356,QR4356,QTR4356,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Qantas,QF,QFA,3461,QF3461,QFA3461,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Austrian Airlines,OS,AUA,8645,OS8645,AUA8645,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Japan Airlines,JL,JTL,5963,JL5963,JTL5963,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Etihad Airways,EY,ETD,7680,EY7680,ETD7680,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,G5,,2026-06-17T07:40:00+00:00,2026-06-17T07:40:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-06-17T08:50:00+00:00,,,,,,Finnair,AY,FIN,6859,AY6859,FIN6859,bangkok airways,pg,bkp,903,pg903,bkp903,,,,,
2026-06-17,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,B92,,2026-06-17T06:45:00+00:00,2026-06-17T06:45:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-17T09:50:00+00:00,,,,,,Xiamen Air,MF,CXA,5196,MF5196,CXA5196,loong air,gj,cdc,8163,gj8163,cdc8163,,,,7820B7,
2026-06-17,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,B92,,2026-06-17T06:45:00+00:00,2026-06-17T06:45:00+00:00,,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-06-17T09:50:00+00:00,,,,,,Hainan Airlines,HU,CHH,2053,HU2053,CHH2053,loong air,gj,cdc,8163,gj8163,cdc8163,,,,7820B7,
