flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24
2026-09-03,scheduled,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,,,,2026-09-03T02:15:00+00:00,2026-09-03T02:15:00+00:00,,,,Mingaladon,Asia/Yangon,RGN,VYYY,,,,2026-09-03T03:45:00+00:00,,,,,,JDL Airlines,JG,JDL,2995,JG2995,JDL2995,,,,,,,,,,,
2026-09-03,scheduled,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,,,,2026-09-03T02:15:00+00:00,2026-09-03T02:15:00+00:00,,,,Prague Vaclav Havel Airport,Europe/Prague,PRG,LKPR,,,,2026-09-03T07:00:00+00:00,,,,,,Central Airlines,I9,HLF,9859,I99859,HLF9859,,,,,,,,,,,
2026-09-03,scheduled,,,Shuangliu,Asia/Shanghai,CTU,ZUUU,,,,2026-09-03T02:10:00+00:00,2026-09-03T02:10:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2026-09-03T04:30:00+00:00,,,,,,SF Airlines,O3,CSS,7879,O37879,CSS7879,,,,,,,,,,,
2026-09-03,scheduled,,,Diosdado Macapagal International (Clark International),Asia/Manila,CRK,RPLC,,,,2026-09-03T02:25:00+00:00,2026-09-03T02:25:00+00:00,,,,Cheongju,Asia/Seoul,CJJ,RKTU,,,,2026-09-03T07:25:00+00:00,,,,,,E-Cargo Airlines,RF,ERF,522,RF522,ERF522,,,,,,,,,,,
2026-09-03,scheduled,,,Diosdado Macapagal International (Clark International),Asia/Manila,CRK,RPLC,,,,2026-09-03T02:20:00+00:00,2026-09-03T02:20:00+00:00,,,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,,,,2026-09-03T05:40:00+00:00,,,,,,China Postal Airlines,CF,CYZ,224,CF224,CYZ224,,,,,,,,,,,
2026-09-03,scheduled,,,Diosdado Macapagal International (Clark International),Asia/Manila,CRK,RPLC,,,,2026-09-03T02:10:00+00:00,2026-09-03T02:10:00+00:00,,,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,,,,2026-09-03T05:20:00+00:00,,,,,,JDL Airlines,JG,JDL,2782,JG2782,JDL2782,,,,,,,,,,,
2026-09-03,scheduled,,,Cam Ranh,Asia/Ho_Chi_Minh,CXR,VVCR,2,,,2026-09-03T01:35:00+00:00,2026-09-03T01:35:00+00:00,,2026-09-03T01:35:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,122,14,2026-09-03T08:45:00+00:00,,,,,,Jeju Air,7C,JJA,2304,7C2304,JJA2304,,,,,,,,,,,
2026-09-03,scheduled,,,Cam Ranh,Asia/Ho_Chi_Minh,CXR,VVCR,2,,,2026-09-03T01:35:00+00:00,2026-09-03T01:35:00+00:00,,2026-09-03T01:35:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,122,14,2026-09-03T08:45:00+00:00,,,,,,jeju air,H1,H1,9880,H19880,H19880,,jeju air,7c,jja,2304,7c2304,jja2304,,,,
2026-09-03,scheduled,,,Cam Ranh,Asia/Ho_Chi_Minh,CXR,VVCR,2,,,2026-09-03T01:10:00+00:00,2026-09-03T01:10:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,118,15,2026-09-03T07:55:00+00:00,,,,,,Eastar Jet,ZE,ESR,562,ZE562,ESR562,,,,,,,,,,,
2026-09-03,scheduled,,,Da Nang,Asia/Ho_Chi_Minh,DAD,VVDN,2,1-4,,2026-09-03T01:30:00+00:00,2026-09-03T01:30:00+00:00,,2026-09-03T01:30:00+00:00,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,128,12,2026-09-03T08:15:00+00:00,,,,,,Jeju Air,7C,JJA,2218,7C2218,JJA2218,,,,,,,,,,,
