flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-29T01:05:00+00:00,2026-06-29T01:05:00+00:00,,,,Heathrow,Europe/London,LHR,EGLL,2,,,2026-06-29T08:00:00+00:00,,,,,,Fiji Airways,FJ,FJI,5949,FJ5949,FJI5949,,,,,76CEF6,singapore airlines,sq,sia,306,sq306,sia306,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-29T01:05:00+00:00,2026-06-29T01:05:00+00:00,,,,Heathrow,Europe/London,LHR,EGLL,2,,,2026-06-29T08:00:00+00:00,,,,,,Air Canada,AC,ACA,5876,AC5876,ACA5876,,,,,76CEF6,singapore airlines,sq,sia,306,sq306,sia306,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A19,,2026-06-29T00:55:00+00:00,2026-06-29T00:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,10,2026-06-29T07:25:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9159,GA9159,GIA9159,,,,,,china eastern airlines,mu,ces,5032,mu5032,ces5032,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A18,,2026-06-29T00:55:00+00:00,2026-06-29T00:55:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,15,2026-06-29T06:20:00+00:00,,,,,,Qantas,QF,QFA,4092,QF4092,QFA4092,,,,,7819D6,china eastern airlines,mu,ces,544,mu544,ces544,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A18,,2026-06-29T00:55:00+00:00,2026-06-29T00:55:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,15,2026-06-29T06:20:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9027,GA9027,GIA9027,,,,,7819D6,china eastern airlines,mu,ces,544,mu544,ces544,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C22,,2026-06-29T00:55:00+00:00,2026-06-29T00:55:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,,E17,,2026-06-29T08:15:00+00:00,,,,,,Qantas,QF,QFA,4235,QF4235,QFA4235,,,,,4851F5,klm,kl,klm,836,kl836,klm836,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C22,,2026-06-29T00:55:00+00:00,2026-06-29T00:55:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,,E17,,2026-06-29T08:15:00+00:00,,,,,,Air France,AF,AFR,8218,AF8218,AFR8218,,,,,4851F5,klm,kl,klm,836,kl836,klm836,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C26,,2026-06-29T00:50:00+00:00,2026-06-29T00:50:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,9,2026-06-29T04:05:00+00:00,,,,,,TAP Air Portugal,TP,TAP,6356,TP6356,TAP6356,,,,,89618C,emirates,ek,uae,353,ek353,uae353,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,C26,,2026-06-29T00:50:00+00:00,2026-06-29T00:50:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,9,2026-06-29T04:05:00+00:00,,,,,,Qantas,QF,QFA,8353,QF8353,QFA8353,,,,,89618C,emirates,ek,uae,353,ek353,uae353,,,,,,,,,
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-29T00:45:00+00:00,2026-06-29T00:45:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,I,81,I07,2026-06-29T10:20:00+00:00,,,,,,Virgin Australia,VA,VOZ,5549,VA5549,VOZ5549,,,,,76CD19,singapore airlines,sq,sia,255,sq255,sia255,,,,,,,,,
