flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-28,,,Port Macquarie,Australia/Sydney,PQQ,YPMQ,,,,2026-08-28T14:30:00+00:00,2026-08-28T14:30:00+00:00,,2026-08-27T13:00:00+00:00,,Gold Coast (coolangatta),Australia/Brisbane,OOL,YBCG,,,,2026-08-27T13:36:00+00:00,,,,,,empty,,,,,,,,,,7CADE8,,,,,,,
2026-08-28,,,Maroochydore,Australia/Brisbane,MCY,YBSU,,,,2026-08-28T02:49:00+00:00,2026-08-28T02:49:00+00:00,,2026-08-27T02:47:00+00:00,,Cairns,Australia/Brisbane,CNS,YBCS,,,,2026-08-27T04:56:00+00:00,,,,,,empty,,,,,,,,,,7C4D28,,,,,,,
2026-08-27,scheduled,,T. F. Green Airport,America/New_York,PVD,KPVD,,1,,2026-08-27T07:48:00+00:00,2026-08-27T07:48:00+00:00,,2026-08-27T07:48:00+00:00,,Philadelphia International,America/New_York,PHL,KPHL,F,28,F2,2026-08-27T09:10:00+00:00,,,,,,American Airlines,OH,JIA,5362,OH5362,JIA5362,,,,,A74992,,,,,,,
2026-08-27,scheduled,,T. F. Green Airport,America/New_York,PVD,KPVD,,,,2026-08-27T07:30:00+00:00,2026-08-27T07:30:00+00:00,,2026-08-27T07:40:00+00:00,,Norfolk International Airport,America/New_York,ORF,KORF,,,,2026-08-27T09:03:00+00:00,10.0,,,,,Breeze Airways,MX,MXY,1082,MX1082,MXY1082,,,,,A233E7,,,,,,,
2026-08-27,scheduled,,T. F. Green Airport,America/New_York,PVD,KPVD,,,,2026-08-27T07:10:00+00:00,2026-08-27T07:10:00+00:00,,2026-08-27T07:18:00+00:00,,Pittsburgh International,America/New_York,PIT,KPIT,,B5,5,2026-08-27T08:50:00+00:00,8.0,,,,,Breeze Airways,MX,MXY,708,MX708,MXY708,,,,,A1DB22,,,,,,,
2026-08-27,scheduled,,T. F. Green Airport,America/New_York,PVD,KPVD,,3,,2026-08-27T07:10:00+00:00,2026-08-27T07:10:00+00:00,,2026-08-27T07:10:00+00:00,,Charlotte Douglas,America/New_York,CLT,KCLT,,D1,8,2026-08-27T09:23:00+00:00,,,,,,American Airlines,AA,AAL,1585,AA1585,AAL1585,,,,,AA234A,,,,,,,
2026-08-27,scheduled,,Gimhae,Asia/Seoul,PUS,RKPK,I,3,,2026-08-27T21:05:00+00:00,2026-08-27T21:05:00+00:00,,2026-08-27T21:05:00+00:00,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,1,B1R,6,2026-08-27T22:25:00+00:00,,,,,,Tigerair Taiwan,IT,TTW,607,IT607,TTW607,,,,,,,,,,,,
2026-08-27,scheduled,,Gimhae,Asia/Seoul,PUS,RKPK,I,11,,2026-08-27T21:00:00+00:00,2026-08-27T21:00:00+00:00,,2026-08-27T21:00:00+00:00,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,1,,,2026-08-27T23:55:00+00:00,,,,,,Philippine Airlines,PR,PAL,463,PR463,PAL463,,,,,,,,,,,,
2026-08-27,scheduled,,Gimhae,Asia/Seoul,PUS,RKPK,I,7,,2026-08-27T21:00:00+00:00,2026-08-27T21:00:00+00:00,,2026-08-27T21:00:00+00:00,,Guam International,Pacific/Guam,GUM,PGUM,,,,2026-08-28T01:50:00+00:00,,,,,,Jin Air,LJ,JNA,921,LJ921,JNA921,,,,,71C017,,,,,,,
2026-08-27,scheduled,,Gimhae,Asia/Seoul,PUS,RKPK,I,7,,2026-08-27T21:00:00+00:00,2026-08-27T21:00:00+00:00,,2026-08-27T21:00:00+00:00,,Guam International,Pacific/Guam,GUM,PGUM,,,,2026-08-28T01:50:00+00:00,,,,,,Korean Air,KE,KAL,5777,KE5777,KAL5777,,,,,71C017,,jin air,lj,jna,921,lj921,jna921
