flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-09-22,scheduled,,Geneve-cointrin,Europe/Zurich,GVA,LSGG,,,,2026-09-22T06:15:00+00:00,2026-09-22T06:15:00+00:00,,,,Zurich,Europe/Zurich,ZRH,LSZH,,,,2026-09-22T06:57:00+00:00,,,,,,Swiss,LX,SWR,5101,LX5101,SWR5101,,,,,,,,,,4B17FD,,
2026-09-22,landed,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,1,63,10.0,2026-09-22T08:30:00+00:00,2026-09-22T08:30:00+00:00,2026-09-22T08:40:00+00:00,2026-09-22T08:40:00+00:00,2026-09-22T08:40:00+00:00,Queenstown,Pacific/Auckland,ZQN,NZQN,,GATE,,2026-09-22T13:30:00+00:00,0.0,2026-09-22T12:57:00+00:00,2026-09-22T12:55:00+00:00,2026-09-22T12:55:00+00:00,2026-09-22T12:55:00+00:00,Qatar Airways,QR,QTR,7103,QR7103,QTR7103,virgin australia,va,voz,163,va163,voz163,,,,7CAD49,,
2026-09-22,active,,Queenstown,Pacific/Auckland,ZQN,NZQN,,9,0.0,2026-09-22T14:25:00+00:00,2026-09-22T14:25:00+00:00,,2026-09-22T14:25:00+00:00,,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,1,63,4,2026-09-22T15:45:00+00:00,,,,,,Qatar Airways,QR,QTR,7196,QR7196,QTR7196,virgin australia,va,voz,164,va164,voz164,,,,7CAD49,,
2026-09-22,scheduled,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,0.0,2026-09-22T14:55:00+00:00,2026-09-22T14:55:00+00:00,,2026-09-22T14:55:00+00:00,,Yantai,Asia/Shanghai,YNT,ZSYT,T2,,3,2026-09-22T16:00:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,4993,ZH4993,CSZ4993,air china,ca,cca,8683,ca8683,cca8683,,,,7805F2,,
2026-09-22,scheduled,,Kerang,Australia/Melbourne,KRA,YKER,,,,2026-09-22T11:10:00+00:00,2026-09-22T11:10:00+00:00,,,,Forest Hill,Australia/Sydney,WGA,YSWG,,,,2026-09-22T12:54:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C7CC7,,
2026-09-22,scheduled,,Xianyang,Asia/Shanghai,XIY,ZLXY,5,135,0.0,2026-09-22T11:10:00+00:00,2026-09-22T11:10:00+00:00,,2026-09-22T11:10:00+00:00,,Kunming,Asia/Shanghai,KMG,ZPPP,,,,2026-09-22T13:25:00+00:00,,,,,,Xiamen Air,MF,CXA,7264,MF7264,CXA7264,china eastern airlines,mu,ces,5728,mu5728,ces5728,,,,781019,,
2026-09-22,scheduled,,Xianyang,Asia/Shanghai,XIY,ZLXY,5,123,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,31,2026-09-22T13:10:00+00:00,,,,,,Xiamen Air,MF,CXA,3051,MF3051,CXA3051,china eastern airlines,mu,ces,2155,mu2155,ces2155,,,,782403,,
2026-09-22,scheduled,,Xianyang,Asia/Shanghai,XIY,ZLXY,5,123,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,31,2026-09-22T13:10:00+00:00,,,,,,Juneyao Air,HO,DKH,5541,HO5541,DKH5541,china eastern airlines,mu,ces,2155,mu2155,ces2155,,,,782403,,
2026-09-22,scheduled,,Xianyang,Asia/Shanghai,XIY,ZLXY,5,136,0.0,2026-09-22T10:50:00+00:00,2026-09-22T10:50:00+00:00,,2026-09-22T10:50:00+00:00,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,8,2026-09-22T12:40:00+00:00,,,,,,Xiamen Air,MF,CXA,3450,MF3450,CXA3450,china eastern airlines,mu,ces,2796,mu2796,ces2796,,,,782198,,
2026-09-22,scheduled,,Xianyang,Asia/Shanghai,XIY,ZLXY,5,136,0.0,2026-09-22T10:50:00+00:00,2026-09-22T10:50:00+00:00,,2026-09-22T10:50:00+00:00,,Nanjing Lukou International Airport,Asia/Shanghai,NKG,ZSNJ,2,,8,2026-09-22T12:40:00+00:00,,,,,,Sichuan Airlines,3U,CSC,5104,3U5104,CSC5104,china eastern airlines,mu,ces,2796,mu2796,ces2796,,,,782198,,
2026-09-22,scheduled,,Xianyang,Asia/Shanghai,XIY,ZLXY,2,15,1.0,2026-09-22T10:45:00+00:00,2026-09-22T10:45:00+00:00,,2026-09-22T10:46:00+00:00,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-09-22T13:40:00+00:00,,,,,,Shandong Airlines,SC,CDG,9184,SC9184,CDG9184,shenzhen airlines,zh,csz,9212,zh9212,csz9212,,,,781837,,
2026-09-22,scheduled,,Xianyang,Asia/Shanghai,XIY,ZLXY,2,15,1.0,2026-09-22T10:45:00+00:00,2026-09-22T10:45:00+00:00,,2026-09-22T10:46:00+00:00,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-09-22T13:40:00+00:00,,,,,,Air China,CA,CCA,3512,CA3512,CCA3512,shenzhen airlines,zh,csz,9212,zh9212,csz9212,,,,781837,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,1,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,1,,9,2026-09-22T12:50:00+00:00,,,,,,Hebei Airlines,NS,HBH,8567,NS8567,HBH8567,xiamen air,mf,cxa,8567,mf8567,cxa8567,,,,780685,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,1,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,1,,9,2026-09-22T12:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,4694,MU4694,CES4694,xiamen air,mf,cxa,8567,mf8567,cxa8567,,,,780685,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,1,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,1,,9,2026-09-22T12:50:00+00:00,,,,,,Juneyao Air,HO,DKH,7295,HO7295,DKH7295,xiamen air,mf,cxa,8567,mf8567,cxa8567,,,,780685,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,1,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,1,,9,2026-09-22T12:50:00+00:00,,,,,,China Express Airlines,G5,HXA,9489,G59489,HXA9489,xiamen air,mf,cxa,8567,mf8567,cxa8567,,,,780685,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,1,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,1,,9,2026-09-22T12:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4440,CZ4440,CSN4440,xiamen air,mf,cxa,8567,mf8567,cxa8567,,,,780685,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,1,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,1,,9,2026-09-22T12:50:00+00:00,,,,,,Sichuan Airlines,3U,CSC,2667,3U2667,CSC2667,xiamen air,mf,cxa,8567,mf8567,cxa8567,,,,780685,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,Saudia,SV,SVA,6038,SV6038,SVA6038,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,KLM,KL,KLM,4261,KL4261,KLM4261,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,Hebei Airlines,NS,HBH,8101,NS8101,HBH8101,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,4716,MU4716,CES4716,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,Juneyao Air,HO,DKH,7020,HO7020,DKH7020,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,China Express Airlines,G5,HXA,9185,G59185,HXA9185,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4058,CZ4058,CSN4058,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,8,0.0,2026-09-22T11:00:00+00:00,2026-09-22T11:00:00+00:00,,2026-09-22T11:00:00+00:00,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-09-22T13:50:00+00:00,,,,,,Sichuan Airlines,3U,CSC,2265,3U2265,CSC2265,xiamen air,mf,cxa,8101,mf8101,cxa8101,,,,780D76,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,4,63,0.0,2026-09-22T10:55:00+00:00,2026-09-22T10:55:00+00:00,,2026-09-22T10:55:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,27,2026-09-22T12:40:00+00:00,,,,,,Juneyao Air,HO,DKH,5432,HO5432,DKH5432,china eastern airlines,mu,ces,5636,mu5636,ces5636,,,,7823FE,,
