flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared
2026-06-19,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,43,,2026-06-19T06:20:00+00:00,2026-06-19T06:20:00+00:00,,,,Port Hedland,Australia/Perth,PHE,YPPD,,,,2026-06-19T08:25:00+00:00,,,,,,Qatar Airways,QR,QTR,6371,QR6371,QTR6371,virgin australia,va,voz,1837,va1837,voz1837,,,,7C7AB8,,
2026-06-19,scheduled,,Meekatharra,Australia/Perth,MKR,YMEK,,,,2026-06-19T07:05:00+00:00,2026-06-19T07:05:00+00:00,,,,Perth International,Australia/Perth,PER,YPPH,,,,2026-06-19T08:31:00+00:00,,,,,,empty,,,,,,,,,,,,,,,,,
2026-06-19,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D47,,2026-06-19T07:00:00+00:00,2026-06-19T07:00:00+00:00,,,,Penang International,Asia/Kuala_Lumpur,PEN,WMKP,,,,2026-06-19T08:30:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8608,SQ8608,SIA8608,scoot,tr,tgw,430,tr430,tgw430,,,,,,
2026-06-19,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D47,,2026-06-19T07:00:00+00:00,2026-06-19T07:00:00+00:00,,,,Penang International,Asia/Kuala_Lumpur,PEN,WMKP,,,,2026-06-19T08:30:00+00:00,,,,,,Air Canada,AC,ACA,5951,AC5951,ACA5951,scoot,tr,tgw,430,tr430,tgw430,,,,,,
2026-06-19,scheduled,,Cilik Riwut (Tjilik Riwoet),Asia/Pontianak,PKY,WAGG,,,,2026-06-19T07:10:00+00:00,2026-06-19T07:10:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-06-19T08:55:00+00:00,,,,,,Garuda Indonesia,GA,GIA,551,GA551,GIA551,,,,,,,,,,,,
2026-06-19,scheduled,,Sultan Syarif Kasim Ii,Asia/Jakarta,PKU,WIBB,,,,2026-06-19T08:00:00+00:00,2026-06-19T08:00:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,1,,,2026-06-19T09:50:00+00:00,,,,,,Citilink,QG,CTV,939,QG939,CTV939,,,,,,,,,,8A0374,,
2026-06-19,scheduled,,Sultan Syarif Kasim Ii,Asia/Jakarta,PKU,WIBB,,,,2026-06-19T08:00:00+00:00,2026-06-19T08:00:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,1,,,2026-06-19T09:50:00+00:00,,,,,,Garuda Indonesia,GA,GIA,8739,GA8739,GIA8739,citilink,qg,ctv,939,qg939,ctv939,,,,8A0374,,
2026-06-19,scheduled,,Sultan Syarif Kasim Ii,Asia/Jakarta,PKU,WIBB,,,,2026-06-19T07:50:00+00:00,2026-06-19T07:50:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,2,L3,,2026-06-19T09:45:00+00:00,,,,,,AirAsia,AK,AXM,432,AK432,AXM432,,,,,,,,,,75043E,,
2026-06-19,scheduled,,Sultan Syarif Kasim Ii,Asia/Jakarta,PKU,WIBB,,,,2026-06-19T07:40:00+00:00,2026-06-19T07:40:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,1,,,2026-06-19T09:25:00+00:00,,,,,,Lion Air,JT,LNI,393,JT393,LNI393,,,,,,,,,,,,
2026-06-19,scheduled,,Pokhara,Asia/Kathmandu,PKR,VNPK,,,,2026-06-19T06:50:00+00:00,2026-06-19T06:50:00+00:00,,,,Tribhuvan International,Asia/Kathmandu,KTM,VNKT,D,,,2026-06-19T07:15:00+00:00,,,,,,Buddha Air,U4,BHA,664,U4664,BHA664,,,,,,,,,,,,
